,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Oregon,13,47.0,19.1,30.4,62.8,244.5,2.4,48.4,286.2,5.9,3.2,78.8,530.7,6.7,10.4,14.3,1.8,26.5,7.2,61.4,1.2,0.7,1.8
2,Boise State,13,45.1,23.0,32.6,70.5,321.1,2.9,37.4,200.2,5.4,2.6,70.0,521.3,7.4,13.8,9.6,1.7,25.1,5.7,54.7,1.0,0.5,1.5
3,Oklahoma State,13,44.2,27.5,40.9,67.1,345.8,2.8,34.6,174.4,5.0,2.0,75.5,520.2,6.9,15.4,9.2,1.4,25.9,6.8,64.9,0.6,1.1,1.7
4,Texas Christian,13,41.6,16.8,25.5,65.9,229.5,2.2,46.2,247.4,5.4,3.2,71.6,476.8,6.7,10.1,14.2,0.8,25.2,5.2,41.7,0.5,0.5,1.0
5,Wisconsin,13,41.5,15.5,21.2,73.2,199.5,1.3,44.9,245.7,5.5,3.7,66.2,445.2,6.7,9.9,13.1,0.9,23.9,3.2,30.7,0.2,0.5,0.7
6,Tulsa,13,41.4,21.5,36.1,59.7,288.7,2.5,41.3,216.9,5.3,2.5,77.4,505.6,6.5,13.3,11.2,1.2,25.6,4.4,41.8,0.6,0.8,1.5
7,Auburn,14,41.2,13.9,21.1,65.5,214.4,2.2,46.6,284.8,6.1,2.9,67.7,499.2,7.4,9.0,14.4,1.1,24.6,5.6,53.2,0.7,0.5,1.2
8,Nevada,14,41.0,17.2,26.8,64.3,226.9,1.6,47.8,292.2,6.1,3.7,74.6,519.1,7.0,10.8,14.6,1.0,26.4,5.2,50.9,0.7,0.6,1.4
9,Stanford,13,40.3,20.5,29.2,70.2,258.7,2.5,41.2,213.8,5.2,2.6,70.3,472.5,6.7,11.9,10.9,1.5,24.3,5.0,44.7,0.7,0.6,1.3
10,Hawaii,14,39.6,28.1,44.1,63.8,394.3,3.0,22.0,106.4,4.8,1.8,66.1,500.6,7.6,16.7,5.7,1.4,23.9,6.4,55.4,0.6,1.2,1.9
11,Ohio State,13,38.8,17.5,26.8,65.3,228.5,2.3,42.1,220.1,5.2,2.1,68.9,448.6,6.5,10.0,11.2,1.0,22.2,4.8,44.6,0.2,1.0,1.2
12,Northern Illinois,14,38.0,14.9,23.5,63.2,189.6,1.6,41.5,260.4,6.3,3.0,65.0,450.0,6.9,9.4,11.0,1.2,21.6,4.5,41.9,0.4,0.6,1.0
13,Houston,12,37.7,24.8,40.3,61.6,327.3,2.8,34.2,153.3,4.5,1.7,74.5,480.5,6.4,15.1,8.6,1.9,25.6,5.1,40.9,0.6,1.7,2.3
14,Oklahoma,14,37.2,29.6,45.2,65.4,343.4,2.7,41.3,138.0,3.3,1.6,86.5,481.4,5.6,15.5,9.3,1.7,26.5,5.1,42.3,0.4,0.9,1.3
15,East Carolina,13,36.8,31.4,48.6,64.6,318.7,3.0,27.5,118.9,4.3,1.6,76.2,437.6,5.7,14.6,6.8,2.2,23.6,7.9,67.6,1.0,1.2,2.2
16,Southern Mississippi,13,36.8,22.6,36.2,62.4,252.5,1.8,43.0,200.8,4.7,2.2,79.2,453.4,5.7,12.2,10.3,1.8,24.2,7.5,71.2,0.7,0.6,1.3
17,Arkansas,13,36.5,23.2,35.8,64.7,333.7,2.8,32.4,148.8,4.6,1.7,68.2,482.5,7.1,13.3,8.1,1.0,22.4,7.9,63.9,0.7,1.2,1.8
18,Alabama,13,35.7,19.5,27.8,69.9,261.2,1.8,35.9,182.9,5.1,2.3,63.8,444.1,7.0,11.6,9.7,0.8,22.1,5.1,37.7,0.7,0.4,1.1
19,San Diego State,13,35.0,18.8,32.8,57.3,295.4,2.2,33.8,161.3,4.8,2.2,66.5,456.7,6.9,11.8,7.1,1.4,20.3,5.9,51.7,0.6,1.1,1.7
20,Troy,13,34.1,26.2,40.6,64.4,296.8,2.5,36.1,156.6,4.3,1.6,76.7,453.5,5.9,12.6,8.7,2.0,23.3,8.5,73.6,1.2,1.2,2.3
21,Virginia Tech,14,33.9,14.3,24.5,58.3,203.6,1.7,40.7,198.7,4.9,2.1,65.2,402.3,6.2,9.0,10.1,1.5,20.6,4.8,41.6,0.6,0.4,0.9
22,Kansas State,13,33.6,14.5,22.5,64.5,179.3,1.2,42.6,199.5,4.7,3.1,65.2,378.8,5.8,7.8,9.8,1.7,19.2,4.9,43.7,0.8,0.6,1.4
23,Texas Tech,13,33.1,31.2,47.5,65.8,318.9,3.0,33.6,141.3,4.2,1.3,81.1,460.2,5.7,15.1,8.2,1.6,24.8,6.0,60.1,1.2,0.8,2.0
24,Utah,13,33.1,19.1,30.6,62.3,236.1,1.8,32.9,152.9,4.6,2.1,63.5,389.0,6.1,9.6,8.0,1.1,18.7,5.8,51.2,1.1,0.9,2.0
25,Michigan,13,32.8,18.7,29.6,63.1,250.2,1.8,42.8,238.5,5.6,2.7,72.4,488.7,6.8,10.5,11.5,0.9,23.0,4.6,45.9,1.1,1.2,2.2
26,Illinois,13,32.5,12.7,21.8,58.1,151.0,1.4,47.6,246.1,5.2,2.2,69.5,397.1,5.7,7.4,11.6,1.6,20.6,6.1,54.8,0.5,0.9,1.5
27,Arizona State,12,32.3,23.3,38.7,60.1,286.4,1.9,34.4,139.3,4.0,1.6,73.1,425.7,5.8,12.7,7.1,1.5,21.3,8.0,69.6,0.5,1.4,1.9
28,Western Michigan,12,32.3,24.8,39.6,62.7,285.8,2.5,32.1,125.9,3.9,1.5,71.7,411.7,5.7,12.4,7.0,1.3,20.8,5.8,53.1,1.3,1.0,2.3
29,Maryland,13,32.2,16.8,29.9,56.3,214.7,2.1,33.3,138.2,4.1,1.6,63.2,352.8,5.6,8.8,6.7,1.8,17.4,7.8,68.5,0.3,0.8,1.1
30,Georgia,13,32.1,16.8,27.6,60.7,242.4,1.9,35.0,142.6,4.1,1.6,62.6,385.0,6.1,10.1,8.0,0.8,18.8,5.2,41.9,0.6,0.6,1.2
31,UCF,14,32.1,13.6,21.1,64.5,186.4,1.1,43.0,187.6,4.4,2.6,64.1,374.0,5.8,8.9,10.8,1.0,20.7,5.1,40.4,0.6,0.8,1.4
32,North Carolina State,13,31.8,24.5,41.9,58.5,281.2,2.2,35.5,123.3,3.5,1.3,77.4,404.5,5.2,13.6,7.5,2.2,23.3,5.0,36.4,0.6,1.1,1.7
33,Florida State,14,31.4,17.9,28.4,63.0,209.9,1.7,35.7,171.4,4.8,1.9,64.1,381.3,6.0,9.6,8.6,1.4,19.6,6.3,57.7,0.7,0.9,1.6
34,Baylor,13,31.2,24.1,36.2,66.5,280.7,1.8,36.0,194.6,5.4,1.9,72.2,475.3,6.6,12.1,10.3,1.4,23.8,8.3,77.5,0.9,0.6,1.5
35,Kentucky,13,31.2,22.9,35.2,65.1,269.3,2.0,34.8,158.5,4.6,2.0,70.0,427.8,6.1,12.5,8.2,1.6,22.2,5.5,45.9,0.8,0.7,1.5
36,Texas A&M,13,31.2,23.9,39.6,60.4,276.8,2.2,39.9,165.0,4.1,1.5,79.5,441.8,5.6,12.5,9.5,1.8,23.8,7.8,62.5,1.2,1.2,2.3
37,USC,13,31.0,21.5,34.8,61.6,242.2,2.2,36.7,189.3,5.2,1.5,71.5,431.5,6.0,11.5,10.1,1.8,23.3,7.1,60.9,0.7,1.0,1.7
38,Nebraska,14,30.9,11.6,20.1,57.8,150.6,1.1,45.3,247.6,5.5,2.3,65.4,398.1,6.1,6.8,10.6,0.7,18.1,7.8,70.9,1.1,0.6,1.7
39,South Carolina,14,30.9,18.0,27.8,64.8,238.4,1.6,37.3,154.4,4.1,1.9,65.1,392.8,6.0,10.1,9.3,1.1,20.6,5.3,41.6,0.6,1.2,1.9
40,Air Force,13,30.8,6.8,12.9,52.4,119.3,0.9,57.5,306.5,5.3,3.2,70.5,425.8,6.0,4.8,16.4,0.7,21.8,4.5,40.5,0.8,0.5,1.3
41,Ole Miss,12,30.6,15.4,27.5,56.1,192.3,1.4,41.3,207.6,5.0,2.3,68.8,399.8,5.8,8.5,9.2,1.0,18.7,5.7,51.1,0.8,1.2,2.0
42,Arkansas State,12,30.0,22.0,36.3,60.6,254.3,1.9,35.0,149.1,4.3,1.9,71.3,403.4,5.7,10.9,9.0,1.9,21.8,7.0,59.5,1.0,1.0,2.0
43,Florida,13,29.8,17.7,29.3,60.4,184.3,0.9,38.8,166.5,4.3,2.4,68.1,350.8,5.2,9.4,8.3,1.3,19.0,7.8,57.3,1.2,0.9,2.1
44,Missouri,13,29.8,24.0,37.7,63.7,253.2,1.3,33.8,156.4,4.6,2.2,71.5,409.6,5.7,12.5,8.3,1.3,22.1,6.1,57.5,0.6,0.8,1.4
45,LSU,13,29.7,13.3,23.2,57.5,155.6,0.8,41.4,185.7,4.5,2.2,64.5,341.3,5.3,6.5,10.2,0.9,17.5,5.9,46.4,1.0,0.8,1.8
46,Navy,13,29.7,6.5,12.1,53.5,120.0,1.0,53.2,284.8,5.3,2.8,65.3,404.8,6.2,4.7,14.5,1.3,20.5,3.4,27.6,0.8,0.5,1.2
47,Michigan State,13,29.5,18.8,28.7,65.4,236.4,1.8,34.2,152.2,4.5,1.9,62.8,388.5,6.2,11.2,7.2,1.0,19.4,6.7,58.0,0.7,0.8,1.5
48,Fresno State,13,29.0,17.5,28.0,62.6,220.0,1.8,38.0,150.6,4.0,1.5,66.0,370.6,5.6,10.0,8.0,1.3,19.3,5.6,49.4,1.2,0.7,1.8
49,Mississippi State,13,29.0,12.9,22.2,58.3,186.5,1.4,47.6,214.8,4.5,2.2,69.8,401.3,5.8,8.5,11.1,1.0,20.6,5.2,43.0,0.6,1.0,1.6
50,Iowa,13,28.9,17.4,27.5,63.3,234.5,2.0,34.5,148.4,4.3,1.2,62.0,382.9,6.2,10.2,8.4,1.5,20.1,4.9,37.4,0.4,0.5,0.8
51,Florida International,13,28.8,18.0,29.5,60.9,207.5,1.2,40.2,187.5,4.7,2.0,69.7,395.1,5.7,8.5,9.4,1.3,19.2,8.2,73.3,0.5,1.1,1.6
52,Rice,12,28.7,18.2,30.0,60.6,215.9,1.7,41.2,159.4,3.9,2.0,71.2,375.3,5.3,9.4,9.1,1.2,19.7,5.2,44.1,0.8,1.0,1.8
53,Arizona,13,28.2,27.5,40.3,68.1,307.7,1.9,33.5,131.7,3.9,1.5,73.8,439.4,6.0,14.7,7.2,1.8,23.7,7.1,52.5,0.8,0.9,1.7
54,Toledo,13,27.9,17.5,28.1,62.5,198.0,1.8,38.1,167.4,4.4,1.7,66.2,365.4,5.5,8.4,8.0,1.5,17.8,7.8,64.2,0.7,1.1,1.8
55,Ohio,13,27.5,12.2,20.9,58.5,162.3,1.5,38.2,163.8,4.3,1.9,59.1,326.1,5.5,6.8,9.2,1.0,17.0,5.7,48.3,0.9,1.5,2.5
56,Indiana,12,27.2,25.9,42.8,60.6,287.2,2.1,29.0,100.3,3.5,1.1,71.8,387.5,5.4,13.9,5.8,2.0,21.7,4.3,39.7,0.7,1.0,1.7
57,Cincinnati,12,27.1,20.9,36.3,57.7,260.7,2.3,33.5,156.7,4.7,1.3,69.8,417.3,6.0,10.8,8.9,2.2,21.9,6.8,63.4,1.2,1.3,2.4
58,Tennessee,13,27.0,18.3,32.2,56.8,254.5,2.0,31.4,109.2,3.5,1.1,63.6,363.8,5.7,10.1,5.9,1.8,17.8,5.8,44.1,0.7,1.2,1.8
59,Louisiana Tech,12,26.8,21.7,35.4,61.2,218.9,1.3,38.8,170.9,4.4,1.8,74.2,389.8,5.3,10.3,9.3,1.3,20.9,4.9,43.9,1.1,1.3,2.3
60,Army,13,26.6,5.5,10.6,52.2,78.1,0.5,56.0,251.6,4.5,2.6,66.6,329.7,4.9,4.1,13.8,0.5,18.4,4.2,40.9,0.8,0.2,1.1
61,Idaho,13,26.6,24.1,42.2,57.0,298.6,2.1,28.7,88.2,3.1,0.9,70.9,386.8,5.5,13.2,5.0,1.8,20.0,6.8,67.4,0.8,1.3,2.2
62,Middle Tennessee State,13,26.5,17.4,29.5,58.9,191.2,0.7,40.4,180.8,4.5,2.5,69.9,371.9,5.3,7.9,9.6,1.1,18.6,6.2,55.8,1.1,1.8,2.9
63,Connecticut,13,26.4,14.5,27.5,52.7,151.1,0.8,38.5,174.7,4.5,1.5,66.0,325.8,4.9,7.3,8.2,0.7,16.2,4.8,40.2,0.8,0.7,1.5
64,Louisville,13,26.4,16.7,27.9,59.8,194.0,1.7,36.3,175.0,4.8,1.3,64.2,369.0,5.7,9.1,8.5,1.2,18.8,7.9,63.8,0.6,0.6,1.2
65,Northwestern,13,26.4,20.2,29.6,68.3,235.2,1.3,42.8,155.9,3.6,1.7,72.5,391.1,5.4,10.3,10.1,1.5,21.8,6.3,56.6,1.0,0.8,1.8
66,Miami (FL),13,26.3,18.5,34.1,54.2,238.8,1.6,38.0,182.5,4.8,1.5,72.1,421.3,5.8,11.4,9.4,1.4,22.2,8.2,68.7,0.7,2.1,2.8
67,Notre Dame,13,26.3,21.9,37.0,59.3,253.1,2.2,31.8,126.6,4.0,0.8,68.8,379.7,5.5,11.7,6.8,1.5,20.1,4.5,40.8,0.6,1.2,1.8
68,Pitt,13,26.3,17.7,27.7,63.9,201.2,1.2,36.2,165.7,4.6,1.8,63.8,366.9,5.7,9.2,7.8,1.3,18.4,6.7,54.8,0.8,0.8,1.7
69,UAB,12,26.3,21.2,38.8,54.6,267.0,2.3,34.8,155.8,4.5,1.2,73.5,422.8,5.8,11.8,8.2,1.4,21.3,5.3,50.8,0.8,1.2,2.0
70,Brigham Young,13,26.2,18.7,32.9,56.8,198.4,1.3,39.8,168.1,4.2,1.8,72.8,366.5,5.0,10.5,9.1,2.2,21.8,5.4,44.8,0.8,0.8,1.6
71,Georgia Tech,13,26.0,4.9,12.9,38.1,83.9,0.7,57.9,323.3,5.6,2.4,70.8,407.2,5.7,3.2,15.8,1.3,20.4,6.2,53.0,1.5,0.5,2.1
72,UTEP,13,26.0,17.5,33.2,52.8,223.3,1.8,31.7,137.1,4.3,1.4,64.9,360.4,5.6,10.8,7.4,2.2,20.4,5.9,51.4,0.5,1.1,1.6
73,California,12,25.8,15.4,27.7,55.7,175.1,1.3,35.7,158.9,4.5,1.6,63.3,334.0,5.3,7.1,9.2,1.6,17.8,6.7,57.1,0.5,0.9,1.4
74,SMU,14,25.7,21.7,36.9,58.9,275.8,2.2,28.9,138.8,4.8,1.0,65.7,414.6,6.3,13.0,6.9,0.8,20.7,5.4,51.0,0.9,1.0,1.9
75,Duke,12,25.3,24.6,40.8,60.3,271.3,1.2,31.9,110.0,3.4,1.6,72.7,381.3,5.2,12.8,6.1,1.1,19.9,4.6,40.6,0.8,1.6,2.3
76,North Carolina,13,25.3,21.8,32.7,66.6,264.0,1.5,33.8,125.7,3.7,1.4,66.5,389.7,5.9,10.1,7.5,1.3,18.9,7.6,58.2,1.1,0.7,1.8
77,Virginia,12,25.3,21.8,36.9,59.1,265.5,1.7,34.9,139.3,4.0,1.4,71.8,404.8,5.6,12.1,7.7,1.5,21.3,8.2,73.3,0.5,1.4,1.9
78,West Virginia,13,25.2,18.8,29.4,64.1,213.0,1.8,40.5,159.7,3.9,1.4,69.8,372.7,5.3,8.5,9.7,1.8,20.0,4.8,40.6,1.5,0.6,2.2
79,Temple,12,25.0,14.1,24.8,56.9,183.8,1.3,35.8,150.3,4.2,1.7,60.6,334.1,5.5,7.3,8.2,1.3,16.8,5.9,46.1,1.1,1.1,2.2
80,Tulane,12,24.9,22.3,38.8,57.6,245.8,1.6,36.2,127.5,3.5,1.4,74.9,373.3,5.0,11.5,8.1,1.8,21.3,5.1,36.5,1.1,1.0,2.1
81,Penn State,13,24.5,18.2,32.7,55.5,229.7,1.5,34.5,142.5,4.1,1.2,67.2,372.2,5.5,10.5,7.7,1.1,19.2,4.1,30.9,0.3,1.3,1.6
82,Central Michigan,12,24.4,24.0,39.8,60.4,284.0,1.4,31.9,105.8,3.3,1.5,71.7,389.8,5.4,12.8,6.9,2.3,22.0,5.7,51.6,0.9,1.5,2.4
83,Oregon State,12,24.4,18.4,31.3,58.9,206.9,1.6,32.0,119.6,3.7,1.5,63.3,326.5,5.2,10.5,6.3,1.7,18.5,6.1,56.3,0.3,1.0,1.3
84,Colorado,12,24.2,19.8,33.1,59.7,222.7,1.8,37.5,137.0,3.7,1.3,70.6,359.7,5.1,10.3,7.7,1.8,19.8,6.6,50.3,0.7,0.9,1.6
85,South Florida,13,24.1,14.2,24.8,57.3,164.5,1.0,37.5,144.8,3.9,1.5,62.3,309.4,5.0,6.7,7.8,2.1,16.5,5.7,46.1,0.5,1.2,1.7
86,Clemson,13,24.0,17.7,31.5,56.2,195.6,1.3,35.2,139.0,4.0,1.5,66.6,334.6,5.0,9.2,6.8,1.9,18.0,6.0,55.2,0.7,1.1,1.8
87,North Texas,12,23.9,15.2,26.3,57.6,173.1,1.3,40.8,202.2,5.0,1.4,67.1,375.3,5.6,7.4,10.2,1.1,18.7,7.1,51.5,0.8,0.8,1.5
88,Texas,12,23.8,21.8,37.1,58.9,232.0,0.8,36.1,150.5,4.2,1.6,73.2,382.5,5.2,9.8,8.6,1.8,20.2,6.3,55.3,1.1,1.4,2.5
89,Minnesota,12,23.2,17.4,31.5,55.3,226.1,1.8,37.3,135.3,3.6,1.2,68.8,361.3,5.3,9.8,7.8,2.3,19.9,5.6,43.1,0.7,0.8,1.4
90,Wake Forest,12,22.8,13.8,25.2,55.0,143.8,0.8,38.3,158.5,4.1,1.9,63.5,302.3,4.8,5.3,9.3,1.3,15.8,4.9,45.3,0.6,0.8,1.4
91,Western Kentucky,12,22.8,12.6,24.6,51.2,143.5,0.9,41.7,175.5,4.2,1.8,66.3,319.0,4.8,7.6,8.9,1.4,17.9,6.3,47.2,0.7,0.5,1.2
92,Louisiana,12,22.3,19.1,36.3,52.5,250.0,1.5,34.5,100.6,2.9,1.2,70.8,350.6,4.9,10.0,6.2,1.3,17.5,5.7,40.9,0.8,1.3,2.1
93,Syracuse,13,22.2,15.8,28.0,56.3,182.7,1.5,34.5,140.2,4.1,1.1,62.5,322.8,5.2,8.3,7.8,1.2,17.3,7.2,59.3,1.0,0.6,1.6
94,Ball State,12,22.0,13.8,25.8,53.7,153.6,1.5,37.1,152.3,4.1,0.9,62.8,305.8,4.9,7.3,7.8,1.3,16.3,5.7,49.5,1.3,1.3,2.6
95,Utah State,12,22.0,14.3,27.0,53.1,178.7,0.7,44.0,168.7,3.8,2.0,71.0,347.3,4.9,7.8,9.6,1.8,19.2,6.6,58.2,0.6,1.2,1.8
96,Washington,13,21.8,15.8,28.9,54.5,190.4,1.5,37.0,172.2,4.7,1.2,65.9,362.5,5.5,8.3,8.5,1.6,18.5,6.4,56.2,0.6,0.7,1.3
97,Iowa State,12,21.7,17.6,31.1,56.6,174.3,1.2,37.9,143.2,3.8,1.3,69.0,317.4,4.6,8.8,7.9,1.7,18.3,5.9,51.3,0.6,0.8,1.4
