,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
31,UCLA,14,34.4,23.1,35.4,65.3,275.7,2.1,42.8,190.8,4.5,2.1,78.2,466.5,6.0,12.1,9.3,2.2,23.6,9.3,91.5,1.0,0.8,1.8
32,Louisiana-Monroe,13,33.8,26.4,41.5,63.6,290.7,2.5,34.6,142.1,4.1,1.8,76.1,432.8,5.7,14.1,7.2,2.5,23.8,5.4,43.6,0.3,1.2,1.5
33,Ball State,13,33.6,24.5,37.8,64.8,254.0,2.2,41.8,203.2,4.9,1.8,79.6,457.2,5.7,13.9,11.6,2.4,27.9,4.7,47.2,0.5,0.8,1.3
34,Georgia Tech,14,33.6,7.3,13.9,52.6,129.9,0.9,57.7,311.2,5.4,3.4,71.6,441.1,6.2,4.2,16.4,1.0,21.6,4.9,39.9,0.9,0.6,1.5
35,Kent State,14,33.1,14.1,25.6,55.3,162.5,1.0,41.7,225.8,5.4,2.6,67.3,388.3,5.8,7.5,9.9,1.4,18.9,5.2,44.9,0.5,0.8,1.3
36,San Diego State,13,32.8,14.0,23.8,58.9,175.9,1.6,44.5,220.7,5.0,2.3,68.2,396.6,5.8,7.9,11.5,1.9,21.4,5.6,49.1,1.1,0.8,1.9
37,Oregon State,13,32.5,24.2,38.8,62.5,307.1,2.1,34.0,124.4,3.7,2.0,72.8,431.5,5.9,13.8,7.8,2.2,23.8,6.1,55.7,0.5,1.2,1.8
38,Houston,12,32.4,28.1,49.3,57.0,328.4,2.3,32.8,151.2,4.6,1.5,82.0,479.6,5.8,14.7,7.6,2.1,24.3,6.2,53.6,1.3,1.7,2.9
39,Cincinnati,13,32.3,16.2,28.5,56.6,238.8,1.9,37.8,201.5,5.3,1.9,66.4,440.2,6.6,9.2,9.5,1.7,20.5,5.6,53.5,0.6,0.8,1.5
40,USC,13,32.1,21.8,35.5,61.6,282.3,3.0,30.2,150.6,5.0,0.9,65.6,432.9,6.6,11.5,7.1,3.0,21.6,7.6,62.2,1.1,1.5,2.6
41,Rice,13,31.8,18.2,30.8,58.9,225.6,1.5,48.1,201.8,4.2,2.0,78.9,427.4,5.4,10.8,11.3,1.5,23.5,5.5,50.8,1.3,0.4,1.7
42,Northwestern,13,31.7,17.8,28.4,62.6,169.1,1.1,45.8,225.5,4.9,2.4,74.2,394.6,5.3,8.5,12.4,1.3,22.2,5.2,50.5,0.6,0.5,1.2
43,Ohio,13,31.7,19.2,30.9,62.2,241.5,1.8,45.8,203.3,4.4,1.8,76.8,444.8,5.8,10.9,10.3,2.0,23.2,5.3,50.0,0.4,0.4,0.8
44,Duke,13,31.5,27.1,42.4,63.9,283.9,2.1,33.8,125.2,3.7,1.4,76.2,409.2,5.4,12.8,7.1,2.2,22.2,5.8,49.0,0.7,0.9,1.6
45,East Carolina,13,31.5,24.5,37.5,65.4,273.2,1.9,35.3,135.4,3.8,1.8,72.8,408.5,5.6,12.2,8.0,1.7,21.9,4.2,43.6,0.6,1.1,1.7
46,Ole Miss,13,31.5,20.1,31.6,63.5,249.9,1.8,42.4,173.8,4.1,1.9,74.0,423.8,5.7,10.3,10.6,1.5,22.4,4.8,36.9,0.8,1.4,2.2
47,South Carolina,13,31.5,17.3,28.1,61.6,238.1,2.2,37.8,138.5,3.7,1.5,65.8,376.5,5.7,10.4,7.9,1.5,19.8,4.8,40.5,0.8,0.7,1.5
48,Toledo,13,31.5,20.8,33.9,61.5,252.0,1.5,40.1,193.2,4.8,1.6,74.0,445.2,6.0,10.8,10.2,1.5,22.6,6.8,68.0,0.7,0.8,1.5
49,Miami (FL),12,31.4,22.0,37.3,59.1,295.4,1.9,30.9,144.8,4.7,1.6,68.2,440.2,6.5,11.8,6.3,2.2,20.3,7.3,57.7,0.7,0.6,1.3
50,Louisville,13,31.2,23.6,35.1,67.3,296.1,2.1,35.5,122.7,3.5,1.8,70.6,418.8,5.9,13.3,8.2,1.4,22.8,6.3,54.1,0.4,0.6,1.0
51,UTSA,12,31.2,18.4,30.7,60.1,231.0,1.9,35.8,159.3,4.4,1.8,66.5,390.3,5.9,10.2,7.9,1.3,19.4,7.8,76.1,0.7,0.6,1.3
52,Indiana,12,30.8,27.6,45.0,61.3,311.2,2.0,33.3,130.8,3.9,1.8,78.3,442.0,5.6,13.3,7.1,2.4,22.8,5.7,49.3,0.3,1.1,1.3
53,Troy,12,30.6,28.1,42.4,66.2,331.5,1.8,38.1,167.3,4.4,1.8,80.5,498.8,6.2,14.2,9.3,2.1,25.6,7.7,66.9,1.3,1.0,2.3
54,Boise State,13,30.2,20.2,30.3,66.8,223.2,1.5,36.8,168.2,4.6,1.9,67.1,391.3,5.8,11.2,8.6,1.5,21.3,4.5,42.8,0.7,0.5,1.2
55,Syracuse,13,30.0,22.7,36.4,62.4,289.0,2.0,42.7,187.0,4.4,1.6,79.1,476.0,6.0,13.1,10.2,1.9,25.2,7.8,68.2,0.9,0.8,1.7
56,Vanderbilt,13,30.0,15.9,26.9,59.1,213.4,1.3,40.3,166.3,4.1,1.9,67.2,379.7,5.6,8.4,8.8,1.8,18.9,5.9,44.9,1.0,0.4,1.4
57,LSU,13,29.8,16.0,27.4,58.4,200.5,0.9,40.5,173.7,4.3,2.2,67.9,374.2,5.5,8.2,9.2,1.2,18.6,7.2,57.9,0.8,0.5,1.3
58,Michigan,13,29.8,13.0,24.5,53.1,199.3,1.5,38.6,183.8,4.8,2.1,63.1,383.1,6.1,8.7,8.6,1.8,19.2,4.8,49.3,0.6,1.5,2.1
59,Wisconsin,14,29.6,12.1,20.8,58.4,156.9,1.1,45.4,236.4,5.2,2.7,66.1,393.3,5.9,6.9,11.2,1.0,19.1,3.8,36.1,0.4,0.4,0.9
60,Mississippi State,13,29.5,19.2,32.6,58.7,237.8,2.2,32.6,144.2,4.4,1.4,65.2,381.9,5.9,11.5,7.3,1.4,20.2,4.7,41.4,0.5,0.8,1.3
61,Western Michigan,12,29.3,25.3,42.6,59.5,289.8,2.3,33.7,149.5,4.4,1.4,76.3,439.3,5.8,13.4,8.4,1.8,23.7,6.3,52.0,0.8,1.8,2.6
62,Penn State,12,29.1,22.7,38.0,59.6,273.6,2.0,39.6,143.9,3.6,1.5,77.6,417.5,5.4,13.0,7.5,1.9,22.4,5.3,48.7,0.7,0.4,1.1
63,Central Michigan,13,28.8,18.8,31.8,59.1,244.2,1.8,31.9,150.5,4.7,1.7,63.7,394.8,6.2,11.0,8.2,1.5,20.7,4.2,37.5,0.5,0.7,1.2
64,Brigham Young,13,28.7,22.8,38.3,59.4,247.2,1.9,38.8,153.2,3.9,1.7,77.2,400.4,5.2,12.2,9.4,1.5,23.1,6.2,53.1,0.6,1.3,1.9
65,Purdue,13,28.7,22.8,37.1,61.4,238.5,2.3,36.5,164.2,4.5,1.2,73.6,402.7,5.5,10.8,8.0,1.6,20.5,5.7,50.9,1.0,1.1,2.1
66,Texas State,12,28.6,18.1,30.1,60.1,200.4,1.4,34.4,179.3,5.2,2.0,64.5,379.8,5.9,9.0,8.1,2.3,19.4,7.3,67.6,0.7,0.7,1.3
67,Texas Christian,13,28.3,18.2,30.9,59.0,236.5,2.0,39.4,152.1,3.9,1.0,70.3,388.6,5.5,9.7,8.1,1.2,19.0,6.8,63.0,1.3,0.9,2.2
68,UAB,12,28.3,23.3,39.9,58.2,308.8,1.8,34.7,110.3,3.2,1.6,74.6,419.1,5.6,12.5,7.8,2.3,22.5,7.3,63.4,1.2,1.1,2.3
69,Western Kentucky,13,28.2,16.4,25.8,63.6,205.2,1.8,38.9,181.7,4.7,1.6,64.7,386.8,6.0,9.8,9.2,1.4,20.4,6.2,58.8,0.9,0.9,1.8
70,North Carolina State,13,28.1,25.4,43.8,58.0,310.1,2.4,36.2,111.1,3.1,0.9,80.0,421.2,5.3,13.4,7.4,1.1,21.8,6.7,50.5,1.2,1.3,2.5
71,Stanford,14,27.9,17.1,28.5,60.2,200.1,1.4,39.2,174.3,4.4,1.6,67.7,374.4,5.5,9.2,8.1,1.7,19.0,6.1,51.1,0.6,0.7,1.3
72,Air Force,13,27.4,6.4,11.6,55.0,102.6,0.7,61.8,316.2,5.1,3.0,73.5,418.8,5.7,3.8,17.2,1.2,22.3,3.4,26.2,1.6,0.6,2.2
73,SMU,13,27.2,21.0,39.7,52.9,235.3,1.2,30.8,132.0,4.3,1.7,70.5,367.3,5.2,10.8,7.1,1.2,19.2,5.2,39.8,0.6,1.2,1.8
74,Wyoming,12,26.8,20.8,34.3,60.6,265.4,2.4,36.8,125.2,3.4,1.1,71.0,390.6,5.5,10.8,8.0,1.9,20.7,4.5,42.8,0.4,0.7,1.1
75,Utah,12,26.7,18.3,29.3,62.7,190.7,1.3,37.2,133.8,3.6,1.4,66.4,324.4,4.9,8.7,7.7,1.4,17.8,6.9,61.7,0.8,0.8,1.5
76,Middle Tennessee State,12,26.6,18.1,28.7,63.1,216.1,1.3,39.0,176.7,4.5,1.6,67.7,392.8,5.8,8.8,9.8,1.5,20.2,5.7,45.8,0.8,0.7,1.5
77,Pitt,13,26.6,19.8,30.4,65.3,257.0,1.6,37.6,133.1,3.5,1.5,68.0,390.1,5.7,11.5,7.0,1.3,19.8,6.7,57.4,0.5,0.2,0.8
78,Florida,13,26.5,14.1,22.2,63.5,146.3,1.0,41.5,188.1,4.5,1.7,63.6,334.4,5.3,6.2,9.9,1.2,17.4,8.1,68.8,0.8,0.4,1.2
79,Akron,12,26.1,30.3,48.6,62.4,312.8,2.5,30.4,114.4,3.8,0.8,79.0,427.2,5.4,15.0,6.7,2.3,23.9,8.4,66.4,0.8,1.5,2.3
80,Missouri,12,25.8,19.0,34.5,55.1,217.9,1.3,37.8,138.5,3.7,1.3,72.3,356.4,4.9,9.5,7.9,0.7,18.1,5.6,43.3,0.7,1.2,1.8
81,New Mexico,13,25.8,6.1,11.8,51.3,68.8,0.4,52.9,301.3,5.7,2.6,64.8,370.2,5.7,3.2,14.8,1.5,19.5,4.8,40.8,0.8,0.3,1.1
82,Notre Dame,13,25.8,17.4,29.8,58.2,222.8,1.1,38.9,189.4,4.9,1.8,68.8,412.2,6.0,10.5,9.8,1.3,21.6,5.5,42.3,0.5,0.6,1.2
83,Virginia Tech,13,25.1,17.2,33.6,51.3,230.9,1.4,39.0,145.8,3.7,1.4,72.6,376.8,5.2,9.8,8.4,1.0,19.2,6.0,51.0,0.7,1.3,2.0
84,Florida International,12,25.0,18.3,30.8,59.3,238.4,1.4,40.8,145.3,3.6,1.7,71.5,383.8,5.4,9.3,8.7,1.6,19.5,7.6,64.1,1.3,0.5,1.8
85,Navy,13,25.0,7.6,13.2,57.6,104.8,0.8,53.8,278.5,5.2,2.2,67.1,383.2,5.7,4.5,16.1,0.9,21.5,3.7,29.1,1.1,0.4,1.5
86,Temple,11,24.7,10.5,20.1,52.5,120.8,0.9,42.5,201.2,4.7,1.9,62.6,322.0,5.1,5.8,9.5,1.2,16.5,5.4,46.3,1.2,0.5,1.7
87,Iowa State,13,24.5,20.5,35.2,58.1,214.1,2.2,35.8,150.1,4.2,0.8,71.0,364.2,5.1,9.5,8.7,1.5,19.7,4.8,42.5,0.7,1.3,2.0
88,Army,12,24.3,4.3,9.6,44.3,66.4,0.3,67.2,369.8,5.5,2.7,76.8,436.3,5.7,3.1,19.7,0.8,23.6,3.9,30.1,1.7,0.2,1.8
89,Washington,13,24.0,20.5,33.7,60.7,212.8,1.5,35.8,142.4,4.0,1.5,69.5,355.2,5.1,9.8,7.5,1.7,19.0,8.3,74.5,1.1,1.1,2.2
90,Arkansas,12,23.5,22.7,38.3,59.3,301.5,1.9,30.6,118.7,3.9,1.0,68.8,420.2,6.1,11.8,7.3,1.9,21.1,6.0,44.0,1.3,1.3,2.6
91,Memphis,12,23.3,15.2,23.6,64.3,166.6,1.3,40.8,151.8,3.7,1.5,64.3,318.3,4.9,7.1,9.3,1.2,17.6,7.1,69.3,1.8,0.3,2.0
92,Miami (OH),12,23.3,25.9,41.3,62.8,298.7,2.2,28.3,86.6,3.1,0.6,69.5,385.3,5.5,13.3,5.7,1.9,20.9,4.8,36.9,0.6,1.0,1.6
93,California,12,23.0,17.7,30.5,57.9,208.3,1.1,37.6,183.0,4.9,1.5,68.1,391.3,5.7,9.3,8.5,2.1,19.9,8.3,83.0,1.4,1.1,2.5
