,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Ole Miss,13,16.0,18.5,30.9,59.7,192.1,0.9,39.5,136.9,3.5,0.7,70.4,329.0,4.7,9.1,8.2,1.2,18.4,6.0,53.5,0.8,1.7,2.5
2,Stanford,13,16.4,18.8,33.1,57.0,177.9,0.9,34.1,104.5,3.1,0.9,67.2,282.4,4.2,9.0,6.5,1.4,16.8,6.2,53.8,0.3,0.9,1.2
3,Clemson,13,16.7,14.9,29.8,50.0,157.4,0.9,34.8,103.4,3.0,0.8,64.7,260.8,4.0,6.2,6.6,1.4,14.2,6.1,46.2,0.9,0.9,1.8
4,LSU,13,17.5,15.3,29.6,51.7,164.2,0.8,35.4,152.7,4.3,1.2,65.0,316.8,4.9,6.8,7.7,1.0,15.5,4.4,39.2,0.8,0.8,1.5
5,Temple,12,17.5,18.0,30.7,58.7,186.9,0.8,42.3,160.2,3.8,1.0,73.0,347.1,4.8,8.4,9.3,1.8,19.4,6.2,59.7,1.6,0.9,2.5
6,Alabama,14,18.4,19.1,35.2,54.4,226.0,1.4,32.3,102.4,3.2,0.4,67.5,328.4,4.9,10.1,5.8,0.9,16.7,4.4,36.9,0.6,0.8,1.4
7,Penn State,13,18.6,16.5,31.2,53.0,178.2,0.8,34.1,100.5,2.9,1.1,65.3,278.7,4.3,7.4,6.1,1.2,14.6,6.9,60.6,0.4,1.2,1.6
8,Texas Christian,13,19.0,16.6,34.2,48.5,233.0,1.3,39.1,108.8,2.8,0.7,73.3,341.8,4.7,9.2,6.6,1.0,16.8,5.5,50.0,1.1,2.0,3.1
9,Arkansas,13,19.2,16.7,30.2,55.4,208.8,1.5,33.0,114.6,3.5,0.8,63.2,323.4,5.1,8.8,7.5,1.0,17.3,5.9,49.1,0.9,0.9,1.8
10,UCF,13,19.2,18.7,33.9,55.1,194.2,1.3,32.9,104.3,3.2,0.8,66.8,298.5,4.5,7.9,7.5,1.9,17.3,8.8,79.8,0.8,1.4,2.2
11,Memphis,13,19.5,20.3,38.0,53.4,228.0,1.1,35.8,121.5,3.4,1.2,73.8,349.5,4.7,10.8,6.3,1.8,18.8,6.5,64.4,1.1,1.3,2.4
12,Utah State,14,19.7,18.9,34.9,54.1,225.4,1.1,39.9,130.6,3.3,1.1,74.8,356.1,4.8,9.4,7.7,1.9,19.1,7.9,67.4,0.8,1.4,2.1
13,San Diego State,13,19.8,15.2,27.3,55.8,178.5,0.8,40.2,153.9,3.8,1.7,67.5,332.5,4.9,7.5,8.6,1.9,18.0,5.1,42.8,0.9,1.1,2.0
14,Virginia Tech,13,20.2,14.1,29.5,47.7,199.0,1.0,37.2,144.8,3.9,1.2,66.8,343.8,5.1,8.1,7.3,1.2,16.6,7.0,59.1,0.8,0.9,1.7
15,Houston,13,20.6,17.7,31.7,55.8,200.1,1.2,38.7,143.3,3.7,1.4,70.4,343.4,4.9,8.8,8.8,1.5,19.1,8.0,75.5,0.8,1.5,2.3
16,Georgia,13,20.7,15.7,29.2,53.8,170.4,1.0,40.5,166.8,4.1,1.8,69.6,337.2,4.8,7.7,10.2,1.5,19.4,5.2,45.2,1.0,1.2,2.2
17,Wisconsin,14,20.8,12.1,24.8,49.0,168.0,1.1,35.1,126.1,3.6,1.4,59.9,294.1,4.9,6.6,6.6,1.4,14.7,5.9,46.1,0.8,0.4,1.2
18,Marshall,14,21.0,18.1,33.3,54.5,196.9,1.5,42.1,160.2,3.8,1.1,75.4,357.1,4.7,9.1,9.9,2.6,21.5,6.1,58.5,0.6,0.9,1.6
19,Florida,12,21.1,19.0,35.8,53.1,213.6,1.3,36.7,116.2,3.2,0.8,72.4,329.8,4.6,9.5,6.5,2.0,18.0,7.3,58.3,1.2,1.3,2.5
20,Missouri,14,21.1,20.6,33.9,60.8,212.7,1.3,37.9,133.7,3.5,1.3,71.8,346.4,4.8,9.8,8.1,1.8,19.6,5.9,47.6,0.9,0.9,1.8
21,Boston College,13,21.3,20.3,32.5,62.4,229.8,1.5,30.6,93.8,3.1,1.1,63.2,323.5,5.1,10.4,5.9,1.0,17.3,5.8,44.9,0.4,0.7,1.1
22,Michigan State,13,21.5,18.0,34.2,52.7,227.3,1.3,27.9,88.5,3.2,1.4,62.1,315.8,5.1,8.6,5.2,1.5,15.3,5.6,44.7,1.2,1.4,2.6
23,Mississippi State,13,21.7,20.3,38.8,52.3,272.8,1.3,36.3,151.5,4.2,1.3,75.2,424.4,5.6,11.0,8.8,0.8,20.6,4.4,36.6,0.5,1.2,1.8
24,Duke,13,21.8,18.1,32.4,55.8,206.8,1.1,43.4,192.9,4.4,1.5,75.8,399.7,5.3,9.1,11.7,1.2,21.9,6.8,60.4,0.8,0.8,1.6
25,Louisville,13,21.8,17.0,31.5,53.9,199.6,1.1,33.4,109.9,3.3,0.9,64.9,309.5,4.8,8.5,5.7,1.2,15.3,5.0,43.6,0.3,2.0,2.3
26,Ohio State,15,22.0,18.4,33.0,55.8,201.1,1.1,35.8,141.3,3.9,1.6,68.8,342.4,5.0,9.0,8.0,1.9,18.9,5.3,45.7,0.5,1.7,2.2
27,Michigan,12,22.4,17.1,28.6,59.8,193.7,1.2,36.7,117.7,3.2,1.1,65.3,311.3,4.8,8.4,7.3,0.8,16.6,6.0,56.7,0.4,0.4,0.8
28,Akron,12,23.1,18.8,33.5,56.0,222.5,1.7,38.1,153.6,4.0,1.2,71.6,376.1,5.3,10.5,8.2,2.6,21.3,7.9,70.8,0.9,1.1,2.0
29,Kansas State,13,23.2,21.0,33.8,62.2,229.0,1.5,33.8,140.3,4.1,1.3,67.6,369.3,5.5,11.8,7.5,0.8,20.2,6.7,60.2,0.5,1.2,1.6
30,Oregon,15,23.6,23.4,38.7,60.4,264.3,1.4,39.1,165.4,4.2,1.5,77.9,429.7,5.5,12.6,8.8,1.9,23.3,6.1,53.9,1.4,0.9,2.3
31,Texas,13,23.8,19.0,32.2,58.9,184.2,1.0,42.2,164.3,3.9,1.3,74.5,348.5,4.7,8.6,9.4,1.3,19.3,5.5,50.4,0.5,1.2,1.7
32,Virginia,12,24.1,18.2,32.9,55.2,232.5,1.6,35.9,120.7,3.4,0.9,68.8,353.2,5.1,9.8,6.9,2.1,18.8,7.3,59.3,1.2,1.3,2.4
33,Air Force,13,24.2,18.4,33.4,55.1,258.4,1.5,35.4,136.9,3.9,1.3,68.8,395.3,5.7,11.1,7.0,1.1,19.2,4.5,42.5,0.6,0.8,1.4
34,Minnesota,13,24.2,17.9,31.2,57.4,193.5,1.5,36.6,174.7,4.8,1.4,67.8,368.2,5.4,9.0,8.7,1.8,19.5,4.5,39.1,1.2,1.2,2.3
35,Tennessee,13,24.2,15.5,29.0,53.3,196.2,1.2,39.6,168.4,4.3,1.8,68.6,364.6,5.3,8.5,9.2,1.1,18.8,6.0,47.7,0.6,1.2,1.8
36,Miami (FL),13,24.3,17.6,30.5,57.7,192.2,1.1,38.3,137.5,3.6,1.6,68.8,329.6,4.8,8.4,8.5,2.2,19.2,5.5,49.7,1.0,0.8,1.8
37,Syracuse,12,24.3,18.8,28.8,65.2,209.9,1.6,41.1,139.3,3.4,0.8,69.8,349.2,5.0,10.0,8.3,1.7,20.0,6.6,56.0,1.0,0.7,1.7
38,Louisiana Tech,14,24.7,22.4,37.7,59.5,244.3,1.4,35.7,118.2,3.3,1.4,73.4,362.5,4.9,11.6,7.4,1.0,19.9,6.3,60.1,1.1,1.9,3.0
39,Florida International,12,24.8,15.1,28.2,53.6,203.3,1.4,39.5,160.3,4.1,1.5,67.7,363.7,5.4,8.1,8.4,1.5,18.0,5.7,48.6,1.6,1.2,2.8
40,Ohio,12,24.8,21.3,36.3,58.6,261.4,1.8,34.6,132.8,3.8,1.1,70.8,394.3,5.6,11.1,8.2,1.3,20.5,6.7,59.4,0.6,1.0,1.6
41,Washington,14,24.8,24.5,38.5,63.6,286.6,1.9,37.8,124.1,3.3,1.0,76.3,410.6,5.4,13.4,7.2,1.9,22.6,6.1,52.7,1.1,0.9,2.1
42,Utah,13,24.9,20.5,34.6,59.3,246.6,1.8,39.0,146.8,3.8,0.9,73.6,393.5,5.3,9.9,8.7,2.2,20.8,5.8,50.9,0.7,0.9,1.6
43,Western Michigan,13,24.9,17.0,31.6,53.8,216.2,1.4,36.2,153.5,4.2,1.5,67.8,369.7,5.5,9.6,7.4,1.9,18.9,5.5,47.8,0.7,1.0,1.7
44,Colorado State,13,25.1,18.3,33.3,55.0,224.2,1.1,40.6,200.3,4.9,2.1,73.9,424.5,5.7,10.6,10.1,1.8,22.5,4.6,46.1,0.5,1.0,1.5
45,Central Michigan,13,25.2,19.2,32.5,58.9,232.5,1.8,32.8,122.9,3.8,1.2,65.3,355.5,5.4,10.6,6.7,1.8,19.1,5.5,47.8,0.6,1.1,1.7
46,Northwestern,12,25.2,18.3,33.1,55.4,214.3,1.4,40.1,169.9,4.2,1.5,73.2,384.3,5.3,9.7,9.3,1.5,20.4,5.6,49.7,1.0,1.3,2.3
47,USC,13,25.2,24.8,42.2,58.8,274.5,1.5,34.9,133.5,3.8,1.5,77.1,408.0,5.3,12.4,7.7,3.2,23.2,6.2,54.8,0.7,1.1,1.8
48,Baylor,13,25.5,19.2,35.1,54.6,264.2,1.8,37.3,117.7,3.2,1.3,72.4,381.8,5.3,9.8,6.5,3.3,19.7,6.8,66.6,1.0,1.0,2.0
49,Florida State,14,25.6,17.7,31.1,57.0,226.8,1.6,40.9,170.1,4.2,1.5,72.0,396.9,5.5,9.4,10.4,1.3,21.1,5.5,48.9,0.9,1.0,1.9
50,Iowa,13,25.6,14.5,27.1,53.7,175.9,1.4,38.1,168.3,4.4,1.5,65.2,344.2,5.3,7.8,8.2,0.9,16.8,6.4,59.6,0.2,1.0,1.2
51,Northern Illinois,14,25.6,18.9,32.6,58.1,228.5,1.3,38.6,163.1,4.2,1.7,71.2,391.6,5.5,11.1,8.8,1.9,21.7,4.5,37.7,0.7,1.0,1.7
52,Georgia Tech,14,25.7,20.1,32.0,62.9,243.7,1.4,33.1,167.6,5.1,1.7,65.1,411.3,6.3,11.4,8.9,1.0,21.4,5.4,44.0,0.8,1.3,2.1
53,East Carolina,13,25.8,21.8,38.5,56.8,255.5,1.5,33.6,111.8,3.3,1.2,72.1,367.3,5.1,11.5,6.1,2.6,20.2,7.1,64.2,0.4,1.1,1.5
54,Georgia Southern,10,25.8,20.0,33.6,59.5,234.9,1.7,37.6,168.3,4.5,1.7,71.2,403.2,5.7,10.6,9.9,1.1,21.6,3.7,31.7,0.5,1.0,1.5
55,Oklahoma,13,25.9,22.1,39.2,56.3,276.2,1.8,35.2,106.4,3.0,1.2,74.5,382.6,5.1,11.9,6.6,1.8,20.3,5.9,47.2,0.5,0.9,1.5
56,UTSA,12,25.9,18.1,31.4,57.6,229.5,1.5,39.3,140.2,3.6,1.2,70.7,369.7,5.2,9.3,7.8,2.7,19.8,6.3,53.0,0.8,0.8,1.6
57,Louisiana,13,26.0,22.2,34.1,65.0,263.6,1.5,35.0,142.2,4.1,1.6,69.1,405.8,5.9,11.2,6.8,1.5,19.5,4.6,35.8,0.8,0.5,1.3
58,Louisiana-Monroe,12,26.3,16.3,28.1,58.2,189.9,1.3,42.3,183.3,4.3,1.8,70.3,373.3,5.3,7.8,9.8,1.3,18.9,6.3,56.8,0.4,0.9,1.3
59,Pitt,13,26.3,15.3,28.6,53.5,198.9,1.3,35.8,160.8,4.5,2.0,64.4,359.8,5.6,8.6,9.1,1.2,18.9,6.0,48.8,0.3,0.8,1.1
60,Nebraska,13,26.4,16.5,33.9,48.5,205.8,1.2,37.5,177.8,4.7,1.9,71.5,383.7,5.4,9.1,8.7,1.2,18.9,6.0,52.3,0.8,1.0,1.8
61,South Alabama,13,26.4,16.6,29.7,56.0,212.8,1.5,41.6,186.1,4.5,1.7,71.3,398.9,5.6,8.5,9.8,2.3,20.6,6.1,56.2,1.2,0.5,1.6
62,Wake Forest,12,26.4,17.6,29.0,60.6,186.6,1.0,41.8,182.7,4.4,1.7,70.8,369.3,5.2,7.8,9.5,1.9,19.3,5.7,45.2,1.1,0.5,1.6
