,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
47,Georgia Tech,ACC (Coastal),,7,5,5.92,-1.24,4.68,88.52,-24.37,14.35,2.47,9.18,0.47,10.03,1.90
48,Temple,American (East),,8,4,2.87,1.70,4.57,84.42,-26.70,12.45,0.21,7.60,0.43,9.36,0.90
49,Duke,ACC (Coastal),,7,5,0.92,3.56,4.47,81.70,-26.37,11.61,1.08,8.13,1.27,9.25,1.86
50,Ohio,MAC (East),,8,4,7.68,-3.69,3.99,89.43,-21.50,13.38,3.39,9.42,1.42,10.54,2.98
51,Memphis,American (West),,8,5,8.49,-4.64,3.84,90.93,-20.04,12.78,2.35,9.77,0.50,10.56,1.91
52,Nebraska,Big Ten (West),,4,8,5.60,-1.95,3.65,83.41,-20.79,12.44,1.75,9.27,1.60,10.22,2.09
53,Houston,American (West),,8,4,12.46,-8.87,3.58,94.53,-15.27,12.99,2.71,9.07,0.94,10.38,2.24
54,Minnesota,Big Ten (West),,6,6,0.66,2.91,3.57,79.11,-24.29,12.55,1.91,7.51,1.59,9.17,2.15
55,Georgia Southern,Sun Belt,,9,3,0.09,3.40,3.49,78.63,-27.77,13.59,2.45,8.62,0.55,9.35,1.85
56,Maryland,Big Ten (East),,5,7,3.21,0.22,3.43,81.03,-22.81,12.41,2.54,9.33,1.10,10.07,2.00
57,Texas Christian,Big 12,,6,6,-4.55,7.88,3.33,76.67,-32.73,12.14,0.58,7.69,0.23,9.24,0.71
58,Ole Miss,SEC (West),,5,7,7.27,-4.10,3.17,91.02,-20.47,14.96,2.28,8.96,1.28,11.46,2.11
59,Buffalo,MAC (East),,10,3,3.42,-0.33,3.09,84.25,-22.70,12.61,2.27,7.91,1.18,9.44,2.15
60,Indiana,Big Ten (East),,5,7,4.05,-1.19,2.86,80.58,-21.71,11.80,2.89,8.05,1.15,9.43,2.32
61,USC,Pac-12 (South),,5,7,0.78,1.99,2.76,77.55,-25.11,12.84,1.32,7.66,0.98,9.78,1.44
62,Troy,Sun Belt,,9,3,-2.78,5.24,2.46,77.10,-28.44,11.97,2.30,7.77,-0.24,9.12,1.39
63,California,Pac-12 (North),,7,5,-5.16,7.50,2.34,73.37,-30.67,11.19,0.68,7.72,0.19,8.91,0.65
64,Arkansas State,Sun Belt,,8,4,1.47,0.66,2.12,80.39,-23.31,12.55,1.81,7.93,1.33,9.66,2.06
65,Brigham Young,Ind,,6,6,-3.10,5.18,2.08,75.60,-30.14,11.72,0.94,7.82,0.27,9.14,0.96
66,Baylor,Big 12,,6,6,2.05,-0.04,2.02,81.06,-23.02,12.67,2.21,7.87,1.74,9.68,2.39
67,Middle Tennessee State,CUSA (East),,8,5,1.94,-0.16,1.78,81.92,-24.46,12.51,1.82,7.16,0.71,9.24,1.74
68,North Texas,CUSA (West),,9,3,2.52,-0.84,1.68,82.76,-24.67,12.50,2.77,7.64,0.59,9.66,2.19
69,Wake Forest,ACC (Atlantic),,6,6,4.04,-2.41,1.63,85.78,-19.58,11.83,2.10,8.36,1.28,9.27,2.23
70,Kansas State,Big 12,,5,7,-2.52,3.63,1.11,76.32,-29.52,11.91,1.34,8.15,1.44,9.15,1.90
71,Tennessee,SEC (East),,5,7,-2.89,3.97,1.08,81.47,-30.05,13.69,1.44,7.75,0.23,9.78,1.24
72,Toledo,MAC (West),,7,5,8.12,-7.14,0.98,91.36,-17.90,12.62,2.71,8.76,1.57,10.01,2.60
73,UAB,CUSA (West),,10,3,-5.33,5.76,0.43,78.49,-29.74,12.35,1.86,8.13,0.70,9.15,1.67
74,Northern Illinois,MAC (West),,8,5,-4.86,5.25,0.39,71.82,-28.28,10.56,2.18,7.56,-0.46,8.37,1.19
75,Eastern Michigan,MAC (West),,7,5,-0.61,0.79,0.18,77.46,-25.88,12.38,1.05,7.28,1.42,9.07,1.78
76,Arizona,Pac-12 (South),,5,7,2.96,-2.93,0.03,81.91,-19.96,13.32,2.17,8.48,0.82,10.27,1.82
77,Marshall,CUSA (East),,8,4,-1.66,1.64,-0.03,76.22,-26.56,11.25,1.94,7.66,0.12,8.84,1.50
78,Virginia Tech,ACC (Coastal),,6,6,2.60,-2.77,-0.17,83.10,-21.59,13.22,2.73,8.10,1.78,9.89,2.71
79,Miami (OH),MAC (East),,6,6,1.46,-1.66,-0.19,78.40,-22.60,11.51,2.09,7.73,0.93,8.99,2.03
80,Colorado,Pac-12 (South),,5,7,-1.19,0.55,-0.64,77.65,-23.90,12.46,1.65,7.14,0.30,9.29,1.21
81,Florida International,CUSA (East),,8,4,0.10,-0.94,-0.84,82.14,-22.56,12.68,2.40,8.02,2.08,9.65,2.55
82,Louisiana,Sun Belt,,7,6,5.42,-6.51,-1.09,83.96,-16.82,13.51,3.72,9.22,1.40,10.48,2.65
83,Tulane,American (West),,6,6,-3.18,1.83,-1.35,74.71,-25.18,12.85,2.45,8.27,0.40,9.47,1.97
84,Florida State,ACC (Atlantic),,5,7,-1.18,-0.35,-1.53,77.09,-24.16,12.55,2.02,6.72,-0.20,9.20,1.39
85,San Diego State,MWC (West),,7,5,-5.75,4.14,-1.61,71.60,-29.51,12.52,2.20,7.47,-0.25,8.96,1.37
86,Air Force,MWC (Mountain),,5,7,0.29,-1.92,-1.62,80.38,-23.95,13.93,4.20,8.18,0.04,9.11,2.53
87,UCLA,Pac-12 (South),,3,9,1.94,-3.59,-1.65,80.00,-19.44,12.71,1.98,8.14,1.08,9.84,1.75
88,Nevada,MWC (West),,7,5,-0.54,-1.27,-1.81,80.60,-23.14,11.79,2.09,7.99,0.42,9.49,1.62
89,Florida Atlantic,CUSA (East),,5,7,1.02,-3.59,-2.58,81.13,-20.18,12.43,2.27,8.61,1.33,9.64,2.21
90,Western Michigan,MAC (West),,7,5,0.96,-3.65,-2.69,82.15,-17.07,13.03,3.59,7.84,1.23,9.53,2.61
91,Wyoming,MWC (Mountain),,6,6,-9.04,5.81,-3.23,69.38,-31.34,10.00,0.81,8.33,0.75,8.57,1.13
92,Arkansas,SEC (West),,2,10,-3.29,-0.89,-4.18,79.05,-22.57,11.74,2.57,8.02,0.34,9.18,1.62
93,South Florida,American (East),,7,5,-0.16,-4.10,-4.25,76.28,-20.33,11.76,1.94,8.31,1.35,9.39,2.03
94,SMU,American (West),,5,7,2.94,-7.24,-4.31,81.33,-17.59,11.90,2.16,6.93,0.52,8.98,1.76
95,North Carolina,ACC (Coastal),,2,9,2.55,-7.02,-4.47,81.06,-18.06,11.84,2.37,9.10,1.49,9.86,2.34
96,Southern Mississippi,CUSA (West),,6,5,-4.45,-0.09,-4.54,76.04,-25.81,11.50,1.44,6.64,0.44,8.53,1.46
97,Hawaii,MWC (West),,8,5,5.50,-10.40,-4.90,83.12,-12.40,12.85,3.63,7.28,1.80,9.85,3.01
98,Kansas,Big 12,,3,9,-3.44,-1.59,-5.03,76.59,-23.32,11.34,2.83,8.08,1.17,9.11,2.26
99,Louisiana-Monroe,Sun Belt,,6,6,-3.06,-2.32,-5.38,75.30,-18.40,12.16,3.64,8.18,1.06,9.58,2.59
100,Illinois,Big Ten (West),,4,8,0.00,-5.84,-5.84,77.22,-10.63,11.15,3.90,9.49,2.36,9.79,3.43
101,Navy,American (West),,3,10,-2.26,-3.81,-6.07,76.84,-20.33,12.46,2.94,8.70,1.57,9.12,2.82
102,Louisiana Tech,CUSA (West),,7,5,-5.07,-1.08,-6.15,74.60,-23.27,11.32,2.08,7.35,1.11,8.88,1.98
103,Charlotte,CUSA (East),,5,7,-6.32,-1.10,-7.42,71.74,-23.62,12.23,3.51,7.11,0.39,8.64,2.34
104,Tulsa,American (West),,3,9,-6.57,-2.17,-8.74,71.75,-22.47,11.50,1.82,7.56,1.47,8.58,1.98
105,Coastal Carolina,Sun Belt,,5,7,-2.55,-6.39,-8.94,75.84,-17.64,12.73,3.25,8.01,3.02,9.31,3.58
106,Rutgers,Big Ten (East),,1,11,-11.53,2.33,-9.19,65.65,-19.87,9.48,1.60,7.43,1.58,7.89,1.99
107,Liberty,Ind,,6,6,0.14,-9.52,-9.39,81.14,-13.10,11.62,2.68,7.31,2.33,8.88,3.00
