rank,conference,size,num_games,win,loss,pct,bowl_games,bowl_win,bowl_loss,bowl_pct,srs,sos,prepoll,postpoll,champion
1,Big 12 Conference,10,128,78,50,0.609,8,6,2,0.75,10.5,7.02,4,4,Oklahoma State
2,Southeastern Conference,12,155,97,58,0.626,9,6,3,0.667,8.73,4.03,8,5,LSU
3,Big Ten Conference,12,156,88,68,0.564,10,4,6,0.4,4.42,1.85,4,4,Wisconsin
4,Pacific-12 Conference,12,154,81,73,0.526,7,2,5,0.286,3.69,2.75,3,3,Oregon
5,Big East Conference,8,101,57,44,0.564,5,3,2,0.6,3.19,0.45,1,2,Cincinnati Louisville West Virginia
6,Atlantic Coast Conference,12,154,82,72,0.532,8,2,6,0.25,1.67,0.37,2,3,Clemson
7,Independent,4,50,26,24,0.52,2,1,1,0.5,1.4,-0.51,1,0,
8,Mountain West Conference,8,101,52,49,0.515,5,2,3,0.4,-3.44,-3.23,2,2,Texas Christian
9,Mid-American Conference,13,163,79,84,0.485,5,4,1,0.8,-3.68,-3.01,0,0,Northern Illinois
10,Conference USA,12,152,74,78,0.487,5,4,1,0.8,-4.39,-3.1,0,2,Southern Mississippi
11,Western Athletic Conference,8,102,43,59,0.422,3,0,3,0,-5.63,-3.73,0,0,Louisiana Tech
12,Sun Belt Conference,9,111,49,62,0.441,3,1,2,0.333,-9.66,-6.33,0,0,Arkansas State
