,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Baylor,13,48.1,17.6,29.9,58.9,289.5,3.4,54.9,326.7,5.9,3.2,84.8,616.2,7.3,11.1,16.9,1.5,29.5,9.1,80.2,1.0,1.0,2.0
2,Texas Tech,13,45.1,29.9,47.7,62.7,388.2,3.0,35.7,191.3,5.4,2.6,83.4,579.5,6.9,15.6,10.8,1.8,28.3,7.1,64.3,0.6,1.2,1.8
3,Western Kentucky,14,44.3,28.4,39.6,71.8,372.2,3.6,33.1,154.6,4.7,2.1,72.6,526.9,7.3,15.0,8.6,1.4,24.9,5.9,57.8,0.6,0.6,1.2
4,Oklahoma,13,43.5,22.5,33.8,66.5,308.2,2.9,44.2,222.1,5.0,2.5,77.9,530.2,6.8,13.8,11.0,2.3,27.2,6.2,61.5,0.7,0.7,1.4
5,Oregon,13,43.0,18.2,28.8,62.9,258.3,2.5,47.5,280.1,5.9,2.6,76.4,538.4,7.0,10.5,13.3,1.8,25.7,6.9,61.0,0.5,0.8,1.3
6,Bowling Green State,14,42.2,28.4,42.4,67.0,366.8,3.4,38.7,180.0,4.6,2.4,81.1,546.8,6.7,15.1,10.3,2.4,27.8,8.8,80.9,0.5,0.6,1.1
7,Texas Christian,13,42.1,25.0,39.7,63.0,347.4,3.0,43.2,215.5,5.0,2.0,82.9,562.8,6.8,14.6,11.2,1.8,27.5,7.2,70.9,0.3,1.2,1.5
8,Ole Miss,13,40.8,24.5,37.6,65.0,334.7,2.7,35.6,183.1,5.1,2.2,73.2,517.8,7.1,14.0,10.1,2.2,26.2,6.1,54.0,0.7,1.1,1.8
9,North Carolina,14,40.7,18.6,29.1,63.7,262.2,2.2,37.6,224.7,6.0,2.9,66.8,486.9,7.3,11.3,10.4,2.2,23.9,5.7,46.4,0.6,0.7,1.4
10,Houston,14,40.4,20.3,30.9,65.7,248.3,1.6,47.8,236.3,4.9,3.3,78.6,484.6,6.2,10.6,11.2,1.9,23.7,6.1,56.7,0.5,0.5,1.0
11,Memphis,13,40.2,23.9,35.8,66.9,307.6,2.3,43.3,179.3,4.1,2.2,79.1,486.9,6.2,12.0,8.5,1.6,24.8,7.6,75.1,0.7,0.4,1.1
12,Arkansas State,13,40.0,15.9,28.1,56.7,207.2,1.8,46.8,232.1,5.0,2.7,74.8,439.2,5.9,8.8,10.9,1.8,22.3,8.4,80.3,0.8,1.2,2.0
13,Southern Mississippi,14,39.9,24.1,37.9,63.7,329.7,2.9,35.9,179.8,5.0,2.2,73.8,509.5,6.9,13.4,7.4,2.3,23.1,6.9,66.5,0.9,0.9,1.8
14,Oklahoma State,13,39.5,25.0,39.8,62.9,353.2,2.7,35.4,126.5,3.6,1.8,75.2,479.6,6.4,15.2,6.8,1.6,23.5,5.7,50.2,0.4,0.8,1.2
15,Boise State,13,39.1,25.6,40.3,63.5,309.9,1.8,42.5,191.4,4.5,2.8,82.8,501.3,6.1,13.5,9.7,2.0,26.5,6.3,53.5,0.8,0.9,1.7
16,Clemson,15,38.5,23.7,35.2,67.4,291.9,2.3,45.3,222.7,4.9,2.3,80.5,514.5,6.4,13.2,11.0,2.0,26.2,5.6,46.3,0.8,1.0,1.8
17,California,13,37.9,27.1,42.3,64.0,375.9,3.4,33.8,152.8,4.5,1.2,76.1,528.8,7.0,15.5,8.8,2.0,26.2,5.2,43.7,0.7,1.1,1.8
18,Stanford,14,37.8,15.2,22.7,67.0,211.8,2.1,43.6,223.6,5.1,2.4,66.3,435.4,6.6,9.2,11.1,1.9,22.2,5.6,46.3,0.4,0.6,0.9
19,Louisiana Tech,13,37.5,22.7,36.7,61.8,322.6,2.2,33.2,159.8,4.8,2.1,69.9,482.5,6.9,13.4,8.4,2.0,23.8,5.5,51.0,0.8,0.8,1.6
20,Arizona,13,37.4,21.0,35.8,58.7,272.0,2.1,40.4,222.8,5.5,2.4,76.2,494.8,6.5,11.3,10.6,2.5,24.5,5.7,48.7,0.8,0.8,1.5
21,Tulsa,13,37.2,23.5,37.8,62.0,333.2,1.9,45.5,174.2,3.8,2.5,83.3,507.4,6.1,12.5,8.3,2.3,25.5,7.0,56.2,0.9,0.6,1.5
22,Navy,13,36.8,4.9,9.4,52.5,98.5,0.7,57.5,326.7,5.7,4.1,66.9,425.2,6.4,3.1,16.7,1.2,20.9,3.1,26.1,0.5,0.2,0.6
23,Appalachian State,13,36.7,13.6,22.6,60.2,194.1,2.5,46.8,272.2,5.8,1.9,69.4,466.3,6.7,8.4,12.1,1.8,22.3,6.5,56.9,1.0,0.7,1.7
24,Georgia Southern,13,36.5,4.5,10.5,43.1,63.4,0.3,55.7,362.5,6.5,4.2,66.2,425.9,6.4,2.9,15.2,1.2,19.2,5.2,48.0,0.8,0.8,1.6
25,Indiana,13,36.5,20.7,35.5,58.4,293.8,2.1,45.5,210.5,4.6,2.1,81.0,504.3,6.2,12.9,10.8,2.2,25.9,7.0,59.8,0.5,0.6,1.1
26,Western Michigan,13,36.0,21.0,31.1,67.6,287.1,2.3,40.5,203.7,5.0,2.2,71.5,490.8,6.9,12.0,10.7,1.0,23.7,6.2,57.9,0.6,0.7,1.3
27,Arkansas,13,35.9,18.9,28.8,65.8,268.2,2.4,39.3,198.3,5.0,2.4,68.1,466.5,6.9,12.8,9.9,0.7,23.4,4.2,36.7,0.2,0.6,0.8
28,Ohio State,13,35.7,15.6,24.9,62.7,188.8,1.5,43.7,245.3,5.6,3.0,68.6,434.1,6.3,8.8,11.6,1.2,21.5,5.8,54.7,0.7,0.7,1.4
29,Tennessee,13,35.2,16.9,28.5,59.3,198.6,1.3,47.5,223.7,4.7,2.5,76.0,422.3,5.6,10.0,11.5,1.0,22.5,5.1,40.8,0.5,0.4,0.8
30,Alabama,15,35.1,20.1,29.7,67.5,227.1,1.5,42.8,199.9,4.7,2.2,72.5,427.1,5.9,9.8,10.5,1.7,22.0,5.9,55.7,0.5,0.7,1.1
31,Toledo,12,35.0,19.3,34.3,56.2,253.0,2.0,40.9,208.4,5.1,2.1,75.2,461.4,6.1,11.5,9.2,1.7,22.3,8.0,68.2,0.3,0.8,1.2
32,Arizona State,13,34.6,24.5,41.0,59.8,298.5,2.3,41.3,178.8,4.3,1.5,82.3,477.4,5.8,13.1,8.9,1.5,23.5,4.6,39.8,0.8,0.7,1.5
33,Mississippi State,13,34.4,25.5,38.5,66.2,316.4,2.5,32.8,144.1,4.4,1.6,71.3,460.5,6.5,11.8,8.7,0.7,23.2,4.1,38.9,1.0,0.4,1.4
34,Notre Dame,13,34.2,18.5,29.5,62.5,258.5,1.9,37.0,208.3,5.6,2.2,66.5,466.8,7.0,11.0,9.9,1.5,22.5,5.2,45.5,0.8,0.8,1.5
35,Middle Tennessee State,13,34.0,25.6,38.5,66.6,310.8,2.4,38.8,151.5,3.9,1.8,77.2,462.3,6.0,12.3,9.7,1.3,23.3,4.8,42.7,1.5,0.8,2.2
36,West Virginia,13,34.0,17.8,33.0,54.1,251.5,2.0,47.9,228.2,4.8,1.9,80.9,479.7,5.9,10.7,11.8,2.5,25.0,6.7,70.0,0.5,1.2,1.7
37,USC,14,33.9,22.1,33.1,66.7,269.7,2.1,37.6,168.2,4.5,1.9,70.7,437.9,6.2,11.3,9.3,1.4,22.0,7.4,68.6,0.4,0.5,0.9
38,Air Force,14,33.8,6.2,12.1,51.2,131.9,1.1,58.4,319.4,5.5,3.2,70.5,451.4,6.4,4.6,14.2,1.1,21.5,3.8,38.3,0.8,0.9,1.6
39,Cincinnati,13,33.8,26.2,42.1,62.3,359.9,2.2,39.4,177.9,4.5,1.9,81.5,537.8,6.6,16.7,9.7,2.1,28.5,8.0,72.9,0.8,1.7,2.5
40,Brigham Young,13,33.7,23.2,38.8,59.9,296.5,2.0,31.8,128.3,4.0,2.2,70.5,424.8,6.0,11.6,6.4,1.8,21.1,6.5,57.7,0.6,0.9,1.5
41,South Florida,13,33.6,13.6,23.0,59.2,194.3,2.0,45.7,247.3,5.4,2.2,68.7,441.6,6.4,7.3,11.5,1.5,20.3,6.1,54.9,0.5,0.7,1.2
42,North Carolina State,13,33.2,18.9,31.8,59.6,210.8,1.5,41.5,202.5,4.9,2.8,73.3,413.3,5.6,10.1,10.2,1.2,21.5,5.5,52.8,0.5,0.5,1.0
43,LSU,12,32.8,12.4,23.2,53.6,180.4,1.1,42.1,256.8,6.1,2.9,65.3,437.3,6.7,6.8,10.8,1.6,20.5,8.0,64.5,0.3,0.5,0.8
44,Nebraska,13,32.8,19.7,35.2,55.9,266.9,2.1,38.2,180.0,4.7,1.8,73.4,446.9,6.1,12.3,8.8,1.7,22.8,7.2,63.8,0.5,1.6,2.1
45,UCLA,13,32.2,23.1,39.2,58.8,288.9,1.8,35.4,176.8,5.0,2.0,74.6,465.8,6.2,12.6,9.2,1.3,23.1,8.3,70.3,0.5,1.0,1.5
46,San Diego State,14,32.1,10.1,17.9,56.2,142.0,1.2,48.3,233.3,4.8,2.3,66.2,375.3,5.7,6.1,10.7,1.8,18.6,6.4,58.1,0.6,0.2,0.9
47,Florida State,13,31.7,20.3,32.2,63.0,255.8,1.7,32.7,168.2,5.1,2.1,64.9,424.0,6.5,10.8,8.2,1.5,20.6,6.8,54.0,0.5,0.7,1.2
