,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,UCF,13,48.2,22.1,32.6,67.7,331.8,2.9,38.5,199.2,5.2,3.0,71.1,530.9,7.5,13.1,9.2,2.8,25.2,8.4,68.1,0.5,0.7,1.2
2,Memphis,13,45.5,23.6,37.5,62.9,335.0,3.0,34.8,197.1,5.7,2.5,72.4,532.1,7.4,14.5,8.2,2.5,25.2,8.5,77.4,0.5,0.8,1.2
3,Oklahoma,14,45.1,22.1,30.9,71.4,361.8,3.4,39.0,217.8,5.6,2.4,69.9,579.6,8.3,14.4,10.2,1.4,25.8,5.9,57.8,0.5,0.4,0.9
4,Oklahoma State,13,45.0,25.0,38.7,64.6,389.2,2.8,38.5,182.2,4.7,2.6,77.2,571.3,7.4,16.4,9.1,2.2,27.6,5.1,45.5,0.8,0.8,1.6
5,Arizona,13,41.3,14.1,22.7,62.0,180.2,1.5,46.9,309.7,6.6,3.7,69.6,489.9,7.0,7.5,13.1,3.1,23.5,5.3,55.0,0.7,1.0,1.7
6,Ohio State,14,41.1,20.5,31.4,65.2,262.8,2.8,42.0,243.4,5.8,2.4,73.4,506.2,6.9,10.7,12.4,2.1,25.3,6.9,67.4,0.6,0.7,1.4
7,Penn State,13,41.1,23.2,35.2,65.7,290.2,2.5,34.7,170.2,4.9,2.8,69.9,460.3,6.6,13.2,7.6,1.9,22.8,4.2,37.7,0.2,0.8,1.0
8,Florida Atlantic,14,40.6,16.7,25.8,64.8,213.1,1.5,47.5,285.1,6.0,3.7,73.3,498.2,6.8,7.9,14.9,1.4,24.3,5.9,52.4,0.4,0.5,0.9
9,Ohio,13,39.1,13.7,24.7,55.5,188.5,1.5,42.5,244.1,5.7,3.4,67.2,432.6,6.4,8.0,11.4,2.8,22.2,5.1,45.4,0.9,0.7,1.6
10,South Florida,12,38.3,16.3,30.6,53.4,248.9,2.1,52.8,264.1,5.0,2.5,83.4,513.0,6.1,10.0,13.8,1.9,25.8,9.3,86.0,0.7,0.5,1.2
11,Louisville,13,38.1,21.3,35.7,59.7,299.8,2.2,38.1,245.1,6.4,2.5,73.8,544.9,7.4,12.9,12.1,2.1,27.1,6.3,51.1,0.8,0.8,1.6
12,Arkansas State,12,37.8,26.4,42.6,62.0,342.2,3.2,38.5,152.8,4.0,1.4,81.1,494.9,6.1,15.9,8.8,2.3,26.8,7.8,69.0,0.7,1.4,2.1
13,SMU,13,37.8,21.8,37.5,58.1,294.1,2.7,37.4,184.4,4.9,2.0,74.8,478.5,6.4,12.4,9.5,2.3,24.0,6.4,59.2,0.5,1.0,1.5
14,Missouri,13,37.5,19.0,33.1,57.4,308.6,3.4,37.2,194.5,5.2,1.2,70.3,503.2,7.2,11.5,10.2,1.6,23.4,7.4,59.5,0.8,1.1,1.9
15,Alabama,14,37.1,14.6,23.8,61.3,193.4,2.0,43.7,250.6,5.7,2.6,67.5,444.1,6.6,8.6,12.4,1.4,22.2,4.9,40.6,0.5,0.2,0.7
16,Toledo,14,36.4,19.1,30.2,63.1,279.9,2.0,39.7,205.2,5.2,2.3,69.9,485.1,6.9,11.9,9.5,1.6,23.0,7.6,67.9,0.7,0.6,1.4
