,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Mississippi State,12,12.0,16.6,30.6,54.2,164.2,0.4,34.2,105.1,3.1,0.6,64.8,269.3,4.2,7.6,7.4,1.8,16.8,5.2,39.6,0.5,1.0,1.5
2,Clemson,13,13.7,15.3,29.0,52.8,183.8,0.8,38.8,99.5,2.6,0.6,67.8,283.2,4.2,7.5,5.9,1.5,14.9,6.5,51.5,0.8,0.7,1.5
3,Fresno State,13,13.7,16.3,32.0,51.0,194.1,1.1,36.1,129.8,3.6,0.5,68.1,323.8,4.8,9.0,7.3,1.5,17.8,5.2,42.7,0.5,1.3,1.8
4,Alabama,13,14.8,15.8,30.5,51.8,178.4,1.3,34.8,117.8,3.4,0.5,65.2,296.2,4.5,8.0,5.9,1.9,15.8,6.5,54.5,0.5,1.1,1.6
5,Washington,13,15.5,20.8,32.3,64.3,185.4,0.7,33.0,116.4,3.5,0.9,65.3,301.8,4.6,9.3,6.2,1.0,16.5,5.0,43.0,0.6,0.8,1.5
6,Appalachian State,12,15.7,15.4,27.8,55.4,148.2,0.6,36.5,131.3,3.6,1.0,64.3,279.4,4.3,6.8,7.0,1.5,15.3,5.5,43.3,0.5,1.3,1.8
7,Cincinnati,12,16.1,14.8,31.1,47.5,188.2,1.4,32.6,101.8,3.1,0.6,63.7,289.9,4.6,7.8,4.5,2.4,14.7,5.9,51.6,0.6,0.9,1.5
8,Kentucky,12,16.3,16.6,28.4,58.4,181.3,1.0,34.9,145.7,4.2,0.9,63.3,327.0,5.2,7.7,7.6,1.8,17.0,8.2,69.9,0.8,0.7,1.5
9,Notre Dame,12,17.3,20.8,37.0,56.1,198.0,0.6,36.3,133.5,3.7,1.3,73.3,331.5,4.5,10.5,7.2,1.8,19.4,4.9,40.3,0.7,1.0,1.7
10,UAB,13,17.3,14.8,28.1,52.6,181.2,1.1,33.6,119.0,3.5,0.9,61.7,300.2,4.9,7.6,6.5,2.9,17.0,4.5,44.0,0.7,0.7,1.4
11,Iowa,12,17.4,18.0,30.8,58.4,186.8,1.5,32.8,104.1,3.2,0.7,63.6,290.8,4.6,7.8,7.5,1.3,16.6,5.8,53.2,0.5,1.5,2.0
12,Michigan,12,17.6,12.4,25.5,48.7,139.4,1.0,34.3,123.1,3.6,1.1,59.8,262.5,4.4,6.3,6.7,2.9,15.9,5.9,57.3,0.5,0.9,1.4
13,Army,12,18.0,14.3,24.7,58.1,185.3,1.3,26.6,108.2,4.1,0.9,51.3,293.5,5.7,8.0,5.7,1.4,15.1,5.6,43.0,0.9,0.4,1.3
14,Michigan State,12,18.0,21.8,37.0,58.8,230.2,1.1,30.4,81.3,2.7,0.7,67.4,311.5,4.6,10.9,4.4,1.5,16.8,5.5,51.6,0.8,1.2,1.9
15,Miami (FL),12,18.2,13.6,25.5,53.3,140.8,0.8,38.7,127.3,3.3,0.9,64.2,268.1,4.2,6.4,7.5,1.5,15.4,5.1,49.7,0.8,1.3,2.0
16,Georgia,13,18.5,18.3,30.4,60.3,180.5,1.0,32.2,130.6,4.1,1.2,62.5,311.2,5.0,8.5,6.8,1.5,16.9,4.7,35.8,0.7,0.6,1.3
17,Utah,13,18.5,19.3,33.7,57.3,213.3,1.2,34.1,102.9,3.0,1.0,67.8,316.2,4.7,9.1,5.9,2.0,17.0,4.7,45.2,0.5,1.1,1.5
18,Auburn,12,19.6,17.7,32.0,55.2,222.4,1.3,37.1,141.2,3.8,0.6,69.1,363.6,5.3,9.3,7.5,2.4,19.2,7.0,54.9,0.6,1.0,1.6
19,Southern Mississippi,11,19.8,16.3,30.5,53.4,175.6,1.2,30.5,102.9,3.4,0.9,61.0,278.5,4.6,8.1,5.4,1.2,14.6,5.1,50.6,0.8,1.3,2.1
20,Penn State,12,20.0,17.8,33.4,53.4,186.5,1.2,42.3,168.4,4.0,1.2,75.7,354.9,4.7,9.1,9.4,1.8,20.3,7.8,70.2,0.6,1.1,1.7
21,Florida,12,20.4,15.3,28.6,53.4,173.1,1.3,38.3,166.7,4.4,1.1,66.8,339.8,5.1,7.3,8.3,2.2,17.8,6.9,54.9,0.9,1.0,1.9
22,LSU,12,20.9,17.6,34.8,50.5,206.8,1.4,36.3,139.3,3.8,1.1,71.2,346.1,4.9,9.3,8.3,2.2,19.8,7.5,66.8,0.6,1.3,1.9
23,Troy,12,21.2,17.3,29.4,58.6,214.7,1.5,39.6,130.9,3.3,1.2,69.0,345.6,5.0,9.2,8.0,1.3,18.4,5.8,53.5,0.8,1.4,2.3
24,California,12,21.3,17.9,30.5,58.7,187.1,1.1,37.7,132.3,3.5,1.0,68.2,319.4,4.7,8.4,7.7,1.5,17.6,6.4,56.7,0.6,1.4,2.0
25,UCF,12,21.3,17.3,31.6,54.9,196.2,1.0,47.0,229.6,4.9,1.4,78.6,425.8,5.4,8.8,12.3,1.7,22.8,7.5,68.3,1.1,1.1,2.2
26,Northern Illinois,13,21.5,19.6,34.6,56.7,238.2,1.0,40.8,109.7,2.7,1.2,75.5,347.8,4.6,11.3,6.3,2.8,20.5,5.5,42.6,0.8,0.5,1.4
27,Georgia Southern,12,21.6,18.5,30.0,61.7,217.6,0.9,36.7,144.3,3.9,1.8,66.7,361.8,5.4,9.5,8.2,1.4,19.1,5.6,48.5,1.0,1.3,2.3
28,Brigham Young,12,21.7,19.9,32.7,61.0,195.2,1.1,35.3,129.8,3.7,1.7,67.9,325.0,4.8,9.3,7.9,1.4,18.7,6.2,50.3,0.8,0.7,1.4
29,North Texas,12,21.8,18.9,35.4,53.4,246.1,1.2,33.9,113.4,3.3,1.4,69.3,359.5,5.2,10.3,6.3,1.8,18.3,5.8,54.8,0.3,1.4,1.8
30,San Diego State,12,21.8,19.3,31.6,61.2,232.9,1.4,34.4,94.5,2.7,1.2,66.0,327.4,5.0,9.2,5.6,1.5,16.3,4.8,45.6,0.3,0.8,1.1
31,Virginia,12,21.8,14.9,27.8,53.6,180.1,1.0,35.2,157.1,4.5,1.3,63.0,337.2,5.4,8.3,7.5,1.0,16.7,5.6,52.7,0.3,1.3,1.6
32,Eastern Michigan,12,22.0,15.4,27.9,55.2,160.0,1.0,43.4,193.8,4.5,1.4,71.3,353.8,5.0,6.6,9.9,2.4,18.9,7.3,68.3,0.9,1.1,2.0
33,Marshall,12,22.0,20.1,35.3,57.0,231.7,1.3,35.4,103.9,2.9,1.2,70.7,335.6,4.7,10.0,6.0,2.6,18.6,6.7,56.8,0.9,1.0,1.9
34,Wyoming,12,22.0,20.1,32.8,61.2,196.7,1.3,35.3,129.5,3.7,1.4,68.2,326.2,4.8,9.3,8.0,1.3,18.6,5.9,48.1,0.4,0.8,1.3
35,Boise State,13,22.1,18.5,29.4,62.8,233.0,1.3,33.7,122.9,3.6,1.2,63.1,355.9,5.6,9.5,7.0,1.4,17.8,6.0,45.8,1.3,0.5,1.8
36,Iowa State,12,22.5,20.1,32.6,61.6,228.8,1.8,36.8,122.3,3.3,0.7,69.3,351.0,5.1,10.3,7.9,0.8,18.9,6.3,60.1,0.6,0.7,1.3
37,North Carolina State,12,22.7,21.1,35.7,59.1,271.2,1.4,30.9,109.1,3.5,1.1,66.6,380.3,5.7,10.8,6.3,1.5,18.6,6.8,51.9,0.8,0.8,1.5
38,Utah State,12,23.0,18.9,35.1,53.9,240.1,1.4,40.8,145.1,3.6,0.9,75.8,385.2,5.1,9.8,7.4,2.4,19.6,7.5,65.3,0.8,1.5,2.3
39,Washington State,12,23.1,17.8,30.3,58.5,208.8,1.4,33.9,137.2,4.0,1.5,64.3,345.9,5.4,8.9,7.6,2.8,19.3,7.0,60.2,0.8,0.8,1.7
40,Northwestern,13,23.5,22.8,35.3,64.5,258.1,1.5,34.3,132.6,3.9,1.1,69.6,390.7,5.6,11.3,7.6,0.9,19.8,7.3,70.2,0.7,0.8,1.5
41,Louisiana Tech,12,23.8,16.9,29.6,57.2,193.6,1.2,38.3,157.3,4.1,1.9,67.8,350.9,5.2,8.8,9.2,1.3,19.3,5.1,50.0,0.8,0.8,1.6
42,Stanford,12,23.8,22.7,36.4,62.2,274.7,1.2,36.2,140.9,3.9,1.3,72.6,415.6,5.7,12.4,7.7,1.1,21.2,6.3,63.0,0.5,0.9,1.4
43,Wisconsin,12,24.3,16.9,28.7,59.0,200.8,1.2,35.9,157.9,4.4,1.4,64.6,358.8,5.6,8.8,7.9,2.0,18.7,3.6,34.7,0.8,0.8,1.7
44,Missouri,12,24.4,18.4,33.3,55.3,256.1,1.7,34.1,122.9,3.6,0.8,67.4,379.0,5.6,10.2,6.2,1.8,18.1,6.7,56.9,0.5,0.7,1.2
45,Texas Christian,12,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9.0,8.7,1.3,19.0,5.8,46.3,0.8,0.6,1.3
46,Buffalo,13,24.7,14.3,27.7,51.7,184.5,1.5,39.5,165.0,4.2,1.5,67.2,349.5,5.2,7.2,9.3,1.3,17.8,7.5,78.6,0.7,1.1,1.8
47,Florida International,12,24.7,16.9,27.9,60.6,188.3,1.3,40.1,198.4,5.0,1.6,68.0,386.7,5.7,8.7,11.5,2.2,22.3,4.7,44.3,0.3,1.4,1.8
48,Temple,12,24.7,17.4,32.8,53.0,166.3,1.5,46.4,192.4,4.1,1.6,79.3,358.8,4.5,8.4,11.3,3.3,22.9,6.6,53.2,1.1,1.3,2.3
49,Arizona State,12,25.1,19.3,31.6,60.9,238.7,1.7,39.6,164.2,4.1,1.2,71.2,402.8,5.7,10.8,9.8,2.2,22.8,6.0,56.0,0.7,0.8,1.5
