,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,USC,13,9.0,15.3,29.4,52.1,134.4,0.5,32.0,87.4,2.7,0.6,61.4,221.8,3.6,6.6,5.1,2.2,13.9,6.2,50.6,0.8,1.5,2.2
2,Texas Christian,13,11.3,14.8,29.5,50.3,170.7,0.6,27.3,47.1,1.7,0.7,56.8,217.8,3.8,6.8,2.7,2.6,12.1,4.2,39.5,1.0,1.2,2.2
3,Boise State,13,12.6,18.0,34.5,52.1,190.2,0.6,36.6,118.0,3.2,0.7,71.2,308.2,4.3,8.7,7.1,1.8,17.5,6.5,57.3,0.8,1.7,2.5
4,Florida,14,12.9,17.3,32.6,53.1,179.9,0.9,31.4,105.4,3.4,0.6,64.0,285.3,4.5,8.3,6.9,1.5,16.7,6.2,50.1,0.6,1.9,2.5
5,Iowa,13,13.0,19.7,35.6,55.3,197.3,0.7,30.5,94.0,3.1,0.5,66.2,291.3,4.4,9.9,5.2,1.4,16.5,5.0,46.5,0.7,1.8,2.5
6,Ohio State,13,13.9,19.5,33.8,57.5,183.5,0.9,31.2,110.2,3.5,0.5,65.1,293.8,4.5,9.0,7.4,1.5,17.8,4.6,39.0,1.1,1.2,2.2
7,Alabama,14,14.3,17.6,33.4,52.7,189.4,1.3,27.9,74.1,2.7,0.4,61.3,263.5,4.3,8.6,4.3,1.2,14.1,6.2,47.6,0.7,1.1,1.8
8,Penn State,13,14.4,17.3,30.7,56.4,186.8,0.8,33.1,93.2,2.8,0.9,63.8,280.1,4.4,8.9,6.1,0.8,15.8,4.8,43.4,0.5,1.2,1.8
9,Virginia Tech,14,16.7,12.9,24.5,52.8,175.0,0.9,32.2,104.4,3.2,0.9,56.7,279.4,4.9,7.4,5.6,0.7,13.7,6.1,53.1,1.0,1.4,2.4
10,Tennessee,12,16.8,15.5,27.7,56.0,160.4,0.7,37.0,103.1,2.8,0.5,64.7,263.5,4.1,8.3,6.3,1.7,16.3,5.8,44.9,0.3,1.4,1.7
11,West Virginia,13,17.0,18.5,32.9,56.1,197.3,0.8,36.5,131.6,3.6,1.2,69.5,328.9,4.7,9.5,8.4,1.2,19.2,5.9,50.9,0.8,1.3,2.2
12,Utah,13,17.2,17.3,31.5,55.0,190.0,1.2,31.9,99.2,3.1,0.8,63.4,289.2,4.6,7.9,6.0,2.2,16.1,7.0,50.8,0.9,1.5,2.4
13,Clemson,13,17.3,18.4,32.9,55.8,172.5,1.1,34.1,127.4,3.7,0.5,67.0,299.9,4.5,8.4,6.5,1.1,16.0,6.5,52.6,0.7,1.5,2.2
14,Auburn,12,18.0,16.6,30.8,53.9,178.8,1.6,34.0,138.9,4.1,0.6,64.8,317.8,4.9,8.4,7.1,1.5,17.0,4.9,41.7,0.6,0.9,1.5
15,Northern Illinois,13,18.0,16.0,26.0,61.5,161.1,1.0,33.6,137.4,4.1,1.0,59.6,298.5,5.0,7.4,7.5,1.6,16.5,4.7,35.7,1.1,0.5,1.5
