,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Wisconsin,13,13.7,14.8,30.3,49.0,172.9,0.5,30.5,95.6,3.1,1.0,60.8,268.5,4.4,8.2,4.6,1.2,14.1,7.6,66.8,0.7,0.9,1.6
2,Alabama,15,15.1,16.7,33.0,50.5,200.5,1.1,31.2,75.7,2.4,0.5,64.2,276.3,4.3,8.6,4.5,1.8,14.9,6.0,46.4,0.5,1.3,1.8
3,Ohio State,13,15.1,15.9,31.6,50.4,184.5,1.1,37.5,126.8,3.4,0.8,69.2,311.3,4.5,7.9,7.2,1.5,16.6,5.3,41.4,0.7,0.9,1.6
4,Boston College,12,15.3,14.4,27.8,51.8,171.3,0.8,34.8,83.3,2.4,0.5,62.6,254.6,4.1,7.3,4.5,2.0,13.8,6.5,53.2,0.8,1.1,1.9
5,Missouri,12,16.2,18.3,29.5,61.9,169.3,0.8,40.3,132.8,3.3,0.9,69.8,302.0,4.3,8.2,8.3,1.3,17.8,5.2,50.4,0.6,0.8,1.3
6,Michigan,13,16.4,13.9,29.3,47.5,158.3,0.6,33.6,122.4,3.6,0.9,62.9,280.7,4.5,7.3,7.0,2.4,16.7,5.7,51.4,0.2,0.8,0.9
7,San Diego State,14,16.4,14.6,27.2,53.5,178.6,1.0,34.4,108.7,3.2,0.9,61.6,287.3,4.7,7.4,5.9,2.4,15.7,5.3,45.3,0.8,1.6,2.4
8,Georgia,13,16.9,13.7,26.5,51.7,156.5,0.8,37.5,149.0,4.0,0.8,63.9,305.5,4.8,6.7,6.8,1.0,14.5,4.8,34.0,0.8,0.9,1.7
9,Florida State,13,17.5,19.4,34.1,56.9,191.6,1.1,37.9,145.3,3.8,0.8,72.0,336.9,4.7,9.4,8.2,1.3,18.9,5.7,48.5,0.5,0.6,1.2
10,Marshall,13,17.8,17.3,34.8,49.8,192.6,1.1,42.0,168.2,4.0,0.9,76.8,360.8,4.7,8.5,9.8,2.4,20.8,6.0,52.9,1.0,1.2,2.2
11,Florida,14,18.3,16.4,30.3,54.2,181.6,1.2,36.4,128.6,3.5,0.9,66.6,310.2,4.7,7.9,7.6,1.4,16.9,5.0,36.1,0.8,1.0,1.8
12,Northwestern,13,18.6,18.8,34.8,54.0,192.8,0.4,35.6,126.2,3.5,1.6,70.4,318.9,4.5,8.5,7.6,1.2,17.3,4.6,41.5,0.7,0.9,1.6
13,Washington,13,18.8,19.5,33.7,58.0,226.5,0.8,38.1,125.3,3.3,1.2,71.8,351.8,4.9,10.3,7.0,1.8,19.1,5.6,48.2,0.9,1.2,2.1
14,Appalachian State,13,19.1,17.2,28.7,59.8,182.9,0.8,38.2,131.5,3.4,1.2,66.9,314.5,4.7,8.6,7.6,0.9,17.2,6.1,54.0,0.5,1.4,1.8
15,Connecticut,13,19.5,18.1,30.8,58.6,189.3,1.0,37.4,165.8,4.4,0.9,68.2,355.1,5.2,9.2,8.2,1.1,18.5,5.0,48.6,0.5,1.4,1.9
16,Tennessee,13,20.0,16.9,33.4,50.7,210.4,1.3,36.1,152.6,4.2,0.9,69.5,363.0,5.2,9.2,7.5,1.4,18.1,6.5,56.5,0.5,0.9,1.5
17,Temple,14,20.1,19.2,33.4,57.6,208.8,0.9,33.5,128.0,3.8,1.1,66.9,336.8,5.0,9.4,5.9,1.8,17.1,7.4,69.6,0.4,1.1,1.6
18,Boise State,13,20.2,16.9,31.6,53.5,210.1,1.1,33.8,108.2,3.2,1.0,65.5,318.3,4.9,8.0,4.9,1.7,15.8,7.2,63.0,0.7,1.7,2.4
19,Iowa,14,20.4,18.9,35.2,53.8,219.6,1.1,33.5,121.4,3.6,0.8,68.7,341.0,5.0,10.4,7.1,1.9,19.3,6.4,58.9,0.6,1.4,1.9
20,Houston,14,20.7,19.9,35.7,55.6,274.7,1.3,34.3,108.9,3.2,1.1,70.0,383.6,5.5,10.8,6.0,1.3,18.1,6.9,55.4,1.0,1.5,2.5
21,Toledo,12,20.8,23.0,39.4,58.4,258.7,1.3,34.6,116.6,3.4,0.8,74.0,375.3,5.1,10.7,7.8,2.1,20.5,7.8,73.6,0.8,1.0,1.8
22,Vanderbilt,12,21.0,17.8,32.3,55.0,207.3,0.8,35.6,143.3,4.0,1.0,67.8,350.6,5.2,8.9,6.7,1.6,17.2,7.2,57.3,0.8,0.5,1.3
23,Akron,13,21.5,21.7,36.8,59.0,238.2,1.8,31.5,92.9,2.9,0.9,68.3,331.2,4.8,10.8,5.9,2.4,19.1,7.5,70.9,1.1,1.1,2.2
24,Clemson,15,21.7,14.1,29.1,48.5,187.7,1.3,35.5,125.7,3.5,1.1,64.6,313.4,4.9,7.4,6.2,1.4,15.0,5.9,54.5,0.6,1.1,1.7
25,Michigan State,14,21.7,19.3,31.9,60.5,233.9,1.4,32.1,116.0,3.6,1.1,63.9,349.9,5.5,9.7,6.4,1.6,17.8,5.6,49.6,0.9,1.1,2.0
26,Navy,13,21.8,19.3,29.8,64.9,221.9,1.2,34.8,143.0,4.1,1.3,64.5,364.9,5.7,10.4,8.2,0.8,19.5,4.4,40.1,1.2,0.9,2.1
27,Penn State,13,21.8,16.5,28.6,57.5,173.5,1.1,39.3,151.0,3.8,1.5,67.9,324.5,4.8,8.8,8.3,0.8,18.0,7.0,58.4,0.9,0.8,1.7
28,Central Michigan,13,22.0,17.4,29.8,58.2,192.2,1.3,34.8,141.6,4.1,1.2,64.6,333.8,5.2,9.1,7.2,0.8,17.1,5.2,45.8,0.8,0.5,1.4
29,Oklahoma,13,22.0,17.7,33.6,52.6,202.8,1.5,42.5,161.7,3.8,1.2,76.2,364.5,4.8,9.2,9.1,2.2,20.4,5.9,52.4,0.5,1.5,2.1
30,Texas A&M,13,22.0,15.9,27.5,58.0,166.3,0.8,42.7,213.7,5.0,1.5,70.2,380.0,5.4,6.8,10.3,1.9,19.0,6.5,57.8,0.5,0.8,1.4
31,Utah,13,22.3,20.4,37.8,54.0,258.2,1.7,33.1,108.6,3.3,0.8,70.8,366.8,5.2,11.4,6.3,1.8,19.5,5.5,52.2,0.9,1.7,2.6
32,Ole Miss,13,22.6,24.5,41.0,59.8,258.8,1.8,38.2,127.1,3.3,0.6,79.2,385.8,4.9,12.0,7.6,1.7,21.3,6.7,53.5,0.6,1.1,1.7
33,Stanford,14,22.6,19.4,33.8,57.3,229.0,1.4,32.4,139.3,4.3,1.1,66.1,368.3,5.6,10.4,7.6,1.1,19.1,5.7,53.0,0.4,0.6,1.0
34,Brigham Young,13,22.8,17.4,31.3,55.5,202.3,0.9,39.3,143.4,3.6,1.7,70.6,345.7,4.9,9.2,6.8,1.5,18.8,6.6,58.7,0.5,1.2,1.7
35,South Florida,13,22.9,19.3,34.5,56.0,239.1,1.2,38.2,141.4,3.7,1.5,72.6,380.5,5.2,10.0,7.8,1.5,19.4,6.2,55.5,0.6,1.3,1.9
36,Mississippi State,13,23.2,19.8,32.6,60.6,216.5,1.2,40.8,174.6,4.3,1.2,73.5,391.2,5.3,9.9,8.7,1.2,21.0,4.5,39.7,0.1,1.0,1.1
37,Illinois,12,23.3,18.6,32.6,57.0,183.9,1.4,39.1,166.9,4.3,1.3,71.7,350.8,4.9,7.8,8.5,1.8,18.1,5.3,44.6,0.7,1.1,1.8
38,Georgia Southern,13,23.5,15.4,28.1,54.8,207.2,1.7,33.5,129.5,3.9,0.8,61.6,336.6,5.5,8.9,6.9,1.0,16.8,4.8,41.2,0.8,1.3,2.1
