,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Alabama,15,13.0,18.2,33.8,53.8,197.9,1.0,31.7,63.9,2.0,0.3,65.5,261.8,4.0,8.3,4.7,1.4,14.5,3.9,31.4,0.9,1.1,1.9
2,Michigan,13,14.1,11.0,25.2,43.6,142.5,0.8,37.0,119.2,3.2,0.7,62.2,261.8,4.2,5.5,7.0,1.8,14.3,5.4,41.8,0.5,1.0,1.5
3,Ohio State,13,15.5,15.1,30.8,48.9,172.2,0.8,36.6,127.9,3.5,0.6,67.5,300.2,4.4,8.0,6.8,0.6,15.4,4.5,41.2,0.5,1.6,2.1
4,Wisconsin,14,15.6,16.4,31.1,52.5,202.6,0.9,30.1,98.8,3.3,0.6,61.2,301.4,4.9,9.3,5.9,1.1,16.4,4.4,34.9,0.4,1.6,2.0
5,LSU,12,15.8,16.2,30.3,53.3,197.2,0.8,35.8,117.3,3.3,0.6,66.1,314.4,4.8,8.3,6.4,1.3,16.0,5.3,41.8,0.7,0.8,1.4
6,Florida,13,16.8,11.4,25.2,45.1,148.5,0.6,37.5,144.5,3.8,1.2,62.8,293.0,4.7,6.4,7.4,2.1,15.8,4.3,35.8,0.6,1.2,1.8
7,Auburn,13,17.1,20.8,35.8,57.9,229.2,1.1,35.5,132.8,3.7,0.6,71.4,361.9,5.1,10.5,7.3,1.4,19.2,6.1,49.2,0.5,0.8,1.3
8,Washington,14,17.7,18.4,32.1,57.2,182.9,0.9,36.7,133.9,3.6,1.1,68.8,316.9,4.6,8.5,7.0,2.1,17.6,6.1,50.3,1.0,1.4,2.4
9,Appalachian State,13,17.8,19.6,34.2,57.4,203.8,0.9,31.8,125.5,3.9,1.2,66.0,329.3,5.0,9.6,6.4,1.8,17.8,5.9,53.4,0.2,1.5,1.7
10,Clemson,15,18.0,16.8,32.1,52.4,181.9,0.9,35.0,129.6,3.7,1.3,67.1,311.5,4.6,7.7,6.8,2.5,17.0,7.9,67.5,0.5,1.3,1.8
11,Temple,14,18.4,13.0,24.4,53.2,152.1,0.9,36.4,130.5,3.6,1.2,60.8,282.6,4.6,6.9,7.2,1.3,15.4,5.8,47.4,0.9,0.9,1.8
12,Miami (FL),13,18.5,20.2,34.3,58.7,213.8,1.3,38.2,133.1,3.5,0.8,72.5,346.8,4.8,9.5,7.8,1.5,18.8,7.1,61.4,0.8,0.6,1.5
13,Iowa,13,18.8,15.5,30.8,50.4,201.4,1.4,37.8,149.8,4.0,0.8,68.7,351.2,5.1,8.8,8.2,1.2,18.2,5.2,40.2,0.7,0.7,1.4
14,Brigham Young,13,19.5,20.8,33.0,63.2,252.2,1.3,33.1,114.4,3.5,1.1,66.1,366.5,5.5,11.0,6.0,1.8,18.8,6.3,57.5,0.8,1.6,2.4
15,Army,13,19.8,14.7,26.0,56.5,170.2,1.1,31.2,121.2,3.9,1.3,57.2,291.5,5.1,7.0,6.7,0.8,14.5,6.2,49.5,0.4,1.3,1.7
16,Western Michigan,14,19.8,15.9,28.2,56.5,200.1,1.2,32.5,153.6,4.7,1.2,60.7,353.6,5.8,8.9,7.9,1.1,17.9,5.9,48.8,0.8,1.1,1.9
17,San Diego State,14,20.2,17.1,31.8,53.9,209.7,1.6,34.3,105.7,3.1,0.7,66.1,315.4,4.8,9.0,6.6,1.4,16.9,5.2,48.1,0.2,1.9,2.1
18,Stanford,13,20.4,18.4,33.6,54.7,223.6,1.4,34.8,145.8,4.2,1.2,68.4,369.4,5.4,9.9,8.2,1.5,19.5,6.7,58.2,0.5,1.1,1.5
19,Arkansas State,13,21.5,17.7,32.6,54.2,219.5,1.2,40.2,143.4,3.6,1.0,72.8,362.8,5.0,9.6,7.5,2.2,19.3,6.8,54.8,0.8,0.8,1.7
20,Colorado,14,21.7,16.7,33.6,49.7,193.1,1.3,36.4,149.7,4.1,1.0,70.0,342.9,4.9,9.1,7.1,1.4,17.6,5.8,51.7,0.8,1.1,1.9
21,Minnesota,13,22.1,21.1,37.5,56.3,230.9,1.7,34.8,117.8,3.4,0.9,72.3,348.8,4.8,9.9,7.3,1.8,19.0,4.7,42.1,1.2,0.7,1.9
22,Troy,13,22.1,19.5,37.1,52.7,246.4,1.5,35.5,120.2,3.4,1.0,72.6,366.5,5.0,10.5,7.2,1.7,19.2,7.6,62.8,0.6,1.7,2.3
23,Northwestern,13,22.2,23.3,38.2,61.1,265.2,1.0,36.8,139.2,3.8,1.5,74.9,404.4,5.4,12.0,8.7,0.8,21.5,4.7,45.6,0.7,1.2,1.9
24,Wake Forest,13,22.2,18.5,32.2,57.7,228.2,1.2,37.3,142.4,3.8,1.5,69.5,370.5,5.3,9.9,8.2,1.2,19.3,5.4,47.5,1.2,0.9,2.1
25,Kansas State,13,22.3,22.8,36.5,62.7,272.7,2.0,30.6,115.8,3.8,0.8,67.1,388.5,5.8,11.9,6.8,1.4,20.2,6.5,61.0,0.7,1.2,1.9
26,Ohio,14,22.6,22.0,34.9,63.0,255.8,1.8,35.4,104.4,3.0,0.9,70.3,360.2,5.1,10.9,6.9,1.3,19.1,6.5,63.4,0.8,1.1,1.9
27,North Carolina State,13,22.8,21.2,36.2,58.5,244.2,1.2,32.5,109.3,3.4,1.4,68.7,353.5,5.1,10.8,6.2,2.0,19.1,6.0,50.1,0.9,0.8,1.7
28,Virginia Tech,14,22.8,15.4,30.8,50.1,200.2,1.3,37.4,140.5,3.8,1.6,68.2,340.7,5.0,8.3,7.0,1.9,17.3,8.1,58.9,0.6,1.1,1.8
29,Boise State,13,23.3,20.6,33.8,60.9,213.0,1.5,40.8,176.2,4.3,0.9,74.7,389.2,5.2,9.2,11.1,1.1,21.4,7.6,61.6,0.2,0.5,0.7
30,Houston,13,23.5,18.1,32.2,56.1,219.5,1.5,34.4,100.2,2.9,1.2,66.6,319.6,4.8,9.5,5.7,1.2,16.4,5.7,48.6,0.8,0.5,1.4
31,Louisville,13,23.8,17.2,31.6,54.5,207.1,2.2,37.2,115.2,3.1,0.5,68.8,322.2,4.7,8.8,6.5,2.2,17.5,5.9,56.8,0.8,1.2,1.9
32,Miami (OH),13,23.8,18.3,31.4,58.3,208.8,1.2,35.9,144.5,4.0,1.6,67.3,353.4,5.3,9.1,8.8,2.2,20.1,4.7,49.5,0.5,1.1,1.6
33,Nebraska,13,23.9,19.5,32.5,60.2,215.8,1.2,33.2,148.0,4.5,1.7,65.7,363.8,5.5,9.3,7.0,1.5,17.8,5.0,44.5,0.2,1.2,1.5
34,Utah,13,23.9,19.5,35.8,54.5,254.3,1.8,32.9,128.7,3.9,1.0,68.8,383.0,5.6,11.2,6.8,1.5,19.5,5.4,44.5,0.9,1.4,2.3
35,Georgia,13,24.0,15.4,26.1,59.0,183.8,1.1,36.2,143.7,4.0,1.8,62.2,327.5,5.3,7.4,7.8,0.8,16.0,5.0,39.8,0.9,1.2,2.1
36,Vanderbilt,13,24.0,20.8,34.1,61.2,244.6,1.5,35.0,163.5,4.7,1.1,69.1,408.2,5.9,10.6,8.3,1.5,20.5,6.2,55.8,1.1,0.4,1.5
37,West Virginia,13,24.0,20.8,36.8,56.7,257.7,1.6,39.8,168.2,4.2,1.1,76.5,425.9,5.6,11.1,9.1,1.7,21.9,7.3,68.5,0.8,1.1,1.9
38,USC,13,24.2,19.2,33.8,56.9,227.5,1.8,34.5,139.6,4.1,1.2,68.2,367.2,5.4,10.0,7.1,2.0,19.1,4.8,45.2,0.5,1.1,1.5
39,Georgia Tech,13,24.5,20.8,33.4,62.2,229.4,1.1,36.4,172.2,4.7,1.8,69.8,401.6,5.8,11.3,9.4,0.9,21.6,5.1,41.2,0.6,0.8,1.5
40,Texas A&M,13,24.5,20.9,35.5,58.9,250.0,1.2,44.1,191.8,4.4,1.6,79.6,441.8,5.5,10.9,10.2,2.4,23.5,6.3,44.2,0.9,0.9,1.8
41,UCF,13,24.6,17.2,33.2,51.6,200.8,1.2,44.3,169.5,3.8,1.7,77.5,370.3,4.8,8.7,9.5,1.4,19.6,6.2,57.0,0.8,1.2,2.0
42,Western Kentucky,14,24.6,23.4,39.9,58.8,279.4,1.8,32.6,97.2,3.0,1.1,72.4,376.6,5.2,11.8,5.8,2.4,20.0,6.9,55.7,0.5,1.0,1.5
43,North Carolina,13,24.9,14.1,25.2,55.8,180.8,0.8,50.7,227.3,4.5,2.2,75.9,408.1,5.4,8.4,11.8,1.8,21.9,7.2,61.7,1.0,0.1,1.1
44,Boston College,13,25.0,16.4,29.3,55.9,205.6,2.2,32.3,108.6,3.4,1.2,61.6,314.2,5.1,8.2,5.2,2.1,15.5,5.6,47.0,1.2,0.9,2.1
45,Florida State,13,25.0,17.2,31.1,55.4,221.1,1.4,35.2,128.0,3.6,1.5,66.2,349.1,5.3,9.6,6.8,2.4,18.8,6.6,59.1,0.6,1.2,1.8
46,Louisiana,13,25.3,20.8,33.8,61.7,249.9,1.4,37.6,129.6,3.4,1.4,71.4,379.5,5.3,12.0,7.2,1.2,20.4,6.2,53.0,0.6,0.8,1.4
47,Penn State,14,25.4,20.9,33.7,61.9,216.6,1.3,39.4,151.3,3.8,1.6,73.1,367.9,5.0,10.0,7.8,1.8,19.6,7.2,62.8,0.8,0.7,1.5
48,Toledo,13,25.7,17.5,31.8,54.8,220.8,1.8,36.3,176.3,4.9,1.2,68.2,397.1,5.8,9.7,8.5,1.5,19.7,6.5,69.3,0.3,0.5,0.8
49,Air Force,13,26.2,15.5,29.5,52.5,251.8,1.8,33.5,114.2,3.4,1.5,63.0,366.0,5.8,9.8,5.9,1.8,17.5,5.4,40.8,0.6,1.2,1.8
50,Washington State,13,26.4,21.4,34.2,62.5,271.7,1.5,32.8,134.5,4.1,1.6,67.1,406.2,6.1,11.6,6.8,1.8,20.3,7.5,72.9,0.8,0.9,1.8
51,Georgia Southern,12,26.5,17.5,29.6,59.2,229.5,1.3,36.7,170.6,4.7,1.8,66.3,400.1,6.0,9.7,9.4,2.1,21.2,5.1,51.4,0.8,0.8,1.6
52,Oklahoma State,13,26.5,20.2,33.2,61.0,252.8,1.7,42.2,193.5,4.6,1.7,75.3,446.3,5.9,11.0,9.7,1.9,22.6,5.3,46.6,0.8,1.1,1.9
53,South Carolina,13,26.5,18.7,31.0,60.3,208.7,1.5,42.2,203.5,4.8,1.5,73.2,412.2,5.6,10.3,11.1,1.5,23.0,6.4,56.2,0.9,1.2,2.1
