,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Oklahoma,14,51.1,25.0,36.9,67.7,349.4,3.6,42.1,198.5,4.7,3.2,79.0,547.9,6.9,15.1,10.9,1.6,27.6,7.3,64.6,0.1,0.6,0.8
2,Tulsa,14,47.2,19.3,30.2,63.8,301.9,3.4,48.1,268.0,5.6,2.9,78.4,569.9,7.3,13.1,13.4,1.4,27.9,4.4,37.0,0.6,1.5,2.1
3,Texas Tech,13,43.8,35.8,50.9,70.2,413.2,3.6,24.4,117.8,4.8,2.2,75.3,531.0,7.1,18.2,8.1,1.3,27.5,7.3,60.2,0.8,0.8,1.6
4,Florida,14,43.6,15.1,23.5,64.1,213.9,2.4,38.9,231.1,5.9,3.0,62.4,445.1,7.1,9.2,11.0,1.6,21.9,7.3,59.9,0.6,0.4,0.9
5,Texas,13,42.4,26.4,34.4,76.7,308.3,2.8,39.1,167.5,4.3,2.5,73.5,475.8,6.5,14.5,10.2,2.4,27.1,6.4,56.8,0.5,0.6,1.1
6,Missouri,14,42.2,28.9,40.4,71.5,330.4,2.9,29.8,153.8,5.2,2.0,70.1,484.1,6.9,16.8,7.1,1.6,25.6,4.1,37.4,0.6,1.3,1.9
7,Oregon,13,41.9,15.7,28.7,54.7,204.8,1.5,45.0,280.1,6.2,3.6,73.7,484.8,6.6,8.7,12.3,2.2,23.2,7.1,62.1,1.1,0.9,2.0
8,Rice,13,41.3,26.1,39.7,65.7,327.2,3.7,34.5,143.7,4.2,1.6,74.2,470.9,6.3,15.2,8.9,1.8,25.9,4.9,42.5,0.7,0.5,1.2
9,Oklahoma State,13,40.8,16.2,25.1,64.4,242.2,1.9,44.8,245.5,5.5,2.9,69.8,487.7,7.0,10.2,13.4,1.3,24.9,6.5,54.3,0.8,0.8,1.5
10,Houston,13,40.6,31.6,46.9,67.4,401.6,3.5,31.2,161.2,5.2,1.8,78.2,562.8,7.2,17.3,8.2,1.8,27.3,6.3,58.2,1.3,0.8,2.2
11,Penn State,13,38.9,17.2,29.5,58.5,243.1,1.8,39.3,205.8,5.2,2.8,68.8,448.9,6.5,10.9,10.5,1.7,23.1,3.8,31.4,0.8,0.5,1.2
12,Boise State,13,37.6,22.9,33.7,68.0,288.5,2.3,34.5,152.3,4.4,2.2,68.2,440.8,6.5,12.5,7.8,1.6,21.9,7.2,64.5,1.2,0.8,2.0
13,Nevada,13,37.6,17.2,32.2,53.6,230.8,1.7,45.6,277.8,6.1,3.0,77.8,508.5,6.5,10.3,13.4,1.6,25.3,6.8,57.9,1.2,0.7,1.8
14,USC,13,37.5,19.5,29.8,65.5,259.8,2.8,38.7,194.8,5.0,2.1,68.5,454.7,6.6,11.8,10.2,1.5,23.5,7.9,72.9,0.8,0.9,1.7
15,Utah,13,36.9,21.5,31.8,67.4,244.5,2.2,38.4,156.5,4.1,1.8,70.2,400.9,5.7,11.8,8.6,1.2,21.7,6.9,62.8,0.7,0.7,1.4
16,Arizona,13,36.6,20.5,31.7,64.6,244.0,1.8,38.8,158.4,4.1,2.5,70.5,402.4,5.7,12.0,8.7,1.4,22.1,4.1,35.2,0.8,0.6,1.5
17,Nebraska,13,35.4,22.7,33.3,68.1,281.0,2.1,37.4,169.8,4.5,2.1,70.7,450.8,6.4,13.2,8.7,0.8,22.7,7.2,61.5,1.3,0.8,2.2
18,Ball State,14,34.9,18.6,28.9,64.4,258.0,1.9,37.1,184.5,5.0,2.3,66.1,442.5,6.7,11.9,9.7,1.6,23.2,2.8,26.7,0.7,0.6,1.3
19,Kansas State,12,34.9,20.8,35.4,58.8,269.6,1.8,34.0,132.5,3.9,2.2,69.4,402.1,5.8,11.5,7.8,1.6,20.8,5.6,45.8,1.2,0.8,2.0
20,Brigham Young,13,34.2,26.0,37.9,68.6,310.4,2.7,32.6,134.4,4.1,1.6,70.5,444.8,6.3,15.2,7.3,1.6,24.2,7.8,70.2,1.1,1.1,2.2
21,Texas Christian,13,33.6,16.7,28.5,58.5,201.1,1.1,49.4,220.2,4.5,3.0,77.9,421.3,5.4,10.4,11.9,1.3,23.6,8.8,76.9,0.5,0.6,1.2
22,Florida State,13,33.4,16.2,29.8,54.5,192.8,1.4,37.2,179.1,4.8,2.1,66.9,371.8,5.6,8.7,10.1,1.6,20.4,7.8,72.1,0.8,1.2,2.0
23,Kansas,13,33.4,25.6,38.5,66.6,305.6,2.5,34.2,126.8,3.7,1.8,72.7,432.4,5.9,13.2,8.5,1.4,23.2,4.8,44.3,0.7,1.0,1.7
24,Louisiana,12,33.1,15.3,24.0,63.5,185.5,1.5,44.4,263.7,5.9,2.7,68.4,449.2,6.6,8.3,11.3,1.3,20.8,7.1,57.8,0.8,1.3,2.1
25,UTEP,12,32.9,21.5,37.3,57.6,284.2,2.8,30.9,122.3,4.0,0.8,68.3,406.5,6.0,12.3,6.5,1.8,20.6,6.1,57.3,0.5,0.8,1.3
