,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Boise State,14,42.2,21.0,32.7,64.2,264.1,2.9,36.3,186.1,5.1,2.1,69.0,450.2,6.5,11.9,8.8,1.6,22.2,6.2,55.9,0.8,0.2,1.0
2,Houston,14,42.2,37.5,53.4,70.3,433.7,3.4,28.8,129.6,4.5,1.6,82.1,563.4,6.9,21.2,7.9,1.2,30.3,4.5,40.8,0.8,1.1,1.9
3,Texas,14,39.3,25.9,38.6,67.0,273.6,2.1,36.6,147.6,4.0,2.0,75.2,421.2,5.6,12.5,9.1,1.9,23.6,6.7,58.4,0.9,1.1,2.0
4,Cincinnati,13,38.6,23.9,36.3,65.9,308.8,3.0,27.8,138.7,5.0,1.8,64.1,447.5,7.0,12.6,6.8,1.3,20.8,4.8,45.3,0.2,0.6,0.8
5,Texas Christian,13,38.3,15.5,25.1,62.0,217.2,1.8,45.8,239.5,5.2,2.7,70.8,456.7,6.4,9.8,12.6,1.5,23.9,5.5,54.1,1.2,0.6,1.8
6,Nevada,13,38.2,13.1,22.5,58.0,160.7,1.6,46.7,344.9,7.4,3.7,69.2,505.6,7.3,8.0,15.0,0.8,23.8,6.7,61.0,1.2,0.5,1.6
7,Texas Tech,13,37.0,34.5,51.5,67.0,386.8,2.9,24.5,84.0,3.4,1.8,76.0,470.8,6.2,18.3,5.8,1.6,25.8,9.2,78.4,1.0,1.3,2.3
8,Oregon,13,36.1,15.2,26.0,58.3,180.3,1.2,42.1,231.7,5.5,2.9,68.1,412.0,6.1,7.8,11.3,1.1,20.2,7.3,62.7,1.2,0.5,1.8
9,Arkansas,13,36.0,19.0,33.8,56.3,295.5,2.5,30.4,131.8,4.3,1.8,64.2,427.3,6.7,11.3,6.8,1.4,19.5,6.7,52.2,0.5,0.7,1.2
10,Florida,14,35.9,17.8,26.0,68.4,236.1,2.0,39.6,221.8,5.6,2.1,65.6,457.9,7.0,10.1,11.3,1.0,22.4,6.8,52.5,0.8,0.4,1.1
11,Brigham Young,13,35.5,21.7,32.2,67.3,281.5,2.6,36.2,145.7,4.0,2.0,68.4,427.2,6.2,13.0,7.9,1.5,22.4,7.2,66.7,0.8,1.1,1.8
12,Stanford,13,35.5,13.4,24.1,55.6,209.4,1.1,41.2,218.2,5.3,3.0,65.3,427.6,6.5,9.1,10.8,1.2,21.2,5.5,52.7,0.8,0.5,1.3
13,Central Michigan,14,33.9,23.5,34.2,68.7,255.5,2.0,36.8,167.6,4.6,2.1,71.0,423.1,6.0,13.1,9.6,1.4,24.1,5.3,50.3,0.4,0.6,1.1
14,Fresno State,13,33.8,14.9,24.7,60.4,201.6,1.6,42.7,228.9,5.4,2.3,67.4,430.5,6.4,9.8,10.0,1.4,21.2,4.4,39.6,1.1,0.8,1.9
15,Georgia Tech,14,33.8,5.6,12.0,46.4,126.7,0.8,56.6,295.4,5.2,3.4,68.6,422.1,6.2,4.1,15.2,1.2,20.5,6.0,47.1,0.9,0.4,1.3
16,Troy,13,33.7,25.6,40.7,62.9,336.5,1.8,34.2,149.2,4.4,2.2,74.8,485.7,6.5,14.7,7.8,1.5,24.0,8.2,68.3,1.3,0.8,2.1
17,Auburn,13,33.3,16.8,28.0,59.9,219.8,1.9,42.3,212.0,5.0,1.8,70.3,431.8,6.1,9.1,10.6,0.8,20.5,7.5,65.2,1.1,0.7,1.8
18,Southern Mississippi,13,32.9,18.6,30.1,61.9,235.0,2.1,39.4,181.4,4.6,1.8,69.5,416.4,6.0,10.6,9.9,1.5,22.1,7.8,70.3,0.8,0.5,1.3
19,Texas A&M,13,32.8,23.2,39.2,59.3,281.6,2.3,41.8,184.2,4.4,1.9,81.0,465.8,5.8,13.2,10.7,2.2,26.1,7.6,69.3,1.2,0.6,1.8
20,Idaho,13,32.7,18.5,30.5,60.6,286.7,2.2,34.8,164.7,4.7,1.9,65.3,451.4,6.9,12.2,7.7,2.2,22.1,6.7,63.8,0.6,1.2,1.8
21,Alabama,14,32.1,15.1,24.7,61.3,187.9,1.2,42.9,215.1,5.0,2.2,67.6,403.0,6.0,8.4,10.9,1.3,20.6,4.9,42.7,0.5,0.4,0.9
22,Pitt,13,32.1,16.8,26.0,64.8,211.3,1.8,36.8,180.3,4.9,1.9,62.8,391.6,6.2,9.3,8.7,1.2,19.2,5.2,50.5,0.5,0.6,1.1
23,Middle Tennessee State,13,32.0,18.3,33.5,54.6,235.7,1.9,39.9,186.0,4.7,1.7,73.5,421.7,5.7,9.8,8.5,1.2,19.4,6.2,57.3,0.5,1.2,1.6
24,Virginia Tech,13,31.8,10.5,19.2,55.0,183.9,1.1,44.1,208.2,4.7,2.5,63.2,392.1,6.2,7.4,9.5,0.9,17.8,5.8,48.8,0.8,0.4,1.2
25,Wisconsin,13,31.8,16.8,26.2,64.1,213.1,1.2,44.7,203.8,4.6,2.5,70.8,416.9,5.9,9.9,10.4,0.8,21.1,5.3,47.4,0.9,0.9,1.8
26,Oregon State,13,31.5,24.5,36.8,66.7,270.8,1.8,33.8,139.8,4.1,2.0,70.6,410.6,5.8,13.2,7.0,1.2,21.4,7.7,59.4,0.3,0.5,0.8
27,Connecticut,13,31.2,16.5,28.8,57.1,216.5,1.2,40.6,170.7,4.2,2.3,69.5,387.2,5.6,9.5,9.2,0.8,19.5,3.9,29.7,0.7,1.0,1.7
28,Clemson,14,31.1,15.7,27.9,56.4,192.0,1.6,35.4,170.4,4.8,1.7,63.3,362.4,5.7,8.4,8.1,0.9,17.5,4.9,44.9,0.8,0.9,1.7
29,Oklahoma,13,31.1,23.1,39.9,57.8,289.2,2.2,37.3,134.6,3.6,1.4,77.2,423.8,5.5,11.8,8.5,3.1,23.4,8.2,80.3,0.8,1.2,2.0
30,Miami (FL),13,30.3,18.9,32.0,59.1,261.9,1.9,35.6,138.0,3.9,1.6,67.6,399.9,5.9,12.9,7.4,0.8,21.2,7.2,54.1,0.3,1.3,1.6
31,North Carolina State,12,30.3,20.7,35.1,58.9,272.9,2.7,34.9,120.9,3.5,1.3,70.0,393.8,5.6,12.3,7.5,2.4,22.2,5.3,43.3,1.0,1.1,2.1
32,Florida State,13,30.1,22.8,33.6,67.7,271.8,1.2,32.5,149.5,4.6,2.1,66.1,421.4,6.4,11.2,9.1,1.4,21.7,6.9,62.5,1.0,1.0,2.0
33,Notre Dame,12,30.1,25.1,37.3,67.3,323.5,2.5,33.4,128.3,3.8,1.1,70.7,451.8,6.4,13.8,8.8,1.8,24.4,6.3,55.5,0.8,0.4,1.2
34,Utah,13,29.8,18.8,31.2,60.5,229.2,1.5,37.3,160.3,4.3,1.8,68.5,389.5,5.7,9.1,8.8,0.9,18.8,7.8,69.2,0.8,0.7,1.5
35,UTEP,12,29.8,19.1,35.2,54.3,277.6,1.4,33.4,151.1,4.5,2.3,68.6,428.7,6.3,11.8,7.8,2.3,21.8,7.7,73.1,0.7,1.1,1.8
36,Air Force,13,29.7,5.9,11.8,50.3,88.4,0.6,62.7,283.5,4.5,2.4,74.5,371.8,5.0,3.6,15.6,0.8,20.1,4.9,45.0,0.7,0.2,0.9
37,Michigan State,13,29.7,19.3,32.5,59.3,269.4,2.2,32.2,136.8,4.2,1.2,64.8,406.2,6.3,11.8,6.5,1.5,19.8,6.4,55.4,0.6,0.9,1.5
38,Toledo,12,29.7,22.6,37.1,60.9,278.5,1.8,34.1,159.8,4.7,1.9,71.2,438.3,6.2,12.3,7.7,1.2,21.2,8.1,70.1,1.3,1.3,2.6
39,Michigan,12,29.5,15.8,27.4,57.4,198.3,1.3,41.2,186.2,4.5,2.3,68.6,384.5,5.6,8.9,10.0,0.7,19.6,4.8,43.1,1.1,1.3,2.3
40,Ole Miss,13,29.5,15.8,29.0,54.4,218.8,1.7,38.7,183.6,4.7,1.7,67.7,402.4,5.9,10.2,9.4,0.9,20.5,5.5,43.4,0.8,1.6,2.4
