,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Baylor,13,52.4,21.3,34.5,61.8,359.1,2.7,48.2,259.7,5.4,3.6,82.6,618.8,7.5,13.8,13.4,1.5,28.6,9.2,82.6,0.8,0.5,1.2
2,Florida State,14,51.6,20.6,31.6,65.2,315.9,3.0,36.1,203.1,5.6,3.0,67.6,519.1,7.7,13.9,9.9,1.8,25.6,5.6,49.6,0.4,0.9,1.3
3,Ohio State,14,45.5,17.0,26.3,64.7,203.3,2.7,45.4,308.6,6.8,3.2,71.6,511.9,7.1,9.0,15.4,1.4,25.8,5.2,45.6,0.7,0.6,1.4
4,Oregon,13,45.5,19.7,31.2,63.2,291.5,2.5,43.7,273.5,6.3,3.2,74.8,565.0,7.5,12.6,13.2,1.0,26.8,8.2,70.2,0.9,0.5,1.4
5,Texas A&M,13,44.2,26.1,37.6,69.3,353.3,3.1,35.8,185.1,5.2,2.5,73.4,538.4,7.3,15.7,10.4,1.3,27.4,6.2,53.1,0.6,1.0,1.6
6,Fresno State,13,43.4,35.5,51.9,68.3,394.9,3.8,31.8,151.3,4.8,1.6,83.7,546.2,6.5,17.0,9.1,2.2,29.1,5.2,53.3,0.9,0.8,1.7
7,Marshall,14,42.1,22.5,37.3,60.3,294.4,3.0,40.8,205.9,5.0,2.4,78.1,500.4,6.4,13.5,10.6,1.9,26.0,6.0,46.4,0.9,0.7,1.6
8,Clemson,13,40.2,26.2,37.9,69.2,333.1,3.0,41.8,175.0,4.2,2.0,79.8,508.1,6.4,14.0,10.0,1.2,25.2,5.6,50.5,0.9,0.9,1.8
9,East Carolina,13,40.2,30.5,43.5,70.3,328.1,2.6,35.6,140.1,3.9,2.4,79.1,468.2,5.9,16.5,8.1,2.0,26.6,5.3,44.9,0.5,0.8,1.2
10,Arizona State,14,39.7,22.1,35.3,62.6,265.9,2.0,43.4,191.4,4.4,2.6,78.7,457.3,5.8,11.8,10.5,2.0,24.3,4.0,31.4,0.4,0.9,1.3
11,Northern Illinois,14,39.6,18.6,29.9,62.4,222.6,2.1,46.8,297.2,6.4,2.8,76.6,519.8,6.8,9.5,15.4,1.2,26.1,5.4,46.0,0.6,0.6,1.2
