rank,conference,size,num_games,win,loss,pct,bowl_games,bowl_win,bowl_loss,bowl_pct,srs,sos,prepoll,postpoll,champion
1,Southeastern Conference,14,179,111,68,0.62,9,6,3,0.667,10.06,5.37,6,7,Alabama
2,Big 12 Conference,10,129,75,54,0.581,9,4,5,0.444,8.37,5.1,6,3,Kansas State Oklahoma
3,Pacific-12 Conference,12,154,84,70,0.545,8,4,4,0.5,6.34,4.66,3,3,Stanford
4,Big Ten Conference,12,153,85,68,0.556,7,2,5,0.286,3.74,1.82,5,4,Wisconsin
5,Independent,4,51,30,21,0.588,3,1,2,0.333,2.44,-0.33,0,1,
6,Atlantic Coast Conference,12,152,80,72,0.526,6,4,2,0.667,1.92,0.8,3,2,Florida State
7,Big East Conference,8,100,56,44,0.56,5,3,2,0.6,0.98,-1.34,1,1,Cincinnati Louisville Rutgers Syracuse
8,Western Athletic Conference,7,86,45,41,0.523,2,2,0,1,-3.85,-4.15,0,2,Utah State
9,Sun Belt Conference,10,125,59,66,0.472,4,2,2,0.5,-4.16,-3.01,0,0,Arkansas State
10,Mountain West Conference,10,127,59,68,0.465,5,1,4,0.2,-5.56,-4.67,1,1,Boise State Fresno State San Diego State
11,Conference USA,12,151,65,86,0.43,5,4,1,0.8,-5.76,-3.24,0,0,Tulsa
12,Mid-American Conference,13,165,81,84,0.491,7,2,5,0.286,-6.79,-5.21,0,1,Northern Illinois
