,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Houston,14,49.3,34.2,48.7,70.2,450.1,3.9,30.0,149.0,5.0,2.4,78.7,599.1,7.6,18.4,8.2,1.4,28.1,6.1,49.9,0.6,0.4,1.1
2,Oklahoma State,13,48.7,32.9,45.8,71.9,387.2,3.1,30.2,158.6,5.3,2.8,75.9,545.8,7.2,17.1,7.6,1.2,25.9,5.5,50.5,0.8,1.0,1.8
3,Oregon,14,46.1,16.9,27.6,61.1,223.6,2.8,44.9,299.2,6.7,3.0,72.5,522.8,7.2,9.4,13.4,1.4,24.2,7.2,65.0,0.9,0.5,1.4
4,Baylor,13,45.3,23.6,32.6,72.4,351.5,3.1,44.3,235.6,5.3,2.8,76.9,587.1,7.6,13.5,13.5,2.0,29.0,7.1,64.5,1.4,0.5,1.8
5,Boise State,13,44.2,27.1,36.7,73.8,309.4,3.5,37.8,171.9,4.5,2.4,74.5,481.3,6.5,15.5,8.3,1.8,25.7,5.3,47.2,0.6,0.8,1.4
6,Wisconsin,14,44.1,16.6,23.4,71.0,234.3,2.4,43.5,235.6,5.4,3.4,66.9,469.9,7.0,10.3,11.7,1.3,23.3,4.8,38.9,0.4,0.4,0.7
7,Stanford,13,43.2,22.8,32.1,71.2,278.7,2.9,39.8,210.6,5.3,2.5,71.9,489.3,6.8,13.2,10.1,1.7,25.0,6.2,55.2,0.5,0.8,1.3
8,Toledo,13,42.2,22.4,32.7,68.5,267.7,2.6,42.7,213.6,5.0,2.5,75.4,481.3,6.4,11.7,10.9,1.2,23.8,7.3,63.2,0.5,0.5,1.1
9,Texas Christian,13,40.8,17.8,26.9,66.0,231.6,1.9,40.9,208.6,5.1,2.9,67.8,440.2,6.5,9.8,10.3,1.6,21.7,5.5,52.8,1.1,0.5,1.6
10,Oklahoma,13,39.5,28.1,44.8,62.6,349.4,2.2,36.1,162.9,4.5,2.3,80.9,512.3,6.3,15.8,9.0,1.1,25.9,4.9,45.5,1.0,1.2,2.2
11,Texas A&M,13,39.1,25.5,41.3,61.6,291.1,2.2,39.0,199.2,5.1,2.2,80.3,490.2,6.1,14.5,10.3,1.7,26.5,7.0,65.8,0.7,1.2,1.8
12,Northern Illinois,14,38.3,18.1,29.1,62.0,241.9,2.1,42.5,234.1,5.5,2.4,71.6,476.0,6.6,10.6,11.3,1.9,23.8,5.5,53.4,0.9,0.4,1.4
13,West Virginia,13,37.6,27.2,41.7,65.1,346.8,2.5,32.1,122.7,3.8,1.9,73.8,469.5,6.4,14.4,7.0,1.8,23.2,6.2,53.6,1.0,0.7,1.7
14,Southern Mississippi,14,36.9,20.9,34.9,59.7,256.2,2.3,39.5,205.1,5.2,1.2,74.4,461.4,6.2,10.6,10.9,1.9,23.4,7.8,63.9,1.3,0.9,2.1
15,Arkansas,13,36.8,23.0,36.2,63.5,300.7,2.0,31.7,137.4,4.3,1.9,67.9,438.1,6.4,12.8,7.2,1.5,21.5,6.2,45.6,1.0,0.5,1.5
16,USC,12,35.8,25.8,37.3,69.1,294.2,3.3,32.7,162.6,5.0,1.0,69.9,456.8,6.5,12.9,9.3,2.4,24.6,5.9,50.0,0.9,0.6,1.5
17,LSU,14,35.7,12.4,19.9,62.0,152.5,1.5,42.2,202.6,4.8,2.5,62.1,355.1,5.7,6.9,10.4,1.9,19.2,6.1,49.0,0.4,0.4,0.7
18,Western Michigan,13,35.3,28.4,42.6,66.6,337.3,3.1,30.1,121.2,4.0,1.3,72.7,458.5,6.3,15.7,6.6,2.3,24.6,7.1,56.2,1.4,1.2,2.6
19,Air Force,13,34.9,9.5,15.7,60.3,140.1,1.2,55.6,314.8,5.7,3.3,71.3,454.8,6.4,6.0,15.7,1.5,23.2,4.7,43.2,1.4,0.6,2.0
20,Alabama,13,34.8,18.2,27.5,66.4,215.2,1.2,39.1,214.5,5.5,2.6,66.5,429.6,6.5,10.4,10.3,0.8,21.5,3.8,31.5,0.3,0.6,0.9
21,Georgia Tech,13,34.3,6.3,12.8,49.1,142.3,0.8,55.2,316.5,5.7,3.5,68.1,458.8,6.7,4.2,15.4,0.8,20.4,4.5,36.9,0.8,0.6,1.5
22,Texas Tech,12,33.8,34.1,50.0,68.2,345.4,2.6,32.6,125.2,3.8,1.7,82.6,470.6,5.7,16.0,8.6,1.6,26.2,7.7,64.8,0.7,0.8,1.5
23,Clemson,14,33.6,22.2,37.5,59.2,282.3,2.4,37.9,158.5,4.2,1.6,75.4,440.8,5.8,13.0,8.2,1.3,22.5,4.4,40.1,0.9,0.9,1.7
24,Utah State,13,33.6,14.3,22.3,64.1,174.6,1.8,47.9,282.7,5.9,2.8,70.2,457.3,6.5,7.5,12.5,1.0,21.0,6.3,60.2,1.4,0.5,1.8
25,Washington,13,33.4,20.5,31.2,65.8,255.5,2.8,34.8,154.3,4.4,1.5,66.0,409.8,6.2,11.4,7.9,1.8,21.1,6.0,59.5,0.7,1.0,1.7
26,Cincinnati,13,33.3,17.2,30.2,56.9,207.2,1.5,38.5,178.5,4.6,2.2,68.6,385.7,5.6,8.8,9.0,1.8,19.6,5.2,46.7,0.5,1.1,1.6
27,Michigan,13,33.3,11.9,21.8,54.6,182.8,1.7,43.1,221.8,5.2,2.4,64.9,404.7,6.2,7.5,11.4,1.9,20.8,4.1,35.2,0.5,1.2,1.7
28,Arizona State,13,33.2,25.6,40.5,63.2,316.7,2.1,32.5,129.1,4.0,1.8,73.1,445.8,6.1,14.2,7.1,2.5,23.8,8.0,79.8,0.8,1.0,1.8
29,Tulsa,13,33.1,19.7,32.4,60.8,248.7,2.4,40.1,191.7,4.8,1.5,72.5,440.4,6.1,11.2,9.5,1.3,22.1,4.0,35.8,1.3,1.3,2.6
30,Missouri,13,32.8,18.7,29.5,63.4,231.5,1.8,45.3,244.0,5.4,2.3,74.8,475.5,6.4,9.7,13.5,1.2,24.3,5.4,45.6,0.6,0.8,1.5
31,Arkansas State,13,32.5,25.1,38.5,65.2,293.6,1.6,39.7,154.2,3.9,1.9,78.2,447.8,5.7,13.0,9.2,1.2,23.4,6.9,60.4,0.8,1.2,2.1
32,Louisiana,13,32.3,20.5,33.6,60.9,269.5,1.9,35.1,125.2,3.6,1.5,68.7,394.6,5.7,10.9,6.3,1.7,18.9,7.6,66.1,1.0,0.8,1.8
33,Georgia,14,32.0,18.4,31.0,59.2,244.5,2.6,41.6,164.0,3.9,1.1,72.6,408.5,5.6,11.1,8.6,1.4,21.1,6.1,47.4,0.8,1.0,1.8
34,Kansas State,13,31.8,12.8,22.3,57.6,151.5,1.0,46.6,185.5,4.0,2.6,68.9,337.0,4.9,6.9,10.6,2.1,19.6,4.7,35.8,0.7,0.5,1.2
35,Nevada,13,31.7,20.8,31.5,66.0,259.2,1.5,48.3,247.5,5.1,2.2,79.8,506.7,6.4,12.0,13.0,1.5,26.5,6.9,56.5,1.0,0.9,1.9
