rank,conference,size,num_games,win,loss,pct,bowl_games,bowl_win,bowl_loss,bowl_pct,srs,sos,prepoll,postpoll,champion
1,Southeastern Conference,14,181,112,69,0.619,12,7,5,0.583,10.8,5.8,8,6,Alabama
2,Pacific-12 Conference,12,156,92,64,0.59,9,6,3,0.667,8.41,5.41,6,6,Oregon
3,Atlantic Coast Conference,14,181,103,78,0.569,11,4,7,0.364,5.67,2.94,3,4,Florida State
4,Big 12 Conference,10,127,69,58,0.543,7,2,5,0.286,5.1,3.41,3,3,Baylor Texas Christian
5,Big Ten Conference,14,180,105,76,0.58,11,6,5,0.545,4.52,2.29,4,3,Ohio State
6,Independent,4,50,28,23,0.549,3,2,1,0.667,0.55,-0.82,1,0,
7,Mountain West Conference,12,156,79,77,0.506,7,3,4,0.429,-2.95,-2.48,0,1,Boise State
8,Conference USA,13,163,81,82,0.497,5,4,1,0.8,-3.19,-2.91,0,1,Marshall
9,American Athletic Conference,11,137,62,75,0.453,5,2,3,0.4,-5.35,-3.25,0,1,UCF Cincinnati Memphis
10,Mid-American Conference,13,163,73,88,0.453,5,2,3,0.4,-8.72,-6.78,0,0,Northern Illinois
11,Sun Belt Conference,11,135,56,78,0.418,3,1,2,0.333,-9.75,-6.83,0,0,Georgia Southern
