rank,conference,size,num_games,win,loss,pct,bowl_games,bowl_win,bowl_loss,bowl_pct,srs,sos,prepoll,postpoll,champion
1,Big 12 Conference,12,153,91,62,0.595,7,4,3,0.571,7.96,3.96,5,5,Oklahoma
2,Southeastern Conference,12,154,92,62,0.597,8,6,2,0.75,6.83,3.31,6,4,Florida
3,Atlantic Coast Conference,12,156,90,66,0.577,10,4,6,0.4,5.41,2.96,3,3,Virginia Tech
4,Big Ten Conference,11,139,77,62,0.554,7,1,6,0.143,4.22,1.84,4,4,Ohio State Penn State
5,Pacific-10 Conference,10,126,64,62,0.508,5,5,0,1,3.62,3.35,3,3,USC
6,Big East Conference,8,103,61,42,0.592,6,4,2,0.667,3.08,0.68,3,2,Cincinnati
7,Mountain West Conference,9,113,64,49,0.566,5,3,2,0.6,-0.8,-1.85,1,3,Utah
8,Conference USA,12,152,71,81,0.467,6,4,2,0.667,-4.29,-2.87,0,0,East Carolina
9,Western Athletic Conference,9,114,55,59,0.482,5,1,4,0.2,-4.93,-3.63,0,1,Boise State
10,Independent,4,50,20,30,0.4,2,1,1,0.5,-4.99,-2.15,0,0,
11,Mid-American Conference,13,163,75,88,0.46,5,0,5,0,-5.85,-4.57,0,0,Buffalo
12,Sun Belt Conference,8,97,42,56,0.429,2,1,1,0.5,-8.05,-5.23,0,0,Troy
