,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
31,Ohio State,12,22.8,22.3,38.1,58.4,243.5,1.3,32.7,116.1,3.6,1.2,70.8,359.6,5.1,10.2,5.6,2.5,18.3,5.7,51.8,0.6,1.2,1.8
32,Virginia Tech,13,22.8,16.2,32.4,50.1,199.1,1.3,37.3,134.1,3.6,1.0,69.7,333.2,4.8,8.7,7.1,2.1,17.8,7.0,54.6,0.6,1.0,1.6
33,Iowa,12,22.9,18.7,29.4,63.5,219.5,1.3,39.4,162.1,4.1,1.3,68.8,381.6,5.5,10.3,8.1,1.4,19.8,5.3,48.8,1.1,0.8,1.9
34,Mississippi State,13,23.3,20.4,31.8,64.0,221.8,1.3,38.8,165.6,4.3,1.2,70.6,387.4,5.5,9.8,10.3,1.2,21.4,5.4,48.5,1.1,1.5,2.5
35,Tulsa,14,23.6,19.2,34.4,55.9,228.2,1.4,37.1,119.6,3.2,1.4,71.5,347.8,4.9,8.9,7.2,1.6,17.6,6.3,53.4,1.1,0.9,1.9
36,Fresno State,13,23.8,15.1,29.3,51.4,167.2,1.2,42.2,171.7,4.1,1.5,71.5,338.8,4.7,7.3,8.5,1.8,17.6,5.5,46.9,1.0,1.7,2.7
37,Louisville,13,23.8,16.8,29.4,57.3,192.3,1.7,34.5,148.0,4.3,1.1,63.9,340.3,5.3,8.2,8.3,1.7,18.2,5.7,47.6,1.0,0.8,1.8
38,Iowa State,13,23.9,22.2,36.5,60.6,265.3,1.4,40.8,176.8,4.3,1.5,77.4,442.2,5.7,12.0,9.2,1.5,22.7,6.4,54.7,0.9,1.1,2.0
39,Washington,13,24.2,16.7,30.3,55.1,197.3,1.3,36.2,160.1,4.4,1.3,66.5,357.4,5.4,8.7,7.5,2.2,18.4,6.0,51.7,1.2,1.3,2.5
40,Arizona State,13,24.3,15.2,30.3,50.3,167.9,1.8,43.0,182.8,4.3,1.3,73.3,350.8,4.8,7.6,9.9,1.5,19.0,6.1,51.6,0.7,1.6,2.3
41,USC,13,24.3,20.2,33.4,60.4,227.0,1.5,41.0,167.0,4.1,1.3,74.4,394.0,5.3,10.8,10.1,1.8,22.6,8.6,76.0,1.0,1.5,2.5
42,San Diego State,13,24.4,21.1,34.1,61.9,235.5,1.8,37.4,133.5,3.6,1.2,71.5,369.0,5.2,10.8,8.4,1.9,21.1,5.1,45.4,0.9,1.1,2.0
43,Arkansas State,13,24.5,21.2,33.2,63.9,227.3,1.6,38.3,156.4,4.1,1.2,71.5,383.7,5.4,10.4,8.6,1.5,20.5,6.8,53.7,0.8,1.0,1.8
44,Kent State,14,24.5,22.6,37.2,60.8,272.0,1.9,36.2,138.3,3.8,1.1,73.4,410.3,5.6,13.0,7.4,1.3,21.6,5.0,47.1,1.1,1.6,2.7
45,Minnesota,13,24.7,17.8,31.1,57.2,186.6,1.2,36.8,172.0,4.7,1.7,67.8,358.6,5.3,8.4,8.8,1.8,19.0,7.3,64.2,0.5,1.0,1.5
46,SMU,13,24.7,23.1,41.5,55.6,278.2,2.1,32.2,117.9,3.7,1.1,73.7,396.1,5.4,13.3,6.3,1.1,20.7,6.2,55.9,1.2,1.6,2.8
47,Clemson,13,24.8,19.1,32.8,58.1,240.3,1.8,37.3,155.9,4.2,1.2,70.2,396.2,5.6,9.6,7.6,1.7,18.9,5.5,45.2,0.8,1.0,1.8
48,Ohio,13,24.8,20.5,36.5,56.3,229.0,2.0,35.9,159.4,4.4,0.9,72.4,388.4,5.4,11.1,8.5,1.7,21.2,5.3,49.2,0.9,1.0,1.9
49,Syracuse,13,24.8,19.4,30.5,63.5,234.2,1.8,35.8,144.7,4.0,1.0,66.4,378.8,5.7,10.4,7.4,1.5,19.3,7.7,66.8,0.8,0.7,1.5
50,Utah,12,25.1,20.0,33.4,59.9,235.3,1.5,34.6,128.2,3.7,1.6,68.0,363.4,5.3,10.3,7.0,2.3,19.6,7.3,59.4,1.2,0.7,1.8
51,Oklahoma,13,25.5,16.9,32.3,52.4,206.1,0.8,37.3,192.2,5.2,2.1,69.6,398.3,5.7,9.2,8.5,1.5,19.2,4.8,37.1,0.2,1.0,1.2
52,Western Kentucky,13,25.5,18.0,30.3,59.4,209.8,1.8,35.1,138.4,3.9,1.2,65.4,348.2,5.3,9.5,8.0,2.2,19.7,5.8,51.2,0.8,1.0,1.8
53,North Carolina State,13,25.6,20.3,35.0,58.0,249.9,1.5,38.0,154.8,4.1,1.5,73.0,404.7,5.5,9.1,8.5,1.5,19.1,5.2,40.3,0.6,1.2,1.8
54,Navy,13,25.7,18.9,27.4,69.1,215.2,1.2,40.2,193.6,4.8,1.8,67.5,408.8,6.1,9.5,12.1,0.8,22.4,4.1,35.7,0.8,0.6,1.5
55,North Carolina,12,25.7,20.5,35.3,58.0,246.9,1.3,39.5,142.7,3.6,1.7,74.8,389.6,5.2,10.9,8.3,1.7,20.8,6.2,52.8,0.8,1.3,2.1
56,Memphis,12,26.6,22.4,36.3,61.8,245.6,2.1,35.4,138.0,3.9,1.3,71.7,383.6,5.4,11.1,8.3,2.9,22.3,4.4,39.3,1.3,0.7,1.9
57,Maryland,12,27.2,17.1,30.7,55.7,207.5,2.0,37.1,129.3,3.5,1.1,67.8,336.8,5.0,9.3,7.2,1.1,17.6,5.4,48.2,1.3,0.3,1.7
58,South Florida,12,27.4,21.3,31.1,68.4,251.9,1.4,41.2,149.9,3.6,1.8,72.3,401.8,5.6,11.8,8.5,1.7,22.0,8.3,76.9,0.6,0.2,0.8
59,Nebraska,14,27.6,13.4,28.4,47.1,168.1,1.3,40.4,192.5,4.8,1.9,68.8,360.6,5.2,7.6,8.3,2.1,18.1,5.6,53.5,0.7,0.9,1.6
60,Ole Miss,13,27.6,20.6,32.8,62.8,246.5,1.7,37.2,129.3,3.5,1.3,70.0,375.8,5.4,10.6,7.5,1.2,19.3,5.3,41.8,1.0,1.2,2.2
61,UCLA,14,27.6,21.6,34.2,63.3,250.6,1.9,40.1,165.4,4.1,1.4,74.3,415.9,5.6,10.0,8.4,3.1,21.5,6.6,61.4,1.2,1.1,2.3
62,North Texas,12,27.8,22.2,35.0,63.3,251.5,1.6,32.8,163.3,5.0,1.8,67.8,414.8,6.1,10.3,8.5,2.0,20.8,5.8,47.4,0.7,0.9,1.6
