,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Alabama,14,11.9,16.4,30.4,53.8,165.7,0.6,34.7,95.7,2.8,0.6,65.1,261.4,4.0,8.1,5.4,1.8,15.4,4.4,32.5,0.4,1.4,1.7
2,Clemson,14,13.6,14.9,28.3,52.5,161.9,1.1,36.6,114.9,3.1,0.4,64.9,276.7,4.3,6.4,7.1,1.4,14.8,5.3,45.3,0.4,1.0,1.4
3,Wisconsin,14,13.9,13.7,28.2,48.6,163.6,0.8,31.1,98.4,3.2,0.5,59.4,262.1,4.4,6.9,5.6,1.4,14.0,5.4,47.1,0.6,1.4,2.1
4,Virginia Tech,13,14.8,13.4,27.5,48.6,199.8,1.2,35.4,119.9,3.4,0.5,62.9,319.7,5.1,7.8,6.4,1.2,15.4,6.3,48.2,0.5,1.0,1.5
5,Washington,13,16.1,20.9,32.1,65.2,197.2,0.8,35.2,101.7,2.9,0.8,67.3,298.8,4.4,8.8,7.2,0.8,16.8,4.2,39.5,0.7,1.2,1.8
6,Georgia,15,16.4,16.3,29.1,55.8,168.9,1.3,33.7,126.0,3.7,0.5,62.9,294.9,4.7,6.9,7.2,1.5,15.6,5.2,39.7,0.5,0.8,1.3
7,Penn State,13,16.5,20.2,34.5,58.4,211.5,0.9,34.6,119.4,3.4,1.1,69.2,330.8,4.8,9.4,6.7,1.3,17.4,6.2,57.8,1.2,0.8,1.9
8,UTSA,11,17.0,11.6,23.7,49.0,160.1,1.2,34.0,129.3,3.8,0.9,57.7,289.4,5.0,6.8,6.9,1.4,15.1,5.2,54.1,0.8,1.2,2.0
9,Wyoming,13,17.5,14.5,25.7,56.6,174.9,0.8,46.1,160.3,3.5,1.2,71.8,335.2,4.7,7.5,9.8,1.4,18.8,4.9,46.3,1.4,1.5,2.9
10,Fresno State,14,17.9,19.6,32.9,59.7,207.1,1.0,33.1,113.4,3.4,0.9,66.0,320.6,4.9,9.4,6.6,1.1,17.1,5.1,40.5,0.9,0.6,1.5
11,Auburn,14,18.5,16.6,30.6,54.2,182.6,1.1,37.7,137.0,3.6,0.8,68.3,319.6,4.7,7.9,7.1,1.6,16.6,6.0,48.5,0.9,0.4,1.4
12,Troy,13,18.5,20.2,33.6,60.0,231.3,1.5,36.8,107.2,2.9,0.5,70.4,338.5,4.8,10.5,7.2,1.4,19.0,6.3,56.6,0.7,1.3,2.0
13,Michigan,13,18.8,12.3,25.2,48.8,150.1,0.8,34.7,120.9,3.5,1.2,59.9,271.0,4.5,5.8,6.1,1.9,13.8,5.5,46.1,0.5,0.8,1.3
14,LSU,13,18.9,15.5,29.1,53.4,187.6,0.8,33.2,129.0,3.9,1.2,62.2,316.6,5.1,8.5,6.4,1.5,16.3,4.8,35.8,0.5,0.9,1.4
