,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Nebraska,14,10.4,16.7,35.0,47.8,178.9,0.5,33.2,93.1,2.8,0.5,68.2,272.0,4.0,8.0,6.0,2.3,16.3,6.0,48.4,0.6,1.4,2.0
2,Alabama,14,11.7,15.0,32.1,46.8,166.0,0.8,28.2,78.1,2.8,0.4,60.3,244.1,4.0,7.5,4.7,1.2,13.4,6.1,52.1,0.5,1.7,2.2
3,Penn State,13,12.2,16.7,30.8,54.1,184.6,0.8,31.5,89.8,2.8,0.5,62.4,274.5,4.4,8.1,5.8,0.8,14.8,5.5,46.5,0.7,1.1,1.8
4,Florida,14,12.4,14.9,28.3,52.5,152.8,0.7,32.1,99.8,3.1,0.4,60.4,252.6,4.2,7.4,6.0,1.5,14.9,5.6,45.6,0.2,1.4,1.6
5,Ohio State,13,12.5,17.4,32.1,54.2,171.5,0.8,31.5,90.8,2.9,0.6,63.6,262.3,4.1,8.4,5.4,0.8,14.5,5.2,44.7,0.8,1.8,2.7
6,Texas Christian,13,12.8,14.5,30.7,47.4,159.5,0.8,30.9,80.2,2.6,0.6,61.6,239.7,3.9,6.8,4.1,1.5,12.4,6.3,56.8,0.8,1.1,1.9
7,Oklahoma,13,14.5,17.9,33.4,53.7,179.7,0.8,33.2,92.9,2.8,0.8,66.6,272.6,4.1,7.5,5.8,2.0,15.4,9.8,82.7,0.9,1.4,2.3
8,Iowa,13,15.4,14.6,29.5,49.6,152.9,0.7,35.5,123.6,3.5,0.7,64.9,276.5,4.3,7.5,6.5,0.9,15.0,5.5,47.6,0.7,1.6,2.3
9,Virginia Tech,13,15.6,13.4,28.2,47.4,167.1,0.7,36.0,128.4,3.6,0.8,64.2,295.5,4.6,6.9,7.0,1.0,14.9,6.2,47.0,1.0,0.8,1.8
10,Air Force,13,15.7,14.5,25.2,57.6,154.3,0.8,35.8,134.0,3.7,0.9,61.0,288.3,4.7,7.4,6.5,0.7,14.6,5.5,47.0,1.1,1.5,2.6
11,LSU,13,16.2,17.1,32.0,53.4,194.2,1.0,38.0,133.4,3.5,0.5,70.0,327.6,4.7,9.0,8.8,1.5,19.4,5.8,44.2,0.4,1.0,1.4
12,Texas,14,16.7,18.2,32.9,55.4,179.6,1.0,32.7,72.4,2.2,0.6,65.6,251.9,3.8,8.6,5.1,1.8,15.5,7.5,65.8,0.9,1.8,2.6
13,Boise State,14,17.1,17.2,31.4,54.9,179.9,1.1,31.4,120.4,3.8,1.1,62.8,300.2,4.8,7.9,6.1,2.0,16.0,6.2,50.1,0.8,1.7,2.5
14,North Carolina,13,17.1,17.8,30.5,58.6,174.0,0.8,33.8,95.6,2.8,0.9,64.2,269.6,4.2,7.4,6.5,1.7,15.5,5.5,43.5,0.8,1.5,2.2
15,Ole Miss,13,17.7,15.2,30.5,50.0,174.4,0.9,36.2,140.3,3.9,0.8,66.6,314.7,4.7,6.8,8.2,1.2,16.2,6.0,43.4,0.8,1.0,1.8
16,Rutgers,13,17.9,16.6,29.7,56.0,204.5,1.0,33.9,103.2,3.0,1.1,63.6,307.8,4.8,8.2,6.0,1.1,15.2,6.5,54.2,1.5,1.2,2.6
17,Central Michigan,14,18.9,19.5,33.5,58.2,221.4,0.9,33.6,122.9,3.7,1.1,67.1,344.2,5.1,10.8,6.4,1.7,18.9,5.6,48.5,0.6,0.8,1.4
18,Navy,14,19.4,17.7,30.1,58.9,213.1,1.1,31.1,122.1,3.9,0.9,61.1,335.2,5.5,10.2,7.3,0.6,18.1,5.6,47.7,0.7,0.9,1.6
19,Boston College,13,19.8,21.3,34.5,61.8,224.5,0.9,34.5,103.2,3.0,0.8,68.9,327.6,4.8,11.2,6.1,0.9,18.2,6.2,55.7,0.6,1.2,1.8
20,Pitt,13,19.8,18.0,31.6,56.9,213.0,1.3,32.7,106.3,3.3,0.9,64.3,319.3,5.0,9.2,6.8,2.4,18.4,6.8,56.3,0.7,1.2,1.8
21,South Florida,13,19.8,16.5,29.8,55.6,186.3,1.1,34.5,135.5,3.9,1.2,64.3,321.8,5.0,8.8,7.2,1.4,17.3,5.5,49.2,0.8,1.0,1.8
22,USC,13,19.8,18.5,35.6,52.1,212.3,0.9,35.1,128.2,3.7,1.4,70.7,340.5,4.8,10.1,7.8,1.5,19.5,6.4,46.8,0.8,0.8,1.7
23,Utah,13,20.2,15.5,30.5,50.6,176.0,0.9,36.8,137.8,3.7,1.3,67.4,313.8,4.7,7.8,7.5,2.5,17.7,5.5,44.1,0.6,1.3,1.9
24,Clemson,14,20.4,13.2,25.8,51.2,162.8,1.4,43.3,151.5,3.5,0.6,69.1,314.3,4.6,6.6,9.3,1.8,17.7,5.8,44.6,0.6,1.5,2.1
