rank,conference,size,num_games,win,loss,pct,bowl_games,bowl_win,bowl_loss,bowl_pct,srs,sos,prepoll,postpoll,champion
1,Pacific-12 Conference,12,157,92,64,0.59,9,6,3,0.667,10.49,7.01,5,6,Stanford
2,Southeastern Conference,14,180,111,69,0.617,10,7,3,0.7,10.43,5.91,6,7,Auburn
3,Big 12 Conference,10,126,70,56,0.556,6,3,3,0.5,5.57,3.11,4,3,Baylor
4,Big Ten Conference,12,152,88,65,0.575,7,2,5,0.286,5.05,2.22,5,3,Michigan State
5,Atlantic Coast Conference,14,181,103,78,0.569,11,5,6,0.455,5.03,2.62,2,3,Florida State
6,American Athletic Conference,10,125,62,63,0.496,5,2,3,0.4,-3.26,-3.33,1,2,UCF
7,Mountain West Conference,12,152,72,80,0.474,6,3,3,0.5,-4.13,-2.98,1,0,Fresno State
8,Independent,6,75,32,43,0.427,3,2,1,0.667,-4.5,-0.83,1,1,
9,Sun Belt Conference,8,98,49,49,0.5,2,2,0,1,-6.21,-5.18,0,0,Arkansas State Louisiana
10,Conference USA,14,176,80,96,0.455,6,3,3,0.5,-7.78,-5.59,0,0,Rice
11,Mid-American Conference,13,163,73,90,0.448,5,0,5,0,-8.76,-5.95,0,0,Bowling Green State
