,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Texas Christian,13,12.0,12.1,24.8,48.6,128.8,0.8,30.1,99.7,3.3,0.7,54.9,228.5,4.2,5.2,5.8,1.0,12.0,4.9,39.0,0.8,0.9,1.7
2,Boise State,13,12.8,14.6,28.5,51.2,150.9,0.6,35.5,103.8,2.9,0.9,64.0,254.7,4.0,7.1,6.5,1.2,14.8,5.5,46.8,1.0,1.1,2.1
3,Alabama,13,13.5,14.8,28.2,52.3,176.2,0.9,33.5,110.2,3.3,0.5,61.7,286.4,4.6,7.6,6.5,1.1,15.2,5.5,44.2,0.3,1.7,2.0
4,West Virginia,13,13.5,17.5,30.2,58.0,174.6,0.9,31.5,86.5,2.7,0.2,61.8,261.1,4.2,7.5,5.0,1.2,13.7,6.1,57.8,0.8,0.9,1.8
5,Ohio State,13,14.3,15.9,29.6,53.8,165.5,0.7,31.1,96.7,3.1,0.7,60.7,262.2,4.3,7.8,5.6,1.0,14.5,5.2,42.8,0.8,1.5,2.3
6,Missouri,13,16.1,19.2,33.9,56.5,203.5,1.0,37.2,152.9,4.1,0.9,71.2,356.4,5.0,9.7,7.8,1.6,19.1,6.2,47.2,0.8,1.4,2.2
7,Iowa,13,17.0,22.9,36.8,62.2,230.5,0.9,31.3,101.5,3.2,1.0,68.2,332.1,4.9,10.5,7.5,1.2,19.2,6.5,57.9,0.4,1.5,1.8
8,UCF,14,17.1,18.4,33.9,54.3,207.0,1.5,32.2,108.4,3.4,0.6,66.1,315.4,4.8,9.6,6.7,1.1,17.4,4.4,37.4,0.4,1.2,1.6
9,Nebraska,14,17.4,13.6,27.9,48.7,153.6,0.9,39.3,153.1,3.9,0.9,67.1,306.8,4.6,7.3,7.6,2.1,17.0,4.5,39.4,0.3,1.4,1.6
10,Stanford,13,17.4,18.5,32.6,56.8,202.0,1.2,31.2,120.8,3.9,0.9,63.8,322.8,5.1,9.6,7.5,1.4,18.5,6.2,49.3,0.9,1.4,2.3
11,LSU,13,18.2,15.1,26.5,57.0,169.8,1.2,36.8,137.3,3.7,1.2,63.2,307.2,4.9,7.4,7.4,1.5,16.2,5.4,42.7,1.0,1.5,2.5
12,Oregon,13,18.7,20.2,37.6,53.8,217.9,1.2,36.5,128.1,3.5,0.8,74.1,346.0,4.7,10.8,6.7,2.2,19.6,6.4,51.9,1.2,1.6,2.8
13,Clemson,13,18.8,15.8,29.4,53.7,191.8,1.4,37.2,128.5,3.5,0.6,66.6,320.3,4.8,8.1,7.1,1.9,17.1,6.8,64.6,0.4,1.2,1.5
14,Northern Illinois,14,18.9,18.8,32.0,58.7,208.2,1.1,32.8,126.5,3.9,1.1,64.8,334.7,5.2,9.5,6.9,1.5,17.9,5.6,52.9,0.6,1.1,1.8
15,Pitt,13,19.0,17.2,30.3,56.9,185.1,1.2,34.1,120.0,3.5,0.9,64.4,305.1,4.7,8.7,7.8,2.0,18.5,5.5,51.8,0.7,1.0,1.7
16,Temple,12,19.1,17.1,29.8,57.4,178.2,0.8,38.3,139.5,3.6,1.3,68.0,317.7,4.7,8.8,7.4,0.8,17.1,5.1,42.3,0.9,0.8,1.7
17,Syracuse,13,19.3,16.0,28.3,56.5,165.3,1.2,37.5,136.2,3.6,1.1,65.8,301.5,4.6,7.3,7.8,1.6,16.7,6.8,56.0,0.6,0.7,1.3
18,Louisville,13,19.4,14.5,26.4,54.8,167.4,1.2,36.2,144.3,4.0,1.1,62.6,311.7,5.0,7.5,7.6,1.8,16.9,6.5,52.0,0.8,0.7,1.5
19,Boston College,13,19.5,24.9,39.2,63.5,226.9,1.1,30.9,82.8,2.7,0.5,70.2,309.7,4.4,11.2,5.3,1.4,17.9,5.3,45.8,1.0,1.5,2.5
20,Florida State,14,19.6,19.9,34.1,58.3,225.0,1.2,37.8,128.7,3.4,0.9,71.9,353.7,4.9,9.6,8.1,2.2,20.0,7.0,55.4,0.9,1.1,1.9
21,Mississippi State,13,19.8,19.8,34.3,57.8,237.8,1.5,33.5,119.1,3.6,0.8,67.8,356.8,5.3,10.8,7.3,1.3,19.4,6.0,47.5,1.2,1.0,2.2
22,South Florida,13,20.0,18.3,31.1,58.9,192.3,1.4,36.2,125.6,3.5,0.6,67.2,317.9,4.7,9.0,7.2,1.1,17.3,7.2,60.5,0.4,1.2,1.5
23,Notre Dame,13,20.2,21.1,33.8,62.3,215.1,0.8,35.8,142.2,4.0,1.2,69.6,357.2,5.1,9.6,7.5,1.0,18.1,6.9,59.6,0.5,1.4,1.9
24,Utah,13,20.3,17.9,29.2,61.3,225.2,1.5,34.7,111.7,3.2,0.7,63.9,336.8,5.3,9.8,5.6,1.4,16.8,4.7,38.8,1.0,0.9,1.9
25,Wisconsin,13,20.5,16.1,28.2,56.9,193.9,1.5,32.5,127.8,3.9,0.7,60.8,321.8,5.3,8.8,7.4,0.7,16.9,4.7,38.9,0.7,1.1,1.8
26,Virginia Tech,14,20.6,16.0,30.6,52.2,205.6,1.4,33.2,155.9,4.7,1.3,63.9,361.5,5.7,9.1,6.8,1.5,17.4,6.6,55.9,0.6,1.6,2.3
27,Miami (FL),13,20.7,12.5,25.2,49.7,150.5,0.7,42.0,172.8,4.1,1.5,67.2,323.3,4.8,7.2,8.2,1.5,16.8,6.2,51.4,0.9,1.2,2.2
28,Air Force,13,21.1,13.5,24.7,54.8,147.8,0.8,42.2,201.5,4.8,1.8,66.9,349.3,5.2,7.5,10.4,0.8,18.6,4.3,34.8,0.8,0.9,1.7
29,Florida,13,21.3,15.4,28.6,53.8,175.9,1.3,37.0,130.6,3.5,1.1,65.6,306.5,4.7,8.2,8.0,1.5,17.8,5.8,42.8,0.5,1.7,2.2
30,North Carolina State,13,21.3,18.9,31.2,60.6,225.1,1.6,33.3,114.3,3.4,0.9,64.5,339.4,5.3,9.2,6.5,0.4,16.1,6.4,57.6,1.5,0.7,2.2
31,Nevada,14,21.4,19.5,34.9,55.9,243.3,1.1,30.6,120.3,3.9,1.3,65.4,363.6,5.6,10.9,6.4,1.7,19.1,5.3,48.7,0.9,0.9,1.7
32,Brigham Young,13,21.6,15.8,29.5,53.4,192.2,1.5,35.5,138.6,3.9,1.1,65.1,330.8,5.1,8.4,7.7,1.5,17.6,6.3,61.2,0.5,1.2,1.8
33,Oklahoma,14,21.8,19.4,35.4,54.6,212.9,1.1,36.0,148.9,4.1,1.0,71.4,361.9,5.1,8.6,7.9,1.1,17.7,7.3,60.8,0.9,1.4,2.3
34,Texas A&M,13,21.9,23.7,39.2,60.4,234.2,1.5,37.0,130.2,3.5,1.1,76.2,364.3,4.8,10.8,7.8,1.5,20.2,7.2,59.9,0.7,1.2,1.9
35,Connecticut,13,22.0,20.1,34.2,58.7,223.5,1.2,36.8,143.2,3.9,1.0,71.0,366.8,5.2,9.6,8.2,1.0,18.8,5.8,44.8,0.8,1.5,2.4
36,Georgia,13,22.1,13.4,24.4,54.9,181.3,1.2,39.3,147.2,3.7,1.8,63.7,328.5,5.2,7.8,8.5,1.4,17.8,4.8,36.0,0.8,1.2,2.0
37,San Diego State,13,22.1,17.0,32.8,51.8,205.0,1.4,40.1,148.8,3.7,1.2,72.9,353.8,4.9,9.7,8.6,1.9,20.2,6.2,52.8,0.5,0.8,1.2
38,Maryland,13,22.2,20.8,38.4,54.1,227.8,1.3,36.9,124.5,3.4,1.1,75.3,352.3,4.7,10.8,6.8,2.5,20.0,7.3,63.1,0.8,1.5,2.2
39,Michigan State,13,22.3,18.7,32.5,57.6,220.1,1.5,34.7,133.7,3.9,1.2,67.2,353.8,5.3,10.1,7.3,1.8,19.2,5.9,50.2,0.5,1.3,1.8
