,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Oklahoma,13,49.5,19.6,28.0,70.1,324.0,3.2,37.7,254.4,6.7,3.0,65.7,578.4,8.8,13.3,11.6,1.5,26.4,6.1,61.5,0.5,0.5,1.0
2,Alabama,13,47.9,19.5,28.8,67.9,325.5,3.5,37.8,202.2,5.3,2.4,66.6,527.6,7.9,12.9,10.1,1.6,24.6,5.5,50.0,0.5,0.5,1.0
3,Utah State,12,47.2,23.5,35.2,66.8,288.8,2.3,36.6,205.0,5.6,2.8,71.8,493.8,6.9,12.5,9.3,1.3,23.1,7.8,70.0,1.0,0.4,1.4
4,Houston,12,46.4,21.9,36.8,59.5,300.9,3.7,41.2,227.3,5.5,2.3,78.0,528.3,6.8,12.4,11.4,2.1,25.9,6.8,54.2,0.7,0.8,1.4
5,Clemson,13,45.4,21.5,33.5,64.4,269.7,2.4,38.4,261.1,6.8,3.5,71.8,530.8,7.4,11.8,10.9,1.2,23.9,4.8,42.1,0.6,0.6,1.2
6,UCF,12,44.2,17.7,30.1,58.7,268.9,2.3,46.9,277.4,5.9,3.3,77.0,546.3,7.1,11.3,14.0,2.3,27.6,7.1,62.0,0.5,0.5,1.0
7,Memphis,13,43.6,18.5,29.5,62.8,248.8,2.1,43.2,285.5,6.6,3.5,72.8,534.3,7.3,11.2,11.8,1.8,24.8,7.5,62.5,0.5,0.7,1.2
8,Ohio State,13,43.5,28.5,40.2,70.7,367.0,3.6,41.4,181.9,4.4,1.8,81.6,548.9,6.7,16.7,9.9,2.7,29.3,8.2,77.1,0.7,0.6,1.3
9,West Virginia,11,42.3,24.7,37.0,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5
10,Ohio,12,41.2,14.6,24.1,60.6,208.4,2.0,42.9,262.3,6.1,3.2,67.0,470.8,7.0,9.1,13.3,2.4,24.8,5.3,54.3,0.8,0.6,1.4
11,Toledo,12,41.1,16.5,29.8,55.5,224.9,2.4,42.1,223.6,5.3,2.4,71.8,448.5,6.2,10.2,10.3,2.7,23.2,7.8,73.0,0.5,0.9,1.4
12,Syracuse,12,40.8,20.8,36.1,57.7,261.5,1.8,45.8,210.3,4.6,2.9,81.9,471.8,5.8,10.3,10.9,2.3,23.6,6.9,56.5,0.5,0.8,1.3
13,Georgia,13,39.2,17.0,24.8,68.6,227.2,2.4,41.2,252.1,6.1,2.3,65.9,479.2,7.3,9.9,12.5,1.5,23.9,5.7,49.6,0.5,0.4,0.9
14,Oklahoma State,12,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26.0,6.8,70.1,0.8,0.9,1.7
15,Washington State,12,38.3,36.9,52.3,70.5,379.8,3.1,21.8,83.2,3.8,1.8,74.1,462.9,6.2,18.0,4.7,1.9,24.9,6.7,65.0,0.3,0.8,1.1
16,Texas Tech,12,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81.0,484.3,6.0,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8
17,Oregon,12,37.2,18.9,32.0,59.1,254.7,2.3,41.6,192.8,4.6,2.3,73.6,447.5,6.1,11.0,9.8,1.7,22.5,4.8,46.1,0.8,0.7,1.4
18,Missouri,12,36.9,21.5,34.4,62.5,271.6,2.1,42.6,197.3,4.6,2.2,77.0,468.8,6.1,12.2,10.0,2.3,24.4,7.0,61.3,0.5,0.7,1.2
19,Michigan,12,36.8,16.7,25.9,64.3,212.9,1.9,43.3,214.3,5.0,2.2,69.2,427.3,6.2,9.3,10.9,1.7,21.8,7.0,67.0,0.3,0.6,0.8
20,Appalachian State,12,36.7,14.9,24.4,61.1,188.6,1.8,42.2,241.0,5.7,2.5,66.6,429.6,6.5,8.4,10.2,1.6,20.2,6.2,58.1,0.3,0.8,1.2
21,North Texas,12,36.4,25.3,39.2,64.7,316.3,2.3,35.1,156.6,4.5,2.0,74.3,472.8,6.4,14.7,8.1,2.4,25.2,4.6,52.0,0.7,0.4,1.1
22,Georgia Tech,12,35.6,4.3,9.5,44.7,84.3,0.6,58.4,335.0,5.7,3.7,67.9,419.3,6.2,3.1,17.3,1.4,21.8,3.9,37.3,1.0,0.3,1.3
23,North Carolina State,12,35.6,26.3,38.7,67.9,327.7,2.0,37.3,143.8,3.9,2.3,75.9,471.5,6.2,14.9,7.8,2.3,25.0,4.7,45.9,0.6,0.8,1.3
24,Temple,12,35.6,18.9,33.0,57.3,255.8,1.6,38.3,166.6,4.4,2.2,71.3,422.3,5.9,11.6,8.4,1.3,21.3,7.7,73.0,0.4,1.5,1.9
25,Boise State,13,35.4,23.8,35.4,67.4,292.0,2.4,39.9,167.5,4.2,1.8,75.3,459.5,6.1,13.0,9.8,1.3,24.2,5.8,53.8,0.4,0.6,1.0
26,Cincinnati,12,34.9,17.7,28.5,62.0,220.1,1.8,47.0,238.1,5.1,2.8,75.5,458.2,6.1,10.1,12.3,1.1,23.5,7.8,71.8,1.1,0.5,1.6
27,Fresno State,13,34.9,22.0,31.6,69.6,274.2,2.0,35.4,146.8,4.2,2.2,67.0,421.0,6.3,11.7,7.2,1.4,20.3,5.3,45.6,0.5,0.3,0.8
28,Buffalo,13,34.8,16.2,29.5,54.7,221.6,2.1,42.2,196.3,4.7,2.6,71.7,417.9,5.8,9.0,10.1,3.2,22.2,4.9,41.0,0.3,0.9,1.2
29,Texas A&M,12,34.7,20.0,34.7,57.7,262.0,2.0,41.8,203.8,4.9,1.9,76.5,465.8,6.1,12.5,11.4,2.6,26.5,6.0,48.9,0.7,0.7,1.3
30,Florida International,12,34.6,19.4,29.7,65.4,247.6,2.2,36.5,170.3,4.7,1.9,66.2,417.9,6.3,10.8,8.2,1.9,20.9,4.8,43.3,0.3,0.7,1.0
31,Penn State,12,34.6,15.8,28.8,54.8,215.8,1.6,39.9,208.5,5.2,2.8,68.7,424.3,6.2,8.9,10.2,2.3,21.4,4.8,43.9,1.0,0.6,1.6
32,Florida,12,34.5,16.9,28.3,59.7,217.2,2.3,40.4,209.6,5.2,1.7,68.8,426.8,6.2,9.8,11.2,1.4,22.4,7.5,64.6,0.7,0.5,1.2
33,Ole Miss,12,33.9,23.5,36.8,63.9,346.4,1.8,34.8,164.9,4.7,2.0,71.6,511.3,7.1,13.6,8.8,1.8,24.1,7.3,66.8,0.4,0.8,1.2
34,Notre Dame,12,33.8,20.9,32.0,65.4,265.6,1.9,41.6,190.8,4.6,2.3,73.6,456.4,6.2,12.3,10.0,1.6,23.9,5.0,45.5,0.3,1.0,1.3
35,Liberty,12,33.3,20.4,37.3,54.7,261.5,1.8,40.6,161.4,4.0,2.5,77.9,422.9,5.4,12.8,8.4,1.9,23.0,4.3,38.2,0.5,1.5,2.0
36,Western Michigan,12,33.2,18.5,29.8,62.0,243.8,1.7,44.0,205.0,4.7,2.5,73.8,448.8,6.1,10.7,10.3,2.4,23.3,6.0,55.2,0.8,0.7,1.5
37,Massachusetts,12,32.8,21.8,34.3,63.7,298.0,2.3,34.0,139.8,4.1,1.8,68.3,437.8,6.4,12.9,7.3,1.4,21.7,5.7,48.5,1.2,0.8,2.0
38,South Carolina,12,32.6,21.3,33.7,63.1,277.4,2.7,35.2,163.3,4.6,1.3,68.8,440.8,6.4,12.3,8.5,1.7,22.4,6.4,53.9,0.6,1.0,1.6
39,Louisiana,13,32.5,16.1,24.8,64.7,208.0,2.0,40.2,229.2,5.7,2.2,65.0,437.2,6.7,8.6,10.4,1.4,20.4,5.2,45.4,0.2,1.0,1.2
40,Wake Forest,12,32.5,18.8,33.7,55.9,227.4,2.0,48.0,218.0,4.5,1.5,81.7,445.4,5.5,10.8,12.2,1.7,24.6,4.0,41.5,0.5,1.0,1.5
41,Nevada,12,32.3,23.1,38.3,60.3,285.3,2.0,32.8,157.8,4.8,1.9,71.1,443.2,6.2,12.3,7.9,1.3,21.4,5.9,57.3,0.9,1.3,2.2
42,Hawaii,13,32.1,23.3,39.3,59.3,321.2,3.2,29.5,113.8,3.9,0.8,68.8,435.1,6.3,13.4,6.8,1.8,21.9,5.5,45.9,0.7,0.7,1.4
43,Boston College,12,32.0,16.3,28.1,57.9,215.3,2.1,46.4,189.2,4.1,1.9,74.5,404.4,5.4,8.9,9.5,1.0,19.4,6.3,49.2,0.8,0.8,1.6
44,Purdue,12,31.9,25.9,39.3,66.0,317.8,2.3,31.1,141.2,4.5,1.5,70.3,459.0,6.5,12.2,7.7,2.4,22.3,6.3,64.8,0.5,0.9,1.4
45,Arkansas State,12,31.8,23.1,35.5,65.0,282.0,2.3,38.3,182.8,4.8,1.4,73.8,464.8,6.3,11.9,9.4,1.6,22.9,7.9,71.7,0.5,0.6,1.1
46,LSU,12,31.8,16.9,29.4,57.5,214.7,1.1,42.3,174.7,4.1,2.4,71.7,389.3,5.4,9.7,9.8,2.5,21.9,5.8,54.1,0.6,0.3,0.9
47,Iowa,12,31.5,18.4,31.4,58.6,227.7,2.0,39.0,162.0,4.2,1.6,70.4,389.7,5.5,10.9,8.2,1.8,20.8,5.2,46.0,0.5,0.8,1.3
48,Arizona,12,31.3,18.0,32.4,55.5,255.3,2.4,41.1,202.4,4.9,1.2,73.5,457.7,6.2,10.8,9.6,3.2,23.6,7.9,75.7,0.8,0.8,1.6
49,Texas,13,31.3,22.3,34.5,64.7,264.5,2.2,39.6,151.9,3.8,1.6,74.1,416.4,5.6,12.3,9.2,2.0,23.5,7.5,67.5,0.4,0.5,0.8
50,Florida Atlantic,12,31.1,18.8,30.3,62.1,237.0,1.2,47.2,241.8,5.1,2.9,77.5,478.8,6.2,9.6,13.0,1.4,23.9,6.6,62.8,0.5,1.3,1.8
51,Georgia Southern,12,31.1,5.5,9.2,60.0,82.8,0.8,48.3,261.5,5.4,2.8,57.5,344.3,6.0,3.0,12.8,1.1,16.8,4.8,41.7,0.4,0.0,0.4
52,Miami (FL),12,30.9,14.7,28.3,51.9,177.3,1.6,38.0,197.3,5.2,2.1,66.3,374.6,5.7,7.2,9.5,1.3,18.0,6.0,49.8,0.9,0.8,1.8
53,Arizona State,12,30.8,19.0,30.5,62.3,241.3,1.6,38.4,185.9,4.8,2.1,68.9,427.3,6.2,10.3,9.7,1.8,21.8,6.3,56.6,0.3,0.4,0.8
54,Old Dominion,12,30.8,24.4,40.0,61.0,297.0,1.8,35.4,130.8,3.7,2.0,75.4,427.8,5.7,13.0,7.4,2.9,23.3,5.2,49.6,0.7,1.0,1.7
55,SMU,12,30.4,22.3,39.0,57.3,271.7,2.3,33.3,115.6,3.5,1.4,72.3,387.3,5.4,11.3,6.3,2.5,20.0,5.3,45.8,0.5,0.7,1.2
