,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Baylor,13,48.2,24.8,39.9,62.2,365.9,2.9,47.6,215.5,4.5,3.3,87.5,581.5,6.6,14.8,13.2,2.1,30.1,9.8,88.4,0.4,0.6,1.0
2,Texas Christian,13,46.5,25.0,40.7,61.4,326.2,2.8,39.2,206.8,5.3,2.5,79.8,533.0,6.7,13.3,10.7,1.5,25.5,6.3,59.0,0.8,0.8,1.7
3,Marshall,14,45.6,19.9,33.8,59.0,287.3,2.9,39.9,271.9,6.8,2.9,73.7,559.2,7.6,13.1,11.5,1.6,26.1,8.5,80.3,0.8,0.9,1.7
4,Oregon,15,45.4,21.7,31.6,68.8,312.5,2.9,42.9,234.5,5.5,2.8,74.5,547.0,7.3,13.2,12.2,1.7,27.1,8.2,72.0,0.5,0.3,0.7
5,Ohio State,15,44.8,17.3,27.3,63.6,247.1,2.8,46.0,264.5,5.7,2.7,73.3,511.6,7.0,10.0,14.5,1.3,25.7,5.6,47.4,0.9,0.8,1.7
6,Western Kentucky,13,44.4,29.1,42.8,67.9,374.3,3.8,33.0,160.3,4.9,1.6,75.8,534.6,7.0,16.6,8.6,1.8,27.0,5.8,57.2,0.6,0.8,1.4
7,Michigan State,13,43.0,18.2,30.8,59.0,265.6,2.0,45.7,235.2,5.1,3.4,76.5,500.8,6.5,11.8,11.8,1.1,24.7,6.2,58.0,0.5,0.7,1.2
8,Georgia,13,41.3,16.7,24.8,67.4,199.9,1.8,42.6,258.8,6.1,2.9,67.4,458.8,6.8,9.7,11.8,1.4,22.9,5.0,41.5,0.5,0.5,1.0
9,Boise State,14,39.7,22.1,32.2,68.7,280.4,1.9,43.5,213.9,4.9,2.8,75.7,494.3,6.5,12.4,10.6,1.2,24.1,6.6,57.2,0.6,1.1,1.7
10,California,12,38.3,27.3,44.5,61.4,345.3,3.1,36.6,149.0,4.1,1.8,81.1,494.3,6.1,15.6,8.3,2.7,26.5,8.9,82.6,0.8,0.8,1.7
11,Georgia Tech,14,37.9,7.6,14.5,52.2,134.4,1.4,56.4,342.1,6.1,3.4,70.9,476.5,6.7,5.6,18.5,0.9,25.0,4.9,41.1,0.9,0.4,1.3
12,Nebraska,13,37.8,14.6,27.6,52.9,212.1,1.8,45.2,240.2,5.3,2.7,72.8,452.3,6.2,8.8,11.5,2.0,22.3,5.8,50.4,1.0,0.9,1.9
