,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Alabama,13,8.2,12.6,25.7,49.1,111.5,0.5,29.7,72.2,2.4,0.2,55.4,183.6,3.3,4.8,4.4,0.8,10.1,4.5,34.8,0.5,1.0,1.5
2,LSU,14,11.3,16.4,31.2,52.4,171.4,0.5,32.9,90.1,2.7,0.5,64.1,261.5,4.1,8.1,5.6,1.5,15.1,6.8,54.7,0.9,1.3,2.1
3,Temple,13,13.9,17.1,29.8,57.4,187.8,1.0,34.0,123.9,3.6,0.8,63.8,311.8,4.9,8.6,7.1,0.8,16.5,4.6,42.2,0.5,1.2,1.6
4,Florida State,13,15.1,18.2,30.8,59.1,192.3,1.2,35.2,82.7,2.3,0.6,66.1,275.0,4.2,8.5,5.5,1.8,15.8,5.8,47.5,0.5,1.2,1.8
5,Penn State,13,16.8,18.3,32.8,55.7,190.6,0.9,37.0,133.3,3.6,1.0,69.8,323.9,4.6,9.7,6.9,1.1,17.7,4.8,38.5,0.9,1.1,2.0
6,Michigan,13,17.4,17.0,28.8,59.1,190.5,0.9,33.0,131.7,4.0,1.1,61.8,322.2,5.2,8.8,7.2,1.2,17.2,7.1,61.7,1.5,0.7,2.2
7,Virginia Tech,14,17.6,14.7,29.5,49.9,200.6,1.1,32.3,104.1,3.2,1.1,61.8,304.6,4.9,8.1,6.1,1.6,15.8,3.9,34.1,0.5,1.1,1.6
8,Rutgers,13,18.3,14.2,27.3,51.8,172.3,0.6,36.6,141.8,3.9,1.3,63.9,314.2,4.9,7.2,7.0,1.2,15.4,6.6,53.2,1.2,1.5,2.6
9,UCF,12,18.3,17.3,32.1,54.0,194.5,1.0,28.9,108.8,3.8,0.8,61.0,303.3,5.0,8.6,6.0,1.1,15.7,4.3,34.3,0.5,0.8,1.3
10,Michigan State,14,18.4,15.4,28.6,53.9,176.9,1.4,35.9,100.5,2.8,0.8,64.5,277.4,4.3,8.2,5.6,2.4,16.1,6.1,49.1,0.5,1.3,1.8
11,South Carolina,13,18.4,13.4,26.6,50.3,131.7,1.1,37.6,136.0,3.6,0.9,64.2,267.7,4.2,6.4,8.6,0.8,15.8,4.9,35.9,1.0,1.5,2.5
12,Boise State,13,18.7,17.5,30.8,56.9,210.8,1.6,31.2,110.0,3.5,0.7,62.0,320.8,5.2,8.1,6.0,1.8,15.9,7.0,61.7,0.8,1.2,2.0
13,Wisconsin,14,19.0,15.3,25.1,60.8,163.6,1.1,35.6,152.8,4.3,1.2,60.7,316.4,5.2,7.7,7.2,0.9,15.9,5.5,47.1,0.7,1.1,1.9
14,Florida International,13,19.5,20.5,35.8,57.1,226.6,0.8,35.2,118.1,3.4,1.2,71.1,344.7,4.8,10.2,6.6,2.2,19.0,7.3,60.8,0.5,1.1,1.5
15,Illinois,13,19.6,13.8,25.2,54.9,162.3,1.2,39.5,123.8,3.1,1.2,64.8,286.2,4.4,7.7,6.8,1.2,15.8,4.5,38.5,0.9,0.8,1.7
16,Mississippi State,13,19.7,21.5,33.4,64.5,197.2,0.9,41.2,153.5,3.7,1.2,74.6,350.6,4.7,9.5,9.1,1.2,19.8,6.2,53.7,0.6,0.9,1.5
17,Louisville,13,20.1,19.5,32.5,60.0,227.4,1.5,33.5,100.5,3.0,0.8,65.9,327.9,5.0,9.7,6.6,1.4,17.7,5.4,38.1,0.8,0.8,1.6
18,Miami (FL),12,20.1,17.4,26.3,66.3,198.0,1.3,39.4,161.9,4.1,0.7,65.7,359.9,5.5,9.8,9.1,0.8,19.7,5.2,40.3,0.8,0.5,1.3
19,Utah,13,20.2,20.0,35.7,56.0,237.4,1.4,35.0,113.5,3.2,0.5,70.7,350.9,5.0,11.0,6.1,2.2,19.3,7.7,64.4,1.1,1.5,2.5
20,Cincinnati,13,20.3,22.4,37.2,60.2,261.2,1.3,35.1,96.2,2.7,0.8,72.2,357.4,4.9,11.4,6.5,1.2,19.1,7.8,64.7,1.3,1.2,2.5
21,Florida,13,20.3,14.3,26.2,54.5,166.8,1.2,39.0,132.7,3.4,1.2,65.2,299.5,4.6,6.9,7.8,2.2,16.8,6.9,56.9,0.5,0.6,1.1
