Wk,Year,Home,Away,Outcome,off_rank.x,games.x.x,pts.x,p_comp.x,p_att.x,comp_pct.x,p_yds.x,p_td.x,r_att.x,r_yds.x,r_avg.x,r_td.x,ttl_off_plays.x,ttl_off_yds.x,ttl_off_avg.x,pass_fd.x,rush_fd.x,pen_fd.x,ttl_fd.x,pen.x,pen_yds.x,fum.x,int.x,turnover.x,def_rank.x,games.y.x,opp_pts.x,opp_p_comp.x,opp_p_att.x,opp_comp_pct.x,opp_p_yds.x,opp_p_td.x,opp_r_att.x,opp_r_yds.x,opp_r_avg.x,opp_r_td.x,opp_ttl_off_plays.x,opp_ttl_off_yds.x,opp_ttl_off_avg.x,opp_pass_fd.x,opp_rush_fd.x,opp_pen_fd.x,opp_ttl_fd.x,def_pen.x,def_pen_yds.x,opp_fum.x,opp_int.x,opp_turnover.x,off_rank.y,games.x.y,pts.y,p_comp.y,p_att.y,comp_pct.y,p_yds.y,p_td.y,r_att.y,r_yds.y,r_avg.y,r_td.y,ttl_off_plays.y,ttl_off_yds.y,ttl_off_avg.y,pass_fd.y,rush_fd.y,pen_fd.y,ttl_fd.y,pen.y,pen_yds.y,fum.y,int.y,turnover.y,def_rank.y,games.y.y,opp_pts.y,opp_p_comp.y,opp_p_att.y,opp_comp_pct.y,opp_p_yds.y,opp_p_td.y,opp_r_att.y,opp_r_yds.y,opp_r_avg.y,opp_r_td.y,opp_ttl_off_plays.y,opp_ttl_off_yds.y,opp_ttl_off_avg.y,opp_pass_fd.y,opp_rush_fd.y,opp_pen_fd.y,opp_ttl_fd.y,def_pen.y,def_pen_yds.y,opp_fum.y,opp_int.y,opp_turnover.y
1,2017,Colorado State,Oregon State,1,31,13,33.4,21.8,35.3,61.9,292.6,2.2,39.8,200.6,5.0,2.0,75.2,493.2,6.6,13.4,10.3,1.8,25.5,6.2,57.0,0.5,0.8,1.2,72,13,27.8,18.2,32.2,56.7,244.9,1.6,36.2,188.5,5.2,1.7,68.4,433.5,6.3,10.3,9.2,1.8,21.4,5.6,48.7,0.5,0.9,1.4,116,12,20.7,17.8,30.2,59.1,196.3,0.9,34.3,137.5,4.0,1.5,64.4,333.8,5.2,8.8,7.9,2.3,19.0,7.0,68.0,1.3,1.0,2.3,128,12,43.0,19.1,28.7,66.6,237.3,2.4,42.9,235.8,5.5,2.9,71.6,473.1,6.6,10.8,12.8,2.6,26.2,6.3,60.3,0.6,0.6,1.2
1,2017,Massachusetts,Hawaii,0,47,12,30.6,22.7,37.3,60.9,297.5,2.2,34.8,135.5,3.9,1.6,72.1,433.0,6.0,12.8,6.8,2.0,21.7,6.6,56.6,0.9,0.5,1.4,94,12,31.8,16.2,30.3,53.3,207.0,1.4,40.0,197.4,4.9,2.3,70.3,404.4,5.8,8.2,9.3,1.5,19.0,7.3,72.7,0.6,1.1,1.7,106,12,22.8,21.7,35.3,61.5,234.5,1.6,35.0,168.2,4.8,1.3,70.3,402.7,5.7,10.0,8.4,1.4,19.8,7.8,68.8,0.5,0.7,1.2,106,12,33.9,17.8,27.8,63.8,248.6,2.4,40.0,210.2,5.3,1.9,67.8,458.8,6.8,10.8,10.3,1.8,22.8,5.7,51.6,0.5,0.8,1.3
1,2017,San Jose State,South Florida,0,126,13,15.8,17.4,31.9,54.5,198.0,1.2,37.2,120.1,3.2,0.5,69.1,318.1,4.6,8.5,7.2,1.5,17.2,6.5,53.4,1.7,1.5,3.2,127,13,41.7,17.0,27.6,61.6,213.9,1.9,52.8,285.4,5.4,3.1,80.4,499.3,6.2,9.5,13.2,1.3,24.1,6.4,53.4,0.8,0.5,1.2,10,12,38.3,16.3,30.6,53.4,248.9,2.1,52.8,264.1,5.0,2.5,83.4,513.0,6.1,10.0,13.8,1.9,25.8,9.3,86.0,0.7,0.5,1.2,41,12,23.5,19.2,36.3,52.9,232.8,1.4,38.2,126.9,3.3,1.4,74.4,359.8,4.8,10.3,7.2,2.5,19.9,7.9,71.3,0.3,1.7,2.0
1,2017,Stanford,Rice,1,38,14,32.4,14.9,25.9,57.3,186.3,1.6,34.2,202.6,5.9,2.2,60.1,388.9,6.5,7.9,7.9,1.9,17.6,5.8,47.3,0.3,0.6,0.9,35,14,22.7,19.6,30.9,63.3,236.1,1.4,36.8,169.4,4.6,1.3,67.7,405.6,6.0,10.2,9.1,1.6,20.9,6.6,63.4,0.7,1.3,2.0,125,12,16.3,10.2,20.5,49.6,144.8,0.5,40.5,187.0,4.6,1.7,61.0,331.8,5.4,6.3,10.0,0.8,17.2,4.4,38.3,1.1,1.3,2.4,113,12,35.8,19.3,27.8,69.7,233.3,1.7,38.5,192.6,5.0,2.5,66.3,425.8,6.4,10.8,10.1,0.9,21.8,4.1,33.8,0.3,0.3,0.5
2,2017,Arizona State,New Mexico State,1,42,13,31.8,20.3,32.0,63.5,255.7,1.6,43.4,175.8,4.1,2.1,75.4,431.5,5.7,10.1,10.2,1.5,21.8,3.8,37.5,0.5,0.7,1.2,103,13,32.8,22.2,35.3,63.0,274.9,1.5,35.2,176.5,5.0,2.4,70.5,451.4,6.4,11.8,8.8,1.8,22.4,6.8,57.9,0.5,0.8,1.3,54,13,29.3,30.5,49.2,62.0,340.2,2.2,27.2,110.1,4.1,1.4,76.4,450.2,5.9,14.7,6.3,1.3,22.3,6.8,54.9,0.5,1.7,2.2,86,13,29.7,20.3,34.8,58.4,234.4,1.6,39.9,166.6,4.2,1.9,74.7,401.0,5.4,11.2,8.8,2.0,21.9,6.8,59.3,0.8,1.2,2.1
2,2017,Memphis,Louisiana-Monroe,1,2,13,45.5,23.6,37.5,62.9,335.0,3.0,34.8,197.1,5.7,2.5,72.4,532.1,7.4,14.5,8.2,2.5,25.2,8.5,77.4,0.5,0.8,1.2,102,13,32.5,21.8,37.4,58.2,282.1,2.4,43.7,184.2,4.2,1.9,81.1,466.2,5.8,12.4,9.6,2.5,24.5,7.5,64.6,1.2,1.2,2.4,26,12,33.9,20.5,33.7,60.9,288.8,1.8,38.3,170.0,4.4,2.3,71.9,458.8,6.4,11.9,8.3,1.3,21.6,5.3,43.4,0.8,0.8,1.5,126,12,41.0,19.7,31.8,61.9,299.3,2.7,41.6,232.8,5.6,2.7,73.3,532.1,7.3,12.3,11.4,1.4,25.1,7.1,65.6,0.4,0.8,1.2
2,2017,Minnesota,Buffalo,1,110,12,22.1,9.2,19.4,47.2,126.1,0.8,43.8,182.4,4.2,1.7,63.2,308.5,4.9,5.1,10.0,1.3,16.4,3.3,28.3,0.6,0.9,1.5,37,12,22.8,17.5,27.7,63.3,174.5,1.3,35.2,172.2,4.9,1.6,62.8,346.7,5.5,7.9,8.4,1.0,17.3,5.3,53.3,0.8,0.7,1.5,63,12,28.5,19.5,33.3,58.5,290.8,2.0,35.7,141.1,4.0,1.5,69.0,431.9,6.3,12.1,6.6,2.3,20.9,5.6,49.8,0.6,0.5,1.1,48,12,24.8,16.6,28.0,59.2,203.3,1.5,44.4,195.4,4.4,1.8,72.4,398.8,5.5,8.8,11.3,1.4,21.6,5.7,53.6,0.5,0.7,1.2
2,2017,Indiana,Ohio State,0,78,12,26.8,25.5,41.8,61.0,265.7,2.1,37.4,130.1,3.5,0.9,79.3,395.8,5.0,12.0,6.7,2.3,21.0,5.9,58.9,0.6,1.1,1.7,52,12,25.3,15.1,27.7,54.5,179.7,1.5,41.4,160.4,3.9,1.5,69.1,340.1,4.9,7.0,8.2,2.3,17.5,7.6,65.5,0.7,0.4,1.1,6,14,41.1,20.5,31.4,65.2,262.8,2.8,42.0,243.4,5.8,2.4,73.4,506.2,6.9,10.7,12.4,2.1,25.3,6.9,67.4,0.6,0.7,1.4,15,14,19.0,17.6,31.9,55.0,195.9,1.1,35.8,105.1,2.9,0.9,67.7,300.9,4.4,9.1,5.5,2.1,16.7,5.9,51.5,0.8,0.9,1.7
2,2017,Oklahoma State,Tulsa,1,4,13,45.0,25.0,38.7,64.6,389.2,2.8,38.5,182.2,4.7,2.6,77.2,571.3,7.4,16.4,9.1,2.2,27.6,5.1,45.5,0.8,0.8,1.6,85,13,29.4,20.4,35.4,57.6,268.6,1.5,38.9,140.7,3.6,1.8,74.3,409.3,5.5,11.1,8.6,2.3,22.0,5.8,47.9,0.5,1.3,1.8,55,12,29.3,13.0,24.3,53.4,173.1,0.5,49.3,247.3,5.0,3.0,73.7,420.3,5.7,6.4,12.8,2.5,21.7,7.0,60.0,0.4,0.7,1.1,121,12,37.5,17.8,27.1,65.5,263.9,2.0,45.3,265.0,5.9,2.7,72.3,528.9,7.3,10.7,11.8,1.9,24.4,8.2,79.0,0.6,0.6,1.2
2,2017,Northern Illinois,Boston College,0,60,13,28.9,17.8,31.2,57.0,199.9,1.9,42.5,179.8,4.2,1.4,73.6,379.8,5.2,8.8,9.7,1.8,20.3,6.2,55.5,1.0,0.8,1.8,33,13,22.0,18.6,32.8,56.7,218.5,1.2,40.5,120.0,3.0,1.1,73.3,338.5,4.6,8.9,6.5,1.6,17.0,6.0,62.1,0.5,1.2,1.7,85,13,25.7,15.2,28.2,54.0,166.3,1.2,47.5,220.4,4.6,1.8,75.8,386.7,5.1,7.8,10.1,1.1,18.9,3.6,29.8,0.6,0.9,1.5,36,13,22.8,16.2,31.5,51.3,191.6,0.8,39.8,191.2,4.8,2.0,71.2,382.8,5.4,8.8,8.5,0.7,18.1,4.7,37.8,0.5,1.4,1.9
