Wk,Year,Home,Away,Outcome,off_rank.x,games.x.x,pts.x,p_comp.x,p_att.x,comp_pct.x,p_yds.x,p_td.x,r_att.x,r_yds.x,r_avg.x,r_td.x,ttl_off_plays.x,ttl_off_yds.x,ttl_off_avg.x,pass_fd.x,rush_fd.x,pen_fd.x,ttl_fd.x,pen.x,pen_yds.x,fum.x,int.x,turnover.x,def_rank.x,games.y.x,opp_pts.x,opp_p_comp.x,opp_p_att.x,opp_comp_pct.x,opp_p_yds.x,opp_p_td.x,opp_r_att.x,opp_r_yds.x,opp_r_avg.x,opp_r_td.x,opp_ttl_off_plays.x,opp_ttl_off_yds.x,opp_ttl_off_avg.x,opp_pass_fd.x,opp_rush_fd.x,opp_pen_fd.x,opp_ttl_fd.x,def_pen.x,def_pen_yds.x,opp_fum.x,opp_int.x,opp_turnover.x,off_rank.y,games.x.y,pts.y,p_comp.y,p_att.y,comp_pct.y,p_yds.y,p_td.y,r_att.y,r_yds.y,r_avg.y,r_td.y,ttl_off_plays.y,ttl_off_yds.y,ttl_off_avg.y,pass_fd.y,rush_fd.y,pen_fd.y,ttl_fd.y,pen.y,pen_yds.y,fum.y,int.y,turnover.y,def_rank.y,games.y.y,opp_pts.y,opp_p_comp.y,opp_p_att.y,opp_comp_pct.y,opp_p_yds.y,opp_p_td.y,opp_r_att.y,opp_r_yds.y,opp_r_avg.y,opp_r_td.y,opp_ttl_off_plays.y,opp_ttl_off_yds.y,opp_ttl_off_avg.y,opp_pass_fd.y,opp_rush_fd.y,opp_pen_fd.y,opp_ttl_fd.y,def_pen.y,def_pen_yds.y,opp_fum.y,opp_int.y,opp_turnover.y
1,2016,California,Hawaii,1,22,12,37.1,31.9,51.8,61.7,358.8,3.1,34.5,154.3,4.5,1.3,86.3,513.2,5.9,16.4,8.6,2.9,27.9,7.4,75.8,0.3,1.0,1.3,127,12,42.6,19.7,32.9,59.7,245.4,2.5,44.3,272.9,6.2,2.7,77.3,518.3,6.7,11.1,13.2,2.4,26.7,8.9,76.8,0.6,0.9,1.5,68,14,28.3,18.4,31.3,58.7,227.5,1.8,34.1,163.8,4.8,1.8,65.4,391.3,6.0,9.8,7.6,1.4,18.8,8.3,71.6,0.7,1.1,1.8,113,14,37.3,17.6,28.1,62.6,227.4,2.1,44.4,234.2,5.3,2.2,72.4,461.6,6.4,8.9,13.1,1.9,23.9,6.9,65.4,0.4,0.8,1.2
2,2016,Florida International,Indiana,0,106,12,24.0,19.8,33.9,58.5,226.7,1.6,35.3,148.6,4.2,1.3,69.2,375.3,5.4,10.8,7.6,1.5,19.8,5.3,48.7,0.5,1.4,1.9,104,12,34.8,18.8,30.5,61.7,235.8,1.8,37.9,199.0,5.2,2.2,68.4,434.8,6.4,11.3,10.2,0.9,22.3,5.8,50.9,0.7,0.5,1.2,88,13,25.8,20.2,35.1,57.7,273.8,1.6,41.1,152.2,3.7,1.4,76.2,426.0,5.6,11.7,8.1,1.7,21.5,6.1,52.8,0.8,1.4,2.2,57,13,27.2,16.8,32.1,52.5,219.7,1.3,42.6,160.4,3.8,1.5,74.7,380.1,5.1,9.5,8.6,1.4,19.5,6.8,56.5,0.8,1.0,1.8
2,2016,Louisville,Charlotte,1,6,13,42.5,19.1,33.5,56.9,290.5,2.5,40.4,242.2,6.0,2.8,73.9,532.7,7.2,11.5,11.7,1.8,25.0,7.8,70.7,1.7,0.8,2.5,31,13,23.8,17.2,31.6,54.5,207.1,2.2,37.2,115.2,3.1,0.5,68.8,322.2,4.7,8.8,6.5,2.2,17.5,5.9,56.8,0.8,1.2,1.9,94,12,25.2,17.8,34.4,51.8,192.8,1.4,40.3,176.8,4.4,1.5,74.8,369.5,4.9,8.5,8.8,2.4,19.8,7.3,68.2,0.8,0.5,1.3,102,12,34.6,25.8,41.3,62.5,309.8,2.4,33.8,143.4,4.2,2.0,75.2,453.3,6.0,14.1,7.9,2.2,24.2,7.4,66.7,0.6,1.3,1.9
2,2016,Minnesota,Oregon State,1,63,13,29.3,13.9,25.2,55.2,173.6,0.7,42.9,183.6,4.3,2.6,68.2,357.2,5.2,8.2,9.7,1.3,19.2,6.8,57.2,0.4,0.9,1.3,21,13,22.1,21.1,37.5,56.3,230.9,1.7,34.8,117.8,3.4,0.9,72.3,348.8,4.8,9.9,7.3,1.8,19.0,4.7,42.1,1.2,0.7,1.9,86,12,26.2,16.1,29.4,54.7,173.8,1.1,36.7,192.2,5.2,2.0,66.1,366.0,5.5,7.5,9.1,1.6,18.2,8.0,71.8,0.7,0.9,1.6,82,12,30.5,18.8,33.5,56.2,211.2,1.3,41.0,218.0,5.3,2.1,74.5,429.2,5.8,9.8,11.1,2.2,23.1,5.8,54.3,1.1,0.6,1.7
2,2016,Vanderbilt,South Carolina,0,113,13,23.0,16.2,30.3,53.3,191.2,0.7,38.2,164.5,4.3,2.0,68.5,355.7,5.2,9.9,8.1,1.5,19.5,5.2,44.2,0.3,0.8,1.2,36,13,24.0,20.8,34.1,61.2,244.6,1.5,35.0,163.5,4.7,1.1,69.1,408.2,5.9,10.6,8.3,1.5,20.5,6.2,55.8,1.1,0.4,1.5,116,13,20.8,19.1,30.9,61.7,213.2,0.9,36.5,134.4,3.7,1.5,67.5,347.5,5.2,9.8,7.2,1.6,18.5,5.0,46.6,1.0,0.5,1.5,53,13,26.5,18.7,31.0,60.3,208.7,1.5,42.2,203.5,4.8,1.5,73.2,412.2,5.6,10.3,11.1,1.5,23.0,6.4,56.2,0.9,1.2,2.1
2,2016,Tennessee,Appalachian State,1,24,13,36.4,18.3,29.2,62.8,238.5,2.2,39.8,205.2,5.2,2.4,68.9,443.7,6.4,10.5,9.7,1.4,21.5,6.2,56.5,1.1,0.9,2.0,70,13,28.8,18.3,33.2,55.1,230.7,1.4,43.7,218.5,5.0,2.2,76.9,449.2,5.8,10.3,10.5,1.7,22.5,6.4,51.7,1.0,0.8,1.8,64,13,29.2,15.6,25.7,60.8,179.0,1.2,43.5,256.9,5.9,2.2,69.2,435.9,6.3,8.8,12.0,1.6,22.4,6.1,58.0,0.4,0.6,1.0,9,13,17.8,19.6,34.2,57.4,203.8,0.9,31.8,125.5,3.9,1.2,66.0,329.3,5.0,9.6,6.4,1.8,17.8,5.9,53.4,0.2,1.5,1.7
2,2016,Wake Forest,Tulane,1,119,13,20.4,14.6,27.2,53.8,165.7,0.7,41.0,145.8,3.6,1.3,68.2,311.5,4.6,7.2,8.5,1.5,17.3,4.7,38.5,0.5,1.0,1.5,24,13,22.2,18.5,32.2,57.7,228.2,1.2,37.3,142.4,3.8,1.5,69.5,370.5,5.3,9.9,8.2,1.2,19.3,5.4,47.5,1.2,0.9,2.1,105,12,24.1,9.1,21.5,42.2,113.3,0.8,49.2,228.3,4.6,2.1,70.7,341.6,4.8,4.9,10.9,1.5,17.3,6.4,55.1,0.8,0.7,1.5,60,12,27.7,15.6,28.7,54.4,205.3,1.4,39.1,160.3,4.1,1.7,67.8,365.6,5.4,8.2,8.3,1.5,18.0,5.5,48.8,1.3,1.0,2.3
2,2016,Western Kentucky,Rice,1,1,14,45.5,21.8,33.6,64.8,336.8,3.0,34.8,186.4,5.4,2.5,68.4,523.1,7.6,13.1,9.9,1.5,24.6,6.6,66.7,0.8,0.6,1.4,42,14,24.6,23.4,39.9,58.8,279.4,1.8,32.6,97.2,3.0,1.1,72.4,376.6,5.2,11.8,5.8,2.4,20.0,6.9,55.7,0.5,1.0,1.5,93,12,25.3,20.1,34.3,58.5,215.2,1.3,40.2,169.9,4.2,1.9,74.5,385.1,5.2,9.3,10.3,2.1,21.7,5.8,47.2,0.7,0.8,1.5,115,12,37.3,17.8,28.2,63.3,287.7,2.1,39.6,217.2,5.5,2.5,67.8,504.8,7.5,10.3,10.0,1.2,21.5,7.6,66.9,0.5,0.4,0.9
2,2016,Temple,Army,0,43,14,32.4,16.6,28.8,57.6,237.4,1.6,40.1,176.4,4.4,2.2,68.9,413.8,6.0,9.7,9.9,1.6,21.3,5.4,43.1,0.4,0.9,1.4,11,14,18.4,13.0,24.4,53.2,152.1,0.9,36.4,130.5,3.6,1.2,60.8,282.6,4.6,6.9,7.2,1.3,15.4,5.8,47.4,0.9,0.9,1.8,59,13,29.9,4.2,9.5,43.9,74.4,0.5,60.5,339.6,5.6,3.5,70.0,414.0,5.9,2.9,17.8,1.1,21.8,4.8,42.2,1.1,0.8,1.9,15,13,19.8,14.7,26.0,56.5,170.2,1.1,31.2,121.2,3.9,1.3,57.2,291.5,5.1,7.0,6.7,0.8,14.5,6.2,49.5,0.4,1.3,1.7
2,2016,Georgia State,Ball State,0,121,12,19.9,19.3,34.9,55.1,246.3,1.4,28.0,87.7,3.1,0.8,62.9,333.9,5.3,10.0,5.3,1.5,16.8,6.1,48.4,0.7,1.3,1.9,54,12,26.6,16.1,29.6,54.4,173.9,0.7,48.0,206.8,4.3,2.1,77.6,380.7,4.9,9.2,11.5,1.6,22.3,5.8,51.9,0.6,0.9,1.5,75,12,27.0,21.9,36.3,60.3,229.2,1.2,43.3,220.0,5.1,2.1,79.6,449.2,5.6,11.6,11.8,1.2,24.5,4.0,35.5,0.8,1.3,2.0,78,12,30.1,25.1,40.0,62.7,319.7,2.3,33.8,150.6,4.5,1.3,73.8,470.3,6.4,13.8,7.8,1.3,22.8,5.8,49.7,0.6,0.6,1.2
2,2016,Colorado,Colorado State,1,51,14,31.1,20.6,33.5,61.6,254.5,1.5,45.0,183.9,4.1,2.1,78.5,438.4,5.6,10.6,10.6,2.1,23.4,5.4,47.2,0.6,0.8,1.4,20,14,21.7,16.7,33.6,49.7,193.1,1.3,36.4,149.7,4.1,1.0,70.0,342.9,4.9,9.1,7.1,1.4,17.6,5.8,51.7,0.8,1.1,1.9,28,13,35.3,16.7,27.7,60.3,244.5,2.2,41.5,218.0,5.2,2.3,69.2,462.5,6.7,10.0,11.1,1.4,22.5,6.0,53.8,0.6,0.5,1.2,81,13,30.4,14.3,24.3,58.9,205.6,1.4,44.3,214.1,4.8,2.5,68.6,419.7,6.1,9.3,10.1,1.3,20.7,6.1,48.4,0.5,0.6,1.1
2,2016,Stanford,Kansas State,1,84,13,26.3,13.8,23.5,58.7,158.2,1.2,40.2,208.9,5.2,1.5,63.6,367.1,5.8,7.5,9.4,1.2,18.1,6.5,54.4,0.7,0.7,1.4,18,13,20.4,18.4,33.6,54.7,223.6,1.4,34.8,145.8,4.2,1.2,68.4,369.4,5.4,9.9,8.2,1.5,19.5,6.7,58.2,0.5,1.1,1.5,45,13,32.2,13.6,23.8,57.3,157.0,0.8,43.8,232.2,5.3,3.0,67.6,389.2,5.8,7.3,12.2,1.9,21.4,6.8,56.6,0.5,0.4,0.9,25,13,22.3,22.8,36.5,62.7,272.7,2.0,30.6,115.8,3.8,0.8,67.1,388.5,5.8,11.9,6.8,1.4,20.2,6.5,61.0,0.7,1.2,1.9
2,2016,Arkansas State,Toledo,0,74,13,27.3,17.8,30.9,57.5,242.2,1.6,39.8,137.2,3.5,1.5,70.7,379.4,5.4,10.3,8.3,1.2,19.8,8.2,64.2,0.6,0.7,1.3,19,13,21.5,17.7,32.6,54.2,219.5,1.2,40.2,143.4,3.6,1.0,72.8,362.8,5.0,9.6,7.5,2.2,19.3,6.8,54.8,0.8,0.8,1.7,19,13,38.0,22.4,32.5,68.8,322.8,3.5,39.4,195.0,5.0,1.3,71.9,517.8,7.2,12.9,9.4,1.9,24.2,7.0,61.2,0.4,0.7,1.1,48,13,25.7,17.5,31.8,54.8,220.8,1.8,36.3,176.3,4.9,1.2,68.2,397.1,5.8,9.7,8.5,1.5,19.7,6.5,69.3,0.3,0.5,0.8
2,2016,Alabama,USC,1,15,15,38.8,17.7,27.8,63.5,210.3,1.7,42.6,245.0,5.8,2.2,70.4,455.3,6.5,8.1,12.1,0.8,21.0,5.7,44.0,0.7,0.6,1.3,1,15,13.0,18.2,33.8,53.8,197.9,1.0,31.7,63.9,2.0,0.3,65.5,261.8,4.0,8.3,4.7,1.4,14.5,3.9,31.4,0.9,1.1,1.9,36,13,34.4,23.4,35.6,65.7,276.4,2.5,38.6,201.1,5.2,1.4,74.2,477.5,6.4,12.6,10.4,1.8,24.8,7.6,67.2,0.7,0.8,1.5,38,13,24.2,19.2,33.8,56.9,227.5,1.8,34.5,139.6,4.1,1.2,68.2,367.2,5.4,10.0,7.1,2.0,19.1,4.8,45.2,0.5,1.1,1.5
2,2016,Arkansas,Louisiana Tech,1,57,13,30.3,19.0,31.2,60.8,264.2,2.0,39.7,164.4,4.1,1.6,70.9,428.5,6.0,11.5,8.9,1.7,22.3,6.2,51.9,0.8,1.2,1.9,85,13,31.1,16.8,28.5,58.9,221.2,0.9,34.5,206.3,6.0,3.0,63.0,427.5,6.8,9.5,8.8,0.8,19.2,4.4,41.2,0.8,0.8,1.6,2,14,44.3,25.9,38.8,66.7,363.4,3.1,29.6,151.6,5.1,2.1,68.4,514.9,7.5,15.0,8.5,2.1,25.6,5.1,48.2,0.6,0.6,1.2,98,14,33.6,23.1,35.3,65.4,274.7,2.4,37.4,146.2,3.9,1.9,72.7,420.9,5.8,13.1,9.3,1.6,24.0,6.4,60.9,0.6,0.6,1.3
