Wk,Year,Home,Away,Outcome,off_rank.x,games.x.x,pts.x,p_comp.x,p_att.x,comp_pct.x,p_yds.x,p_td.x,r_att.x,r_yds.x,r_avg.x,r_td.x,ttl_off_plays.x,ttl_off_yds.x,ttl_off_avg.x,pass_fd.x,rush_fd.x,pen_fd.x,ttl_fd.x,pen.x,pen_yds.x,fum.x,int.x,turnover.x,def_rank.x,games.y.x,opp_pts.x,opp_p_comp.x,opp_p_att.x,opp_comp_pct.x,opp_p_yds.x,opp_p_td.x,opp_r_att.x,opp_r_yds.x,opp_r_avg.x,opp_r_td.x,opp_ttl_off_plays.x,opp_ttl_off_yds.x,opp_ttl_off_avg.x,opp_pass_fd.x,opp_rush_fd.x,opp_pen_fd.x,opp_ttl_fd.x,def_pen.x,def_pen_yds.x,opp_fum.x,opp_int.x,opp_turnover.x,off_rank.y,games.x.y,pts.y,p_comp.y,p_att.y,comp_pct.y,p_yds.y,p_td.y,r_att.y,r_yds.y,r_avg.y,r_td.y,ttl_off_plays.y,ttl_off_yds.y,ttl_off_avg.y,pass_fd.y,rush_fd.y,pen_fd.y,ttl_fd.y,pen.y,pen_yds.y,fum.y,int.y,turnover.y,def_rank.y,games.y.y,opp_pts.y,opp_p_comp.y,opp_p_att.y,opp_comp_pct.y,opp_p_yds.y,opp_p_td.y,opp_r_att.y,opp_r_yds.y,opp_r_avg.y,opp_r_td.y,opp_ttl_off_plays.y,opp_ttl_off_yds.y,opp_ttl_off_avg.y,opp_pass_fd.y,opp_rush_fd.y,opp_pen_fd.y,opp_ttl_fd.y,def_pen.y,def_pen_yds.y,opp_fum.y,opp_int.y,opp_turnover.y
1,2013,Bowling Green State,Tulsa,1,27,14,34.8,18.2,28.9,63.1,266.1,1.9,41.4,193.4,4.7,2.1,70.2,459.4,6.5,12.0,10.0,1.1,23.1,5.2,44.1,0.3,0.5,0.8,5,14,15.9,16.6,30.1,55.0,170.9,0.8,33.4,150.6,4.5,1.1,63.6,321.4,5.1,8.4,7.4,1.4,17.2,4.8,37.3,0.9,0.6,1.5,103,12,21.1,17.5,35.8,49.0,191.4,1.0,40.3,164.8,4.1,1.3,76.0,356.2,4.7,8.4,9.8,1.5,19.8,3.1,26.0,1.3,1.6,2.8,102,12,33.9,20.1,34.5,58.2,230.7,2.0,43.3,198.9,4.6,1.8,77.8,429.6,5.5,11.1,9.9,0.4,21.4,4.9,39.6,0.8,1.3,2.0
1,2013,UCF,Akron,1,30,13,34.6,20.7,31.1,66.6,281.6,2.0,36.2,159.9,4.4,2.2,67.3,441.5,6.6,11.8,8.8,1.8,22.4,4.8,41.6,0.8,0.8,1.6,17,13,21.3,20.9,36.8,56.8,239.5,1.0,30.8,122.5,4.0,1.6,67.6,362.0,5.4,10.7,6.8,1.6,19.1,7.1,57.3,0.9,1.1,2.0,108,12,20.2,19.5,34.9,55.8,219.4,1.5,34.8,122.6,3.5,1.0,69.8,342.0,4.9,10.2,7.2,1.6,18.9,6.5,53.5,0.9,0.8,1.8,74,12,28.6,19.8,32.1,61.8,232.9,2.3,40.0,164.1,4.1,1.3,72.1,397.0,5.5,11.1,8.8,1.6,21.5,4.7,40.3,0.5,1.1,1.6
1,2013,Fresno State,Rutgers,1,6,13,43.4,35.5,51.9,68.3,394.9,3.8,31.8,151.3,4.8,1.6,83.7,546.2,6.5,17.0,9.1,2.2,29.1,5.2,53.3,0.9,0.8,1.7,86,13,30.3,21.5,35.6,60.5,283.2,2.0,40.6,147.3,3.6,1.7,76.2,430.5,5.6,12.0,7.2,1.2,20.4,6.9,62.9,0.7,1.1,1.8,77,13,26.5,18.5,34.0,54.3,235.6,1.7,35.0,129.5,3.7,1.3,69.0,365.2,5.3,10.3,7.5,1.8,19.5,6.5,53.8,0.6,1.7,2.3,81,13,29.8,25.5,40.1,63.5,312.0,2.4,32.5,100.8,3.1,1.3,72.6,412.8,5.7,13.9,6.1,1.2,21.2,7.0,62.3,0.8,0.6,1.4
1,2013,Minnesota,UNLV,1,84,13,25.7,10.5,20.5,51.3,148.1,0.9,45.1,195.2,4.3,1.8,65.6,343.3,5.2,7.2,10.3,0.8,18.3,4.4,36.1,0.7,0.5,1.2,24,13,22.2,19.0,31.2,61.0,215.1,1.2,34.8,158.2,4.5,1.5,66.0,373.2,5.7,9.5,8.3,1.1,18.8,3.4,29.4,0.7,0.8,1.5,57,13,29.9,23.0,37.2,61.9,238.8,2.1,39.0,172.5,4.4,1.9,76.2,411.4,5.4,12.0,10.3,1.4,23.7,3.5,31.2,0.4,0.8,1.2,95,13,31.8,17.2,32.6,52.8,217.7,1.6,42.9,215.5,5.0,2.2,75.5,433.2,5.7,10.4,10.7,0.8,21.8,6.1,49.8,0.7,0.8,1.5
1,2013,Vanderbilt,Ole Miss,0,55,13,30.1,18.7,28.9,64.6,227.5,1.2,38.8,139.0,3.6,2.6,67.7,366.5,5.4,9.2,8.2,1.4,18.8,4.8,39.8,0.5,1.2,1.8,44,13,24.6,20.9,34.5,60.6,206.9,1.4,35.4,147.8,4.2,1.5,69.9,354.8,5.1,10.2,8.5,1.3,20.0,6.4,50.1,0.9,1.4,2.3,56,13,30.0,23.8,37.7,63.3,283.3,1.8,40.6,190.0,4.7,1.7,78.3,473.3,6.0,12.4,10.5,1.5,24.4,5.5,41.6,0.6,1.0,1.6,37,13,23.7,18.8,31.0,60.8,215.5,0.8,39.5,154.9,3.9,2.1,70.5,370.5,5.3,9.8,9.5,1.2,20.5,5.5,43.4,0.7,1.0,1.7
1,2013,South Carolina,North Carolina,1,31,13,34.1,18.4,29.5,62.4,253.8,2.3,41.3,198.5,4.8,2.1,70.8,452.3,6.4,11.2,10.3,0.9,22.4,5.3,41.8,1.0,0.3,1.3,12,13,20.3,17.0,28.4,59.9,196.2,1.2,35.7,153.8,4.3,1.2,64.1,350.0,5.5,7.9,8.2,1.5,17.5,4.8,33.9,0.9,1.4,2.3,43,13,32.7,21.8,34.8,62.5,277.4,2.2,37.7,148.3,3.9,1.5,72.5,425.7,5.9,12.2,7.9,1.3,21.5,7.4,63.9,0.5,0.8,1.4,43,13,24.5,18.2,32.6,55.9,220.7,1.2,43.8,182.5,4.2,1.5,76.4,403.2,5.3,10.9,9.4,1.1,21.4,5.3,42.5,0.5,1.0,1.5
1,2013,Hawaii,USC,0,72,12,27.4,24.7,43.3,56.9,301.4,2.6,35.7,114.6,3.2,1.0,79.0,416.0,5.3,13.3,7.0,1.4,21.8,7.5,68.4,1.0,1.8,2.8,114,12,38.8,20.7,34.7,59.6,281.1,2.3,48.2,213.6,4.4,2.3,82.8,494.7,6.0,11.1,11.7,2.3,25.1,5.8,52.9,1.3,0.8,2.0,60,14,29.7,17.9,27.8,64.3,227.1,1.4,38.1,172.0,4.5,2.1,65.9,399.1,6.1,9.4,8.9,1.4,19.8,6.8,57.7,0.6,0.6,1.2,16,14,21.2,21.0,36.9,57.0,214.6,1.4,30.4,120.3,4.0,1.0,67.3,334.9,5.0,9.7,6.8,1.7,18.2,4.7,48.1,0.4,1.2,1.6
1,2013,Utah,Utah State,1,66,12,29.2,17.3,32.6,53.2,236.3,1.8,39.4,160.8,4.1,1.6,72.0,397.0,5.5,9.2,9.0,1.5,19.7,4.7,45.2,0.3,1.8,2.1,73,12,28.0,21.8,36.8,59.3,267.3,1.8,37.0,130.3,3.5,1.1,73.8,397.7,5.4,12.1,6.8,1.3,20.2,6.5,50.8,1.1,0.3,1.3,50,14,31.8,21.2,34.3,61.9,233.4,2.1,42.3,178.1,4.2,1.5,76.6,411.5,5.4,11.1,9.1,1.9,22.1,6.0,55.9,0.6,0.7,1.4,7,14,17.1,18.6,34.5,54.0,224.1,1.2,38.2,106.7,2.8,0.6,72.7,330.9,4.6,9.2,7.1,2.1,18.4,5.7,52.4,0.9,1.2,2.1
1,2013,Miami (FL),Florida Atlantic,1,34,13,33.8,17.4,29.5,58.9,265.5,1.9,33.5,160.3,4.8,1.9,63.1,425.8,6.8,9.7,7.8,1.5,19.0,5.5,44.8,0.6,1.1,1.7,66,13,26.8,20.5,34.0,60.2,249.8,1.2,40.2,176.5,4.4,2.0,74.2,426.4,5.8,11.8,9.5,0.8,22.1,6.2,45.8,0.7,1.4,2.1,78,12,26.4,16.3,29.4,55.5,197.9,1.3,41.6,182.5,4.4,1.8,71.0,380.4,5.4,8.9,8.8,1.7,19.4,4.8,40.5,0.8,0.9,1.8,25,12,22.3,13.5,28.7,47.1,160.7,0.9,38.0,166.4,4.4,1.5,66.7,327.1,4.9,7.9,7.9,1.2,17.0,5.2,44.8,0.5,1.1,1.6
1,2013,Michigan State,Western Michigan,1,62,14,29.4,17.7,30.7,57.7,211.7,1.6,40.6,173.8,4.3,1.6,71.4,385.5,5.4,10.1,9.4,1.4,20.9,5.4,50.4,0.6,0.5,1.1,3,14,13.2,15.2,32.0,47.5,165.6,0.9,30.4,86.3,2.8,0.6,62.4,251.9,4.0,7.9,4.6,1.9,14.3,5.1,46.1,0.8,1.2,2.0,118,12,17.2,17.9,36.5,49.1,211.0,1.0,32.4,116.2,3.6,0.8,68.9,327.2,4.7,9.7,6.6,1.4,17.7,6.9,60.6,0.7,1.5,2.2,106,12,35.4,13.9,25.6,54.4,169.2,1.3,46.4,249.8,5.4,2.5,72.0,418.9,5.8,7.9,12.8,1.8,22.5,5.8,51.9,0.9,0.7,1.6
