Wk,Year,Home,Away,Outcome,off_rank.x,games.x.x,pts.x,p_comp.x,p_att.x,comp_pct.x,p_yds.x,p_td.x,r_att.x,r_yds.x,r_avg.x,r_td.x,ttl_off_plays.x,ttl_off_yds.x,ttl_off_avg.x,pass_fd.x,rush_fd.x,pen_fd.x,ttl_fd.x,pen.x,pen_yds.x,fum.x,int.x,turnover.x,def_rank.x,games.y.x,opp_pts.x,opp_p_comp.x,opp_p_att.x,opp_comp_pct.x,opp_p_yds.x,opp_p_td.x,opp_r_att.x,opp_r_yds.x,opp_r_avg.x,opp_r_td.x,opp_ttl_off_plays.x,opp_ttl_off_yds.x,opp_ttl_off_avg.x,opp_pass_fd.x,opp_rush_fd.x,opp_pen_fd.x,opp_ttl_fd.x,def_pen.x,def_pen_yds.x,opp_fum.x,opp_int.x,opp_turnover.x,off_rank.y,games.x.y,pts.y,p_comp.y,p_att.y,comp_pct.y,p_yds.y,p_td.y,r_att.y,r_yds.y,r_avg.y,r_td.y,ttl_off_plays.y,ttl_off_yds.y,ttl_off_avg.y,pass_fd.y,rush_fd.y,pen_fd.y,ttl_fd.y,pen.y,pen_yds.y,fum.y,int.y,turnover.y,def_rank.y,games.y.y,opp_pts.y,opp_p_comp.y,opp_p_att.y,opp_comp_pct.y,opp_p_yds.y,opp_p_td.y,opp_r_att.y,opp_r_yds.y,opp_r_avg.y,opp_r_td.y,opp_ttl_off_plays.y,opp_ttl_off_yds.y,opp_ttl_off_avg.y,opp_pass_fd.y,opp_rush_fd.y,opp_pen_fd.y,opp_ttl_fd.y,def_pen.y,def_pen_yds.y,opp_fum.y,opp_int.y,opp_turnover.y
1,2010,UAB,Florida Atlantic,0,69,12,26.3,21.2,38.8,54.6,267.0,2.3,34.8,155.8,4.5,1.2,73.5,422.8,5.8,11.8,8.2,1.4,21.3,5.3,50.8,0.8,1.2,2.0,95,12,31.6,19.3,33.3,58.0,248.3,2.0,35.9,150.6,4.2,1.6,69.3,398.8,5.8,10.5,8.3,1.9,20.8,6.6,51.8,0.8,0.8,1.5,113,12,16.8,16.1,28.5,56.4,208.3,1.4,33.3,94.3,2.8,0.7,61.8,302.6,4.9,8.6,5.9,1.3,15.8,7.3,57.9,1.0,1.2,2.2,79,12,29.3,16.4,27.1,60.6,197.8,1.3,44.7,203.6,4.6,2.0,71.8,401.3,5.6,8.2,11.4,1.7,21.3,6.1,49.1,0.5,0.9,1.4
1,2010,Iowa State,Northern Illinois,1,97,12,21.7,17.6,31.1,56.6,174.3,1.2,37.9,143.2,3.8,1.3,69.0,317.4,4.6,8.8,7.9,1.7,18.3,5.9,51.3,0.6,0.8,1.4,74,12,28.8,19.8,31.0,64.0,221.9,1.7,42.7,186.3,4.4,1.6,73.7,408.3,5.5,10.1,10.8,1.0,21.9,5.1,46.1,0.8,1.1,1.9,12,14,38.0,14.9,23.5,63.2,189.6,1.6,41.5,260.4,6.3,3.0,65.0,450.0,6.9,9.4,11.0,1.2,21.6,4.5,41.9,0.4,0.6,1.0,14,14,18.9,18.8,32.0,58.7,208.2,1.1,32.8,126.5,3.9,1.1,64.8,334.7,5.2,9.5,6.9,1.5,17.9,5.6,52.9,0.6,1.1,1.8
1,2010,Middle Tennessee State,Minnesota,0,62,13,26.5,17.4,29.5,58.9,191.2,0.7,40.4,180.8,4.5,2.5,69.9,371.9,5.3,7.9,9.6,1.1,18.6,6.2,55.8,1.1,1.8,2.9,69,13,28.1,17.3,30.1,57.5,199.0,1.5,45.3,187.9,4.1,1.9,75.4,386.9,5.1,8.6,9.8,1.5,19.8,7.0,51.7,0.6,0.8,1.5,89,12,23.2,17.4,31.5,55.3,226.1,1.8,37.3,135.3,3.6,1.2,68.8,361.3,5.3,9.8,7.8,2.3,19.9,5.6,43.1,0.7,0.8,1.4,98,12,33.0,15.2,23.3,65.0,200.8,1.8,36.3,191.4,5.3,2.4,59.7,392.2,6.6,8.8,9.1,1.3,19.1,5.7,51.8,0.7,0.9,1.6
1,2010,Ohio State,Marshall,1,11,13,38.8,17.5,26.8,65.3,228.5,2.3,42.1,220.1,5.2,2.1,68.9,448.6,6.5,10.0,11.2,1.0,22.2,4.8,44.6,0.2,1.0,1.2,5,13,14.3,15.9,29.6,53.8,165.5,0.7,31.1,96.7,3.1,0.7,60.7,262.2,4.3,7.8,5.6,1.0,14.5,5.2,42.8,0.8,1.5,2.3,102,12,20.8,19.6,35.1,55.8,217.1,1.8,28.8,97.2,3.4,0.6,63.8,314.3,4.9,9.2,5.2,2.2,16.5,6.6,54.8,0.7,1.3,1.9,75,12,28.8,20.9,36.8,56.8,240.8,1.5,37.2,145.3,3.9,1.7,74.0,386.0,5.2,11.8,8.3,1.5,21.5,6.8,59.0,0.5,0.9,1.4
1,2010,South Carolina,Southern Mississippi,1,39,14,30.9,18.0,27.8,64.8,238.4,1.6,37.3,154.4,4.1,1.9,65.1,392.8,6.0,10.1,9.3,1.1,20.6,5.3,41.6,0.6,1.2,1.9,43,14,23.1,20.6,32.9,62.8,241.9,1.6,33.4,112.4,3.4,0.9,66.2,354.4,5.4,10.5,7.1,0.9,18.6,5.6,46.6,1.1,0.7,1.9,16,13,36.8,22.6,36.2,62.4,252.5,1.8,43.0,200.8,4.7,2.2,79.2,453.4,5.7,12.2,10.3,1.8,24.2,7.5,71.2,0.7,0.6,1.3,81,13,29.5,19.1,33.1,57.7,243.4,2.2,31.2,113.0,3.6,1.4,64.2,356.4,5.5,10.5,6.2,2.9,19.7,6.0,46.0,0.8,1.2,2.0
1,2010,Hawaii,USC,0,10,14,39.6,28.1,44.1,63.8,394.3,3.0,22.0,106.4,4.8,1.8,66.1,500.6,7.6,16.7,5.7,1.4,23.9,6.4,55.4,0.6,1.2,1.9,58,14,25.5,18.7,31.8,58.9,221.7,1.7,37.4,135.9,3.6,1.4,69.2,357.6,5.2,10.4,7.7,1.0,19.1,6.4,55.9,1.1,1.6,2.7,37,13,31.0,21.5,34.8,61.6,242.2,2.2,36.7,189.3,5.2,1.5,71.5,431.5,6.0,11.5,10.1,1.8,23.3,7.1,60.9,0.7,1.0,1.7,63,13,26.7,21.4,35.7,59.9,259.5,2.3,31.9,140.5,4.4,0.9,67.6,400.1,5.9,11.6,8.4,1.7,21.7,5.5,46.8,0.8,1.2,2.0
1,2010,Utah,Pitt,1,24,13,33.1,19.1,30.6,62.3,236.1,1.8,32.9,152.9,4.6,2.1,63.5,389.0,6.1,9.6,8.0,1.1,18.7,5.8,51.2,1.1,0.9,2.0,24,13,20.3,17.9,29.2,61.3,225.2,1.5,34.7,111.7,3.2,0.7,63.9,336.8,5.3,9.8,5.6,1.4,16.8,4.7,38.8,1.0,0.9,1.9,68,13,26.3,17.7,27.7,63.9,201.2,1.2,36.2,165.7,4.6,1.8,63.8,366.9,5.7,9.2,7.8,1.3,18.4,6.7,54.8,0.8,0.8,1.7,15,13,19.0,17.2,30.3,56.9,185.1,1.2,34.1,120.0,3.5,0.9,64.4,305.1,4.7,8.7,7.8,2.0,18.5,5.5,51.8,0.7,1.0,1.7
1,2010,Toledo,Arizona,0,54,13,27.9,17.5,28.1,62.5,198.0,1.8,38.1,167.4,4.4,1.7,66.2,365.4,5.5,8.4,8.0,1.5,17.8,7.8,64.2,0.7,1.1,1.8,73,13,28.5,21.9,34.8,62.9,231.3,1.2,33.7,133.5,4.0,2.1,68.5,364.8,5.3,10.8,7.4,1.3,19.5,5.6,51.2,1.1,1.5,2.6,53,13,28.2,27.5,40.3,68.1,307.7,1.9,33.5,131.7,3.9,1.5,73.8,439.4,6.0,14.7,7.2,1.8,23.7,7.1,52.5,0.8,0.9,1.7,41,13,22.7,17.9,31.8,56.4,209.2,1.4,37.0,131.7,3.6,1.2,68.8,340.8,5.0,9.3,7.8,1.5,18.6,6.2,50.9,0.7,0.7,1.4
1,2010,Alabama,San Jose State,1,18,13,35.7,19.5,27.8,69.9,261.2,1.8,35.9,182.9,5.1,2.3,63.8,444.1,7.0,11.6,9.7,0.8,22.1,5.1,37.7,0.7,0.4,1.1,3,13,13.5,14.8,28.2,52.3,176.2,0.9,33.5,110.2,3.3,0.5,61.7,286.4,4.6,7.6,6.5,1.1,15.2,5.5,44.2,0.3,1.7,2.0,115,13,16.1,19.5,33.5,58.3,236.5,1.3,27.1,78.5,2.9,0.5,60.6,315.1,5.2,10.2,4.2,1.2,15.6,6.5,50.6,0.6,1.3,1.9,105,13,34.7,20.1,32.2,62.3,260.5,1.2,40.1,203.2,5.1,2.8,72.3,463.7,6.4,12.4,10.4,1.3,24.1,5.1,49.9,0.6,0.8,1.4
1,2010,Eastern Michigan,Army,0,108,12,19.0,12.5,23.5,53.2,160.1,1.2,42.6,173.3,4.1,1.4,66.1,333.4,5.0,6.8,8.5,1.7,17.0,5.6,53.3,0.8,1.2,2.0,118,12,43.9,15.8,24.8,63.8,223.5,2.7,37.8,230.6,6.1,3.0,62.6,454.1,7.3,9.5,10.5,1.8,21.8,5.2,45.6,0.9,0.2,1.1,60,13,26.6,5.5,10.6,52.2,78.1,0.5,56.0,251.6,4.5,2.6,66.6,329.7,4.9,4.1,13.8,0.5,18.4,4.2,40.9,0.8,0.2,1.1,54,13,24.3,14.4,25.2,57.2,199.1,1.7,32.8,139.2,4.2,1.4,57.9,338.2,5.8,8.1,7.9,1.5,17.5,5.6,43.3,1.2,1.1,2.3
