Wk,Year,Home,Away,Outcome,off_rank.x,games.x.x,pts.x,p_comp.x,p_att.x,comp_pct.x,p_yds.x,p_td.x,r_att.x,r_yds.x,r_avg.x,r_td.x,ttl_off_plays.x,ttl_off_yds.x,ttl_off_avg.x,pass_fd.x,rush_fd.x,pen_fd.x,ttl_fd.x,pen.x,pen_yds.x,fum.x,int.x,turnover.x,def_rank.x,games.y.x,opp_pts.x,opp_p_comp.x,opp_p_att.x,opp_comp_pct.x,opp_p_yds.x,opp_p_td.x,opp_r_att.x,opp_r_yds.x,opp_r_avg.x,opp_r_td.x,opp_ttl_off_plays.x,opp_ttl_off_yds.x,opp_ttl_off_avg.x,opp_pass_fd.x,opp_rush_fd.x,opp_pen_fd.x,opp_ttl_fd.x,def_pen.x,def_pen_yds.x,opp_fum.x,opp_int.x,opp_turnover.x,off_rank.y,games.x.y,pts.y,p_comp.y,p_att.y,comp_pct.y,p_yds.y,p_td.y,r_att.y,r_yds.y,r_avg.y,r_td.y,ttl_off_plays.y,ttl_off_yds.y,ttl_off_avg.y,pass_fd.y,rush_fd.y,pen_fd.y,ttl_fd.y,pen.y,pen_yds.y,fum.y,int.y,turnover.y,def_rank.y,games.y.y,opp_pts.y,opp_p_comp.y,opp_p_att.y,opp_comp_pct.y,opp_p_yds.y,opp_p_td.y,opp_r_att.y,opp_r_yds.y,opp_r_avg.y,opp_r_td.y,opp_ttl_off_plays.y,opp_ttl_off_yds.y,opp_ttl_off_avg.y,opp_pass_fd.y,opp_rush_fd.y,opp_pen_fd.y,opp_ttl_fd.y,def_pen.y,def_pen_yds.y,opp_fum.y,opp_int.y,opp_turnover.y
1,2012,Ball State,Eastern Michigan,1,33,13,33.6,24.5,37.8,64.8,254.0,2.2,41.8,203.2,4.9,1.8,79.6,457.2,5.7,13.9,11.6,2.4,27.9,4.7,47.2,0.5,0.8,1.3,94,13,32.0,20.3,32.8,61.8,255.3,2.2,40.2,207.1,5.2,1.8,73.0,462.4,6.3,11.8,10.6,1.8,24.2,7.4,71.3,0.5,0.5,1.1,101,12,21.3,13.3,25.7,51.6,171.6,1.6,37.3,164.2,4.4,1.1,63.0,335.8,5.3,7.1,8.3,1.3,16.8,5.9,53.7,0.5,1.3,1.8,115,12,37.6,17.3,29.2,59.4,212.8,1.5,42.5,267.0,6.3,2.8,71.7,479.8,6.7,9.3,12.3,1.8,23.3,5.0,43.7,0.8,0.6,1.3
1,2012,Brigham Young,Washington State,1,64,13,28.7,22.8,38.3,59.4,247.2,1.9,38.8,153.2,3.9,1.7,77.2,400.4,5.2,12.2,9.4,1.5,23.1,6.2,53.1,0.6,1.3,1.9,3,13,14.0,16.5,29.1,56.6,179.2,0.9,31.7,86.9,2.7,0.4,60.8,266.1,4.4,8.2,4.8,1.7,14.7,6.3,56.5,0.8,0.9,1.7,108,12,20.4,30.3,52.0,58.2,330.4,1.9,21.0,29.1,1.4,0.5,73.0,359.5,4.9,13.5,3.3,4.0,20.8,7.3,63.7,0.8,1.8,2.5,101,12,33.7,22.3,34.1,65.5,262.7,2.2,40.8,163.3,4.0,1.8,74.9,425.9,5.7,12.1,9.3,1.5,22.8,8.5,79.3,0.5,1.3,1.8
1,2012,Akron,UCF,0,79,12,26.1,30.3,48.6,62.4,312.8,2.5,30.4,114.4,3.8,0.8,79.0,427.2,5.4,15.0,6.7,2.3,23.9,8.4,66.4,0.8,1.5,2.3,107,12,35.7,19.3,31.7,61.1,238.9,2.5,43.1,211.1,4.9,1.8,74.8,450.0,6.0,10.9,11.4,2.3,24.6,5.9,49.5,0.7,0.4,1.1,25,14,35.4,18.4,29.4,62.4,225.6,2.0,37.6,181.8,4.8,2.4,67.1,407.4,6.1,10.3,10.4,0.9,21.5,4.3,36.2,0.6,0.5,1.1,28,14,22.1,20.6,34.3,60.0,217.7,1.1,38.9,155.9,4.0,1.5,73.1,373.6,5.1,10.0,9.5,1.4,20.9,3.9,31.3,1.1,0.8,1.9
1,2012,Connecticut,Massachusetts,1,121,12,17.8,18.3,32.3,56.4,230.4,0.8,34.9,87.9,2.5,0.8,67.3,318.3,4.7,11.7,4.0,1.3,16.9,4.7,38.8,0.7,1.5,2.2,19,12,19.8,17.3,31.8,54.3,212.0,1.3,35.8,97.9,2.7,0.8,67.6,309.9,4.6,9.3,5.8,1.1,16.2,6.1,52.0,0.5,0.5,1.0,124,12,12.7,19.8,37.0,53.4,186.7,0.8,34.2,91.6,2.7,0.7,71.2,278.3,3.9,9.9,5.8,1.5,17.2,6.8,56.6,0.8,1.6,2.3,121,12,40.2,19.1,29.5,64.7,235.8,2.2,42.7,225.6,5.3,2.8,72.2,461.3,6.4,11.3,10.9,1.4,23.6,7.7,64.8,0.5,1.1,1.6
1,2012,UNLV,Minnesota,0,97,13,22.0,19.2,36.0,53.4,218.8,1.4,34.8,149.1,4.3,1.2,70.8,367.9,5.2,9.8,7.5,2.2,19.4,5.2,52.2,0.5,1.3,1.8,97,13,32.6,17.2,28.8,59.7,238.2,1.5,45.0,207.1,4.6,2.2,73.8,445.2,6.0,9.3,11.4,2.1,22.8,6.2,60.9,0.6,0.7,1.3,96,13,22.1,13.5,25.4,53.0,169.5,1.5,39.8,151.9,3.8,1.1,65.2,321.4,4.9,7.8,8.1,1.7,17.6,6.2,50.2,0.5,1.2,1.7,45,13,24.7,17.8,31.1,57.2,186.6,1.2,36.8,172.0,4.7,1.7,67.8,358.6,5.3,8.4,8.8,1.8,19.0,7.3,64.2,0.5,1.0,1.5
1,2012,Vanderbilt,South Carolina,0,56,13,30.0,15.9,26.9,59.1,213.4,1.3,40.3,166.3,4.1,1.9,67.2,379.7,5.6,8.4,8.8,1.8,18.9,5.9,44.9,1.0,0.4,1.4,15,13,18.7,17.8,33.2,53.7,191.8,0.5,37.1,142.2,3.8,1.3,70.3,333.9,4.7,8.7,8.2,1.2,18.2,6.8,55.1,0.5,0.8,1.4,47,13,31.5,17.3,28.1,61.6,238.1,2.2,37.8,138.5,3.7,1.5,65.8,376.5,5.7,10.4,7.9,1.5,19.8,4.8,40.5,0.8,0.7,1.5,13,13,18.2,16.4,29.2,56.2,194.8,1.4,38.8,120.7,3.1,0.7,67.9,315.5,4.6,8.1,8.4,1.3,17.8,4.8,41.2,0.7,1.2,1.8
1,2012,Rice,UCLA,0,41,13,31.8,18.2,30.8,58.9,225.6,1.5,48.1,201.8,4.2,2.0,78.9,427.4,5.4,10.8,11.3,1.5,23.5,5.5,50.8,1.3,0.4,1.7,80,13,30.0,16.4,29.1,56.3,235.2,1.6,38.9,190.7,4.9,2.3,68.0,425.9,6.3,9.5,9.5,1.4,20.5,5.8,52.4,1.2,0.8,2.1,31,14,34.4,23.1,35.4,65.3,275.7,2.1,42.8,190.8,4.5,2.1,78.2,466.5,6.0,12.1,9.3,2.2,23.6,9.3,91.5,1.0,0.8,1.8,61,14,27.6,21.6,34.2,63.3,250.6,1.9,40.1,165.4,4.1,1.4,74.3,415.9,5.6,10.0,8.4,3.1,21.5,6.6,61.4,1.2,1.1,2.3
1,2012,Michigan State,Boise State,1,110,13,20.0,18.8,35.8,52.5,209.9,1.1,37.8,149.4,3.9,1.0,73.6,359.3,4.9,10.7,7.2,1.2,19.2,5.8,56.5,0.6,0.8,1.4,9,13,16.3,17.2,32.7,52.5,175.8,0.8,30.1,98.6,3.3,0.5,62.8,274.4,4.4,7.8,4.8,2.0,14.6,4.3,37.2,0.5,1.1,1.5,54,13,30.2,20.2,30.3,66.8,223.2,1.5,36.8,168.2,4.6,1.9,67.1,391.3,5.8,11.2,8.6,1.5,21.3,4.5,42.8,0.7,0.5,1.2,8,13,15.8,16.8,28.9,58.2,169.5,0.3,39.4,146.2,3.7,1.5,68.3,315.6,4.6,7.6,8.3,1.4,17.3,5.2,41.7,1.4,1.4,2.8
1,2012,Stanford,San Jose State,1,71,14,27.9,17.1,28.5,60.2,200.1,1.4,39.2,174.3,4.4,1.6,67.7,374.4,5.5,9.2,8.1,1.7,19.0,6.1,51.1,0.6,0.7,1.3,11,14,17.2,24.0,39.3,61.1,239.2,0.9,31.9,97.0,3.0,1.1,71.1,336.2,4.7,10.3,6.1,1.7,18.1,6.1,56.4,0.9,1.1,1.9,29,13,34.8,25.8,36.0,71.8,332.7,2.7,34.3,113.5,3.3,1.3,70.3,446.2,6.3,15.4,6.1,1.2,22.6,5.2,47.5,1.2,0.7,1.8,24,13,21.3,19.2,33.8,56.9,222.5,1.4,34.0,122.2,3.6,1.2,67.8,344.7,5.1,9.8,6.5,1.3,17.6,3.8,35.0,1.3,1.2,2.5
1,2012,Tennessee,North Carolina State,1,22,12,36.2,23.8,39.8,59.7,315.6,2.9,34.4,160.3,4.7,1.5,74.2,475.9,6.4,14.8,7.8,1.4,24.1,6.8,52.5,0.7,1.2,1.8,109,12,35.7,22.7,37.2,61.0,282.5,2.2,39.8,188.8,4.8,2.1,76.9,471.3,6.1,12.4,8.4,1.5,22.3,5.2,41.4,0.4,1.0,1.4,70,13,28.1,25.4,43.8,58.0,310.1,2.4,36.2,111.1,3.1,0.9,80.0,421.2,5.3,13.4,7.4,1.1,21.8,6.7,50.5,1.2,1.3,2.5,53,13,25.6,20.3,35.0,58.0,249.9,1.5,38.0,154.8,4.1,1.5,73.0,404.7,5.5,9.1,8.5,1.5,19.1,5.2,40.3,0.6,1.2,1.8
