Wk,Year,Home,Away,Outcome,Home_conf,Away_conf,off_rank.x,pts.x,p_comp.x,p_att.x,comp_pct.x,p_yds.x,p_td.x,r_att.x,r_yds.x,r_avg.x,r_td.x,ttl_off_plays.x,ttl_off_yds.x,ttl_off_avg.x,pass_fd.x,rush_fd.x,pen_fd.x,ttl_fd.x,pen.x,pen_yds.x,fum.x,int.x,turnover.x,def_rank.x,opp_pts.x,opp_p_comp.x,opp_p_att.x,opp_comp_pct.x,opp_p_yds.x,opp_p_td.x,opp_r_att.x,opp_r_yds.x,opp_r_avg.x,opp_r_td.x,opp_ttl_off_plays.x,opp_ttl_off_yds.x,opp_ttl_off_avg.x,opp_pass_fd.x,opp_rush_fd.x,opp_pen_fd.x,opp_ttl_fd.x,def_pen.x,def_pen_yds.x,opp_fum.x,opp_int.x,opp_turnover.x,off_rank.y,pts.y,p_comp.y,p_att.y,comp_pct.y,p_yds.y,p_td.y,r_att.y,r_yds.y,r_avg.y,r_td.y,ttl_off_plays.y,ttl_off_yds.y,ttl_off_avg.y,pass_fd.y,rush_fd.y,pen_fd.y,ttl_fd.y,pen.y,pen_yds.y,fum.y,int.y,turnover.y,def_rank.y,opp_pts.y,opp_p_comp.y,opp_p_att.y,opp_comp_pct.y,opp_p_yds.y,opp_p_td.y,opp_r_att.y,opp_r_yds.y,opp_r_avg.y,opp_r_td.y,opp_ttl_off_plays.y,opp_ttl_off_yds.y,opp_ttl_off_avg.y,opp_pass_fd.y,opp_rush_fd.y,opp_pen_fd.y,opp_ttl_fd.y,def_pen.y,def_pen_yds.y,opp_fum.y,opp_int.y,opp_turnover.y
17,2018,Appalachian State,Middle Tennessee State,1,Sun Belt,CUSA,1.3453136648045392,4.692674727282105,3.149124287099167,3.2821610817607096,4.321268820417009,3.326078595056922,1.2867897279339089,4.454475933846734,5.200850751673535,3.8287987068210163,2.079515325886917,4.047605320401029,4.287060399386425,3.7602788207167515,2.959232863101688,3.8449717331528306,1.1016392149468721,3.811928169116748,3.4230879683483595,4.518975005868277,-0.15833388520051636,0.6042449793748281,0.7475916147086236,0.26786878796122343,2.6669057438110753,3.5549773585160733,3.820306180762564,4.1410960648787505,2.936727437125958,-0.16429623882319683,4.251733038244427,3.6699880189170435,2.2256211398920716,0.38649693047003403,4.101363581944612,3.2848031924326904,2.3691957622046877,2.6379551650528588,2.985130886947495,0.9580431572526517,3.294115038148754,2.922797472795235,3.2735457508522465,0.20632255488989898,1.4021103695800632,1.6030427757903565,4.76503646337302,3.7278652937717034,5.176314614090483,4.667661487736399,4.929835082036167,4.42949853859139,1.8100729988703739,3.8566547034441614,3.0280684537149645,2.2494328774784624,0.5461014532644397,4.302902016886686,3.899439844626417,3.1194942488575537,3.892501554111719,3.067004683099255,1.2479209437960055,3.94692131130732,2.4359021792241777,3.6596218327179746,0.6030667945025586,0.42902038298243056,1.0277676616461813,3.6739753888177415,4.251992950982835,3.866130059516555,4.0486807094073125,4.213306559277912,4.019994352377027,1.3465848881501488,4.402687561169395,4.492384528614967,2.706293204331537,0.5979952891718667,4.271054770396905,4.24334103632049,3.1697240980436634,3.199615561763744,4.127730662524105,1.6090881253501714,4.135420689876906,3.169638367588726,4.037763288220453,0.2056280427721741,1.0679401880090644,1.2984892264700154
17,2018,Arizona State,Fresno State,1,Pac-12,MWC,4.007616996147279,3.9408495143672235,4.179731737728517,4.234930530158823,4.472510881245648,4.359572122003094,1.052498992155787,4.079764853897495,4.033835032009248,3.0825700479506795,1.605503285911708,4.248700117287554,4.320398270506418,3.569817708321742,3.8032886419968888,3.6602192096325576,1.3735381080083595,4.194672136194421,3.517842881398469,4.459358129440874,-0.15708078050976385,-0.0401908860486562,0.1553699630375825,4.180692182805186,4.559026743406684,4.6326641148527985,4.444994315713264,4.641826892268144,4.916085510975052,1.361850643081817,4.705721165375118,4.70021504010902,2.698510157244509,0.6288239003540458,4.63112380537715,4.881745589710257,3.50239922115369,4.681774863075118,4.525707949051538,1.8947806507643763,5.2053423613489045,3.2940329551839684,4.362998588698347,0.5899096732077197,0.5729368311437406,1.1553090923680918,1.8856599372092595,4.574315298392675,4.83775434923142,4.3231369822940495,5.054501112710253,4.859463925379373,1.5713848939214177,3.875405779038879,3.365529831257611,2.604961639305796,1.7456422177734887,4.1612586119885595,4.293600783035741,3.6522024481530355,4.314222652252809,2.7080351574945105,0.8473387813520369,3.948209744523953,2.798378027308865,3.5039557310568914,0.2184932528580764,-0.20968962848392533,0.1349344893908571,-0.03876224701477608,2.1318174765798505,3.536903205151777,4.21237400825012,3.7922524047188504,3.683489466658414,0.5219074094640124,4.127972572128751,3.6518281912918202,2.2462201702060014,-0.24218012440114062,4.202471958784502,3.700834765421069,2.785520800580346,3.455085479556347,3.1435778867450974,0.962060272411002,3.713218295190561,2.759853166236329,3.3547237964995578,0.20635168823219432,1.3978826798688073,1.5969881018651126
17,2018,Eastern Michigan,Georgia Southern,1,MAC,Sun Belt,5.927961509123113,3.519338354862236,4.256727975675359,4.228763956465206,4.623246429497795,4.175057349401069,0.9358731636320345,4.199783054727541,3.252322137825507,2.3223536094589043,1.3690721506637853,4.318367996162263,3.8558576516479137,3.0785079271023865,3.5341808585692767,2.6590067413751317,1.2401468410718952,3.5775353334106916,4.469588285392501,5.840774002150378,0.8072426133459847,-0.20043751476094682,0.7496686555535969,2.66976529171252,3.9993177154882993,3.6432317868294697,3.9330507800590233,4.242815214903678,3.2709717841599133,0.39251538048033097,5.275494062455172,5.6816916002603985,3.0831835846318483,0.871300210756407,4.710105585049593,4.332680861646413,2.960705705690372,2.587566903628806,4.6374240400853655,2.1644637052549642,4.306014686373739,4.243937038168534,5.465210696056588,0.9731816820476622,1.0707236188572287,1.9054691323549984,3.8153060629296824,4.09723198808107,0.8703058426213648,1.0010181574890458,4.3937792620263,1.3258304381275492,0.12594893442118293,5.478328000643242,6.240127363321307,3.6620813909719163,2.4679814637689605,3.5737623639490885,3.5161133932013593,3.457901428977883,0.6363626347334277,5.393932928439211,0.44620806035706945,3.2235448493724395,2.459606697853796,3.207420021641945,0.026749224070722433,-0.6876783398375833,-0.4596405139087364,1.8365356554453878,3.6271002653866877,4.118676127383931,3.97612538262547,4.704548929500793,4.201497661512757,0.24755492820056915,4.255238943067284,4.129358645859909,2.537392093383017,1.3202384929510818,4.163330551243585,4.205781451404213,3.2846888956868705,3.7174597164082988,3.65535346463587,0.8336037495268882,4.061163721847733,3.0616186109215926,3.886920041261144,1.1713786254734166,1.3972411992433775,2.341472696244661
17,2018,Louisiana,Tulane,1,Sun Belt,American,2.9916616961665095,4.265237359584916,3.557975254659008,3.460605058658666,4.797449738372564,3.826456975435177,1.5280722217642677,4.395717097805342,5.129249099271723,3.8875200175010707,1.729603771665514,4.099766622498124,4.535591693048613,3.9879980511844213,3.123534484085468,4.029194794896787,0.8358157813021165,3.982333630790149,2.7898186791155624,3.655206505536145,-0.3484614273367769,0.928283522191938,0.7508043260219802,9.435213111654315,6.438000797637087,3.7882561715378253,3.585236239478252,4.876208196594006,4.678027176497897,1.2257496109320896,5.233772903359634,6.319010337143536,3.566736164113532,2.2009611580628823,4.528523146373698,5.4189240496955895,4.112036153695331,4.200922997003209,5.198661146919583,1.0959419146631966,5.216497932346658,2.7003904741459657,3.715667643408212,0.2071193080312074,0.07640820686964073,0.4081964729454963,7.253791864161692,3.363218763807282,2.4179001962505082,3.162776188789523,3.660969460994996,3.287076227127933,0.6093189656713668,5.1015075316644545,5.071020196390803,3.071282653891555,1.6306277523757875,4.308868415449034,4.107371050969032,3.3330117032428817,2.396365684761748,3.889922951144394,0.7156710178015521,3.49276537162024,4.243681090301546,5.359178963351199,0.9895624739055856,0.11217992910550098,1.0296299731383833,5.444691013905733,4.8391416017010105,4.294840040895332,4.903686599261388,4.044287952257206,5.2421027860573925,1.7632852022129304,4.566649745889511,4.476362994524229,2.64193537723701,0.961479533494843,4.758156425095488,4.973611617498546,3.467460642861151,4.789239225832521,3.7970873682089943,2.0045179769105235,4.905485687105646,3.946963757950624,4.955438447464879,0.2065272635875183,0.7374156782521167,1.0034615568378917
17,2018,North Texas,Utah State,1,CUSA,MWC,1.5041242737856728,4.884334293135746,5.921374431809264,5.746139077862023,4.877000683878185,6.003819587338544,1.885007546182585,3.8473743391327693,3.496180743439823,2.8699652067943835,1.4928943504974748,4.787192474877783,4.996962134572389,3.7974565789574615,5.853915978327297,3.0230188354248018,2.1913527949311042,5.085604191443592,2.3706656572688645,4.274500922477935,0.6152307194109492,-0.03804365789410648,0.6035514082014095,2.5723951201654383,4.1226623055253535,4.684566263543886,5.20394373205745,4.220039689229956,5.286937382236002,0.6720894652378532,4.201015416942531,3.394807632864876,1.984148864405643,0.8738213423875834,4.711798181745065,4.561842388451211,3.1654556831420484,4.561221975267689,2.7390184179253243,1.3653997483061846,4.287692319731022,3.220174377315662,4.460271306986557,-0.17499343959077904,1.5685992372555728,1.6077597719806742,-0.017023169234796638,6.538491174230863,5.3116846513863445,4.965981912077542,5.044878460740521,5.267404538304581,1.9371699946263228,4.23007213292325,5.066282403074248,3.8793720956978404,2.4745688425164998,4.642756694680893,5.254701137311399,4.177737508371738,4.732389612139303,3.830813549292435,0.7169228609136193,4.684861585008883,4.642590865532819,5.75481239806415,1.181433622290499,-0.04645777228617755,1.0308990509642,2.7649022729212716,3.994616713409446,4.3255536294759285,4.853423315998261,4.185092538464903,4.814829962479215,0.9381835443313559,4.907002880915483,4.267782056142761,2.2719860341135556,0.24139600105615544,4.911512923975893,4.632877079531934,3.0810899775247504,3.951017796319088,3.2788302796042545,2.136899933930585,4.301927804371091,4.490713528848576,5.496698091819408,0.7854680001444841,1.7269085069532035,2.3429825881443844
18,2018,UAB,Northern Illinois,1,CUSA,MAC,4.950604345733627,3.926835169244667,2.980423524960232,3.4317925605127986,4.243674395368494,3.637246854628893,0.4668138719811962,5.073359605081546,4.785151568949403,3.0580516392276094,2.0938128200998207,4.484140006502442,4.273292122603014,3.3749303973319758,3.1698025561576992,4.5574612898254,0.973696858326874,4.3486892802088075,3.758009344951029,6.1535074815329205,-0.3465050609359698,1.2512206577832001,1.0499053507984557,0.7113161402300494,3.2174755472013095,3.606802138815944,4.126543836528916,4.206374952749323,3.907399059321543,0.534411200945669,4.214161913042147,3.6063264709454286,2.1790723244345265,0.27036289199927543,4.229131566859299,3.82927511023599,2.9372165898293603,3.1954680954130907,2.867609857222954,2.841661408072159,3.997242439141246,2.294986270103938,3.5710602956231035,0.5914016970873349,0.4080841550110923,1.009469388108884,9.785978305544022,2.7450972396863276,3.6594335273317617,4.0334318213006926,4.37867645066013,2.7469268799637203,0.6115484277486666,5.034256174943567,4.277482986849564,2.487358988710414,0.5520593824278416,4.673320135049015,3.449585677308629,2.480362121707814,2.7938284511410543,4.312284621046125,0.4496742778948172,3.8748294868548347,3.898619582094291,5.349537524659361,0.21918688885834162,0.5919281434597103,1.0321666610780231,1.8194455952792343,3.74913693110312,4.563731983086272,4.859181963738923,4.4755377934978124,4.854838838741762,0.38806092957088517,4.991440689639829,3.20948501228879,1.421355284392807,0.6030453023317592,4.975760340789411,4.22612847792126,2.6871471529883633,4.715206006326621,2.69001463302808,2.659953007099841,4.581741957060515,3.0664533961072045,3.5532652350665943,0.7855262969979689,0.07803336147096365,1.004489166959961
18,2018,Ohio,San Diego State,1,MAC,MWC,0.6007674997157765,5.733216492257455,3.313782337857465,3.4947973155526126,4.687051585833988,4.0180589918899114,1.5335237335922822,4.920744183334341,6.166423537368655,4.302004843381208,2.9360982101098068,4.42298419468538,5.131126271789734,4.307463613792427,3.466152494054285,5.500800355145611,2.1955458942644217,5.155737963859575,2.911446465972529,4.660566400864254,0.8083165693029282,0.2848217155690888,1.051138530578485,5.847439787413371,5.253252752425701,5.195936731320086,4.9767347037261045,5.044067994506703,5.861334597205721,1.785096152049452,3.9370003552667394,4.187158008817681,3.0385914910056595,0.8759381570545746,4.470454729447247,5.226714731907805,4.025327249311455,4.917582185297925,3.454769692406249,0.9655307383315657,4.7968497888139705,4.712111066033987,6.036649538131337,1.73953226782159,1.2368278048927264,2.51045362116983,9.841598761206324,3.0041829109549663,2.7593513114785253,3.3320740924806156,4.1344312138054775,3.5070883537267843,0.6126136903279845,4.841235956149381,4.092422200391689,2.497000986371917,0.6735481796029873,4.244275561740504,3.811750161963744,3.172574856543931,2.8980937615327242,3.2153238602781546,0.7193163521662405,3.483083565219539,4.441290082168183,5.467576434084812,0.7965004431498155,0.11429330919620657,0.8845142750327539,2.147542005331094,3.8470667894239234,4.551836891001653,4.479241818361562,4.925952020763205,4.822352560928871,0.9405475766788356,4.225104773199395,2.7533455108226788,1.4247670004558108,0.6041125206980184,4.389898765053159,4.017385256918569,3.029837915743595,3.7552524149906326,2.312882543817757,0.9683654541469172,3.593816157566563,2.56685834895946,3.8620928666638035,-0.1781688007487987,0.5728316923367709,0.559571047544606
18,2018,Marshall,South Florida,1,CUSA,American,6.319726178313259,3.7779357741991317,4.3908053448495865,5.119555853798061,4.276434302314901,4.4841685565614515,1.1800707612875139,4.132205181162538,3.6693867866593832,2.7441328659216997,0.7794403373067313,4.685749687953362,4.229569177312407,3.200266107096533,3.8164514708111357,3.3338627515364596,0.8405626583517083,4.07453789253355,3.7342033811458917,5.198165489230963,1.1926257082110319,1.0906009213732382,2.0924261782502267,3.059534514151134,4.3311484435137295,5.234512859141773,5.445336913703955,4.728938468188628,5.24536505552087,0.8140947432983885,4.568587387274237,3.1911831489565095,1.6261369447663643,0.6352038659400232,5.024922067076858,4.440980187422616,2.8103193355248495,4.559255627317187,2.62045864519222,2.4426561727121205,4.545747752417515,3.9540725592755686,4.869443313023657,0.9709700869806437,0.905428130955111,1.7594213564827204,5.941493968773121,4.075693729980738,4.555988905727463,4.870317022035846,4.6289732033463995,4.497353872738682,0.7344704282476703,4.896205933378964,5.280309942930354,3.487796259975872,1.7585239341261316,4.974057529281757,4.899292048593781,3.648315619495691,4.0622386669840855,4.343542668488215,0.720566666788459,4.5972394292902345,4.780771649531019,6.237550319078308,0.7965146676739472,0.9119045451413497,1.6306616839182877,7.238426238181203,5.813081550414717,3.5830310012920297,4.029358729011745,4.4375814317889395,4.118620218329496,0.8039283751687992,6.213020595260732,7.5810977550139835,3.6275542116316526,2.289036893466856,5.235171254486586,5.57532685181007,3.7096579392473834,3.5934688499650345,6.084236636684598,1.7518306418667218,5.376863391810844,3.543334374601931,4.3119012309543265,0.7861784847499615,0.7380935156086215,1.6020685406999093
18,2018,Brigham Young,Western Michigan,1,Ind,MAC,7.987773306675647,3.51260467740767,4.317563801816509,4.470538698260087,4.900675329163324,3.9428502344223024,0.5886916423650748,4.360615379183754,3.6942108002239737,2.667321304361508,1.5011365600120519,4.543027322091411,3.937579255126319,3.0657841100820624,3.5294361766466857,3.3120004262961005,0.8419286457884108,3.936721264676235,3.246005049280267,4.24858086151777,0.8072689799613804,0.28551067382071527,0.9038327629617794,2.574112104044533,4.323120760209021,5.273972276763273,5.119567946707548,5.164356790852555,4.4696577745838875,0.5373309373623122,4.623068070638429,4.077746850659839,2.3922804678059357,1.2413090157089026,4.90148747214047,4.355708859567219,2.9075135995605863,4.236301646489486,3.7295801674198668,0.8336622317840623,4.6391680636413994,3.6160384954257276,4.350040985851898,0.7798039859742408,0.4089046572991065,1.0107309726051783,3.248328120326644,4.740525215626543,4.287354490129403,4.377456768042303,4.946272683023695,4.633354936700438,1.21894812443328,5.499360360399004,5.396627479826887,3.149204454601144,2.1226666490109714,5.0842529462037485,5.029657595090045,3.6749752215060045,4.106768271444696,4.496913889218841,2.199577758767101,4.9693691174803565,3.4966000781257547,4.906469960834094,0.7965288347685231,0.43405340322788705,1.184609855387147,8.342189490454977,6.314658718084723,3.6436450856621496,3.699067199581285,4.959415280717978,4.437745819766387,2.0469593491904337,4.828431481711616,5.359347554475601,3.1671956140920465,1.5694694656400472,4.349477116724179,4.838074358276509,3.902797609082833,3.873090955069375,4.20743952797278,0.8408103291530046,4.5027457086884715,3.867406441057519,4.772931314600795,0.7862339491847985,0.5738889783160036,1.3056431952367504
18,2018,Florida International,Toledo,1,CUSA,MAC,2.4938947796217255,4.961595778035424,4.723857706660092,4.584984034668436,5.320511354118019,5.000133037102281,1.776012362384597,4.3185589389465004,4.1141982744188494,3.1236901540141595,1.3831340317596679,4.567062996179592,4.7293560236066865,3.8563753554459628,4.353122415989846,3.2414083319247404,1.5223964575394886,4.452105125641055,2.597788794356777,3.8357509829008825,-0.1529708082624027,0.44720284064972377,0.45905715898285865,4.527873110501331,5.050068972203375,4.480210605405146,4.389266074828231,5.226155415763403,4.366409862262883,0.8164443863142831,5.383166648568006,6.433314692521471,3.6425052638368216,1.1217960807180496,4.993893463555059,5.295747344415574,3.676860342716343,3.953614714389446,5.855002334204473,1.9093900162288162,5.719202207126134,2.5204678478716436,3.8471058049558238,-0.1742205902334301,1.5690774532353018,1.6121727055744939,0.8085915746694176,6.049848042304967,3.821679012768255,4.437984274758357,4.473728674425703,4.323735309153146,2.066987523346018,5.358782662515554,6.029361954280484,3.7053785523043015,2.0049525286499406,5.030169914035135,5.117560745368394,3.7791052320075713,3.9276737421548322,4.553696871389682,2.60483157072177,5.031297519646029,4.867741132529682,6.700145220345362,0.21990889301327995,0.7534765142085876,1.036758706484326,7.092198047504775,5.843587745025014,5.460126657565068,5.422414206474529,5.109575360145762,5.596654956587659,1.220005555241816,4.95112892879799,5.580793696421621,3.2787649009956983,1.9330401381508469,5.217437784037377,5.622972197190745,3.7641087014590493,4.562647599909223,4.253046943954092,2.0167577708412248,5.19477762931996,4.876894506440235,6.599512193040429,0.593675236461675,0.9039496067324964,1.4559592733876514
